,Unnamed: 0,Unnamed: 0_x,County_x,City,2017 Population,2017 Violent Crime,2017 Murder,2017 Rape,2017 Robbery,2017 Aggravated Assault,Unnamed: 0_y,County_y,2016 Population,2016 Violent Crime,2016 Murder,2016 Rape,2016 Robbery,2016 Aggravated Assault,Unnamed: 0_x.1,County_x.1,2015 Population,2015 Violent Crime,2015 Murder,2015 Rape,2015 Robbery,2015 Aggravated Assault,Unnamed: 0_y.1,County_y.1,2014 Population,2014 Violent Crime,2014 Murder,2014 Rape,2014 Robbery,2014 Aggravated Assault,Unnamed: 0.1,County,2013 Population,2013 Violent Crime,2013 Murder,2013 Rape,2013 Robbery,2013 Aggravated Assault,RegionID,StateName,SizeRank,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2017 Median Price
88,236,459,Dayton,Kettering,54681,70,0,23,26,21,452.0,Montgomery County,54915.0,73.0,0.0,26.0,26.0,21.0,465.0,Montgomery County,55106.0,71.0,1.0,24.0,35.0,11.0,522.0,Montgomery County,55311.0,53.0,0.0,16.0,18.0,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5411,Ohio,766,0,0,0,0,1391000,1524200
68,187,371,Lorain County,Elyria,53586,191,3,39,64,85,363.0,Lorain County,53633.0,161.0,4.0,26.0,71.0,60.0,376.0,Lorain County,53843.0,8.0,0.0,5.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17974,Ohio,664,61200,775300,915400,966900,986200,1037400
18,77,136,Cuyahoga County,Lakewood,50151,74,2,6,40,26,134.0,Cuyahoga County,50349.0,63.0,3.0,8.0,32.0,20.0,144.0,Cuyahoga County,50653.0,19.0,1.0,5.0,8.0,5.0,162.0,Cuyahoga County,50923.0,66.0,2.0,6.0,32.0,26.0,164.0,Cuyahoga County,51167.0,48.0,1.0,10.0,24.0,13.0,21995,Ohio,982,0,0,728300,1459400,1631200,1791500
112,308,585,Summit County,Cuyahoga Falls,49145,49,2,18,8,21,578.0,Summit County,49064.0,67.0,0.0,24.0,14.0,29.0,591.0,Summit County,49124.0,50.0,0.0,10.0,7.0,33.0,670.0,Summit County,49196.0,49.0,1.0,10.0,9.0,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11022,Ohio,890,1147800,1293300,1258000,1236900,1338600,1446900
16,73,129,Cuyahoga County,Euclid,47270,303,4,26,118,155,128.0,Cuyahoga County,47416.0,275.0,8.0,17.0,107.0,143.0,138.0,Cuyahoga County,47664.0,221.0,3.0,27.0,73.0,118.0,157.0,Cuyahoga County,47969.0,12.0,0.0,0.0,4.0,8.0,158.0,Cuyahoga County,48095.0,93.0,0.0,13.0,23.0,57.0,24624,Ohio,1036,0,39900,539400,500900,598800,700300
53,141,247,Greene County,Beavercreek,46572,38,0,13,9,16,239.0,Greene County,46490.0,32.0,0.0,14.0,13.0,5.0,256.0,Greene County,46112.0,41.0,0.0,11.0,22.0,8.0,285.0,Greene County,45835.0,25.0,0.0,7.0,11.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10315,Ohio,1005,1801000,1842300,1853200,1982500,2036200,2147700
15,71,127,Cuyahoga County,Cleveland Heights,44525,131,2,16,79,34,126.0,Cuyahoga County,44696.0,145.0,3.0,9.0,80.0,53.0,136.0,Cuyahoga County,44942.0,84.0,2.0,6.0,43.0,33.0,155.0,Cuyahoga County,45207.0,106.0,2.0,10.0,57.0,37.0,156.0,Cuyahoga County,46309.0,144.0,1.0,5.0,94.0,44.0,24117,Ohio,1002,0,0,0,232400,1001700,1103900
62,161,294,Hancock County,Findlay,41474,128,3,25,24,76,283.0,Hancock County,41156.0,53.0,3.0,15.0,9.0,26.0,298.0,Hancock County,41095.0,113.0,0.0,39.0,23.0,51.0,332.0,Hancock County,41613.0,80.0,0.0,22.0,17.0,41.0,342.0,Hancock County,41660.0,76.0,1.0,13.0,18.0,44.0,38520,Ohio,808,0,0,0,0,685200,1711400
46,119,205,Franklin County,Grove City,40421,47,4,14,24,5,199.0,Franklin County,40161.0,43.0,2.0,7.0,26.0,8.0,209.0,Franklin County,39251.0,47.0,0.0,14.0,27.0,6.0,235.0,Franklin County,37945.0,38.0,0.0,16.0,18.0,4.0,237.0,Franklin County,37208.0,40.0,1.0,5.0,29.0,5.0,35641,Ohio,693,1479900,1679900,1632300,1735200,1825200,2036500
37,101,186,Fairfield County,Lancaster,40026,127,0,24,33,70,181.0,Fairfield County,39959.0,141.0,0.0,30.0,46.0,65.0,193.0,Fairfield County,39793.0,99.0,1.0,23.0,31.0,44.0,217.0,Fairfield County,39453.0,109.0,1.0,38.0,16.0,54.0,219.0,Fairfield County,38902.0,133.0,0.0,34.0,41.0,58.0,25495,Ohio,703,861000,1274100,1343400,1415800,1552400,1568000
