,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
11,Allen County,Lima,38214.0,366.0,3.0,42.0,78.0,243.0
12,Allen County,Bluffton,3824.0,1.0,,,,1.0
13,Allen County,Delphos,3917.0,1.0,,1.0,,
14,Allen County,Spencerville,2198.0,1.0,,,,1.0
15,Allen County,Elida,1859.0,,,,,
22,Ashland County,Ashland,20306.0,14.0,,10.0,3.0,1.0
23,Ashland County,Loudonville,2557.0,,,,,
27,Ashtabula County,Conneaut,12895.0,10.0,,,3.0,7.0
28,Ashtabula County,Geneva,1265.0,,,,,
29,Ashtabula County,Kingsville,2881.0,1.0,,,,1.0
30,Ashtabula County,Roaming Shores,1491.0,,,,,
31,Ashtabula County,Ashtabula,51042.0,40.0,1.0,4.0,7.0,28.0
33,Athens County,Athens,23721.0,17.0,,3.0,3.0,11.0
34,Athens County,Glouster,1765.0,5.0,1.0,,1.0,3.0
35,Athens County,Nelsonville,5334.0,13.0,,2.0,2.0,9.0
36,Athens County,Albany,877.0,,,,,
40,Athens County,Coolville,488.0,,,,,
43,Auglaize County,Wapakoneta,9812.0,9.0,,2.0,,7.0
45,Auglaize County,New Bremen,2979.0,3.0,,,,3.0
48,Belmont County,Barnesville,4130.0,1.0,,,,1.0
51,Belmont County,Martins Ferry,6805.0,10.0,,4.0,3.0,3.0
52,Belmont County,Powhatan Point,1574.0,1.0,,,,1.0
54,Belmont County,Saint Clairsville,5108.0,,,,,
55,Belmont County,Bethesda,1243.0,,,,,
59,Brown County,Georgetown,4458.0,3.0,,2.0,,1.0
60,Brown County,Mount Orab,3640.0,1.0,,,,1.0
62,Brown County,Sardinia,963.0,,,,,
66,Butler County,Fairfield,42677.0,120.0,1.0,12.0,37.0,70.0
67,Butler County,Hamilton,62268.0,378.0,6.0,52.0,189.0,131.0
68,Butler County,Middletown,45971.0,285.0,,37.0,71.0,177.0
69,Butler County,Monroe,15157.0,61.0,,8.0,5.0,48.0
71,Butler County,Oxford,21338.0,47.0,,3.0,9.0,35.0
73,Butler County,West Chester,59435.0,43.0,1.0,11.0,15.0,16.0
81,Carroll County,Carrollton,3214.0,3.0,,,,3.0
91,Clark County,Springfield,60012.0,427.0,6.0,46.0,208.0,167.0
92,Clark County,Enon,2421.0,2.0,,,,2.0
93,Clark County,South Charleston,1675.0,,,,,
95,Clark County,South Vienna,381.0,,,,,
99,Clermont County,Batavia,1633.0,2.0,,,2.0,
100,Clermont County,Bethel,2737.0,2.0,,,,2.0
101,Clermont County,Milford,6642.0,6.0,,,1.0,5.0
102,Clermont County,Amelia,4870.0,1.0,,,1.0,
103,Clermont County,Felicity,822.0,,,,,
104,Clermont County,New Richmond,2603.0,,,,,
105,Clermont County,Williamsburg,2514.0,6.0,,,3.0,3.0
106,Clermont County,Goshen,15620.0,3.0,,2.0,,1.0
110,Clermont County,Loveland,1959.0,1.0,,1.0,,
113,Clinton County,Blanchester,4230.0,1.0,,,1.0,
114,Clinton County,New Vienna,1210.0,,,,,
115,Clinton County,Sabina,2546.0,2.0,,1.0,1.0,
116,Clinton County,Wilmington,12439.0,27.0,1.0,6.0,8.0,12.0
120,Columbiana County,Columbiana,5654.0,4.0,,,,4.0
121,Columbiana County,East Liverpool,11010.0,12.0,,6.0,3.0,3.0
122,Columbiana County,East Palestine,4631.0,6.0,,2.0,2.0,2.0
123,Columbiana County,Lisbon,2771.0,5.0,,1.0,,4.0
124,Columbiana County,Salem,12111.0,6.0,1.0,,1.0,4.0
126,Columbiana County,Wellsville,3468.0,,,,,
134,Coshocton County,West Lafayette,2303.0,,,,,
143,Cuyahoga County,Cleveland,389181.0,5782.0,58.0,436.0,3496.0,1792.0
145,Cuyahoga County,Bay Village,15435.0,,,,,
147,Cuyahoga County,Bedford,12858.0,31.0,,7.0,11.0,13.0
149,Cuyahoga County,Berea,18939.0,18.0,,3.0,4.0,11.0
151,Cuyahoga County,Brecksville,13499.0,1.0,,,1.0,
152,Cuyahoga County,Broadview Heights,19277.0,11.0,,,,11.0
154,Cuyahoga County,Brook Park,18941.0,14.0,1.0,1.0,3.0,9.0
156,Cuyahoga County,Cleveland Heights,46309.0,144.0,1.0,5.0,94.0,44.0
158,Cuyahoga County,Euclid,48095.0,93.0,,13.0,23.0,57.0
159,Cuyahoga County,Garfield Heights,28339.0,39.0,,4.0,22.0,13.0
160,Cuyahoga County,Gates Mills,2256.0,,,,,
164,Cuyahoga County,Lakewood,51167.0,48.0,1.0,10.0,24.0,13.0
165,Cuyahoga County,Lyndhurst,13769.0,5.0,,2.0,,3.0
170,Cuyahoga County,Olmsted Falls,8910.0,1.0,,,,1.0
172,Cuyahoga County,Parma,80303.0,87.0,1.0,23.0,31.0,32.0
173,Cuyahoga County,Parma Heights,20395.0,17.0,,5.0,4.0,8.0
175,Cuyahoga County,Richmond Heights,10470.0,13.0,,,10.0,3.0
176,Cuyahoga County,Seven Hills,11699.0,5.0,,,3.0,2.0
177,Cuyahoga County,Shaker Heights,27920.0,41.0,,2.0,34.0,5.0
178,Cuyahoga County,Solon,23105.0,7.0,,2.0,2.0,3.0
