,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
200,Franklin County,Bexley,13773,20,1,4,10,5
201,Franklin County,Dublin,39242,27,1,10,8,8
202,Franklin County,Gahanna,35243,25,1,13,5,6
203,Franklin County,Grandview Heights,7831,0,0,0,0,0
204,Franklin County,Grove City,40421,47,4,14,24,5
205,Franklin County,Hilliard,36144,17,0,6,2,9
206,Franklin County,Reynoldsburg,27631,71,1,16,35,19
207,Franklin County,Upper Arlington,35214,12,0,3,6,3
208,Franklin County,Westerville,30887,35,0,9,13,13
209,Franklin County,Whitehall,18835,125,0,11,69,45
210,Franklin County,Worthington,14692,11,2,2,3,4
212,Franklin County,Groveport,5583,12,0,3,6,3
215,Franklin County,New Albany,10670,4,0,2,0,2
218,Lake County,Madison,18661,19,0,2,5,12
223,Fulton County,Archbold,4338,2,0,1,0,1
224,Fulton County,Fayette,1265,2,0,2,0,0
225,Fulton County,Swanton,3768,5,0,4,0,1
226,Fulton County,Wauseon,7407,10,0,1,1,8
232,Geauga County,Chardon,5199,10,0,1,0,9
233,Geauga County,Burton,1460,0,0,0,0,0
234,Geauga County,Middlefield,2715,1,0,0,0,1
237,Geauga County,Chesterland,10355,0,0,0,0,0
242,Greene County,Xenia,26331,55,1,16,8,30
243,Greene County,Yellow Springs,3713,11,0,4,4,3
244,Greene County,Bellbrook,7159,5,0,1,0,4
245,Greene County,Jamestown,2036,3,0,1,2,0
246,Greene County,Beavercreek,46572,38,0,13,9,16
250,Dayton,Centerville,2,0,0,0,0,0
252,Guernsey County,Cambridge,10391,8,1,1,3,3
253,Guernsey County,Byesville,2372,0,0,0,0,0
254,Guernsey County,Senecaville,448,0,0,0,0,0
255,Hamilton County,Cincinnati,299116,2833,70,292,1196,1275
256,Clermont County,Milford,29,0,0,0,0,0
259,Hamilton County,Blue Ash,12248,16,2,2,4,8
261,Hamilton County,Cleves,3418,0,0,0,0,0
262,Hamilton County,Deer Park,5665,6,0,1,0,5
267,Hamilton County,Forest Park,18665,50,1,7,20,22
269,Hamilton County,Greenhills,3584,1,0,0,0,1
270,Hamilton County,Harrison,11246,6,1,0,5,0
273,Clermont County,Loveland,9953,10,0,5,1,4
275,Hamilton County,Montgomery,10638,4,0,2,1,1
279,Hamilton County,Norwood,19994,68,0,15,28,25
280,Hamilton County,Reading,10307,28,1,4,7,16
281,Hamilton County,Springdale,11203,0,0,0,0,0
291,Allen County,Bluffton,170,0,0,0,0,0
292,Hancock County,Findlay,41474,128,3,25,24,76
293,Hancock County,McComb,1655,0,0,0,0,0
302,Highland County,Greenfield,4582,13,3,3,2,5
303,Highland County,Hillsboro,6576,9,0,7,1,1
304,Highland County,Leesburg,1295,1,0,0,0,1
305,Highland County,Lynchburg,1480,0,0,0,0,0
308,Hocking County,Logan,7077,18,0,5,3,10
309,Hocking County,Laurelville,507,1,0,0,1,0
311,Ashland County,Loudonville,61,0,0,0,0,0
314,Erie County,Milan,356,0,0,0,0,0
323,Jefferson County,Steubenville,17979,49,3,4,11,31
333,Knox County,Mount Vernon,16553,22,1,6,0,15
335,Knox County,Fredericktown,2461,4,0,0,0,4
338,Lake County,Eastlake,18056,14,1,2,5,6
341,Lake County,Mentor,46663,72,0,11,17,44
343,Lake County,Painesville,19719,11,1,1,0,9
345,Lake County,Wickliffe,12679,9,0,0,4,5
346,Lake County,Willoughby,22857,34,0,1,17,16
