,Index,RegionID,RegionName,City,State,Metro,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ORI,AGENCY NAME,CountyName,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
17,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01823,HIGHLAND HEIGHTS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"8,434",7,132,0,1,2,4,9,119,4,0
18,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01825,INDEPENDENCE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"7,135",3,129,0,1,1,1,4,123,2,0
19,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01826,LAKEWOOD,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"50,151",74,"1,199",2,6,40,26,469,652,78,5
20,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01827,LYNDHURST,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"13,586",18,180,0,0,7,11,21,148,11,0
21,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01829,MAYFIELD HEIGHTS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"18,724",13,188,1,1,5,6,12,170,6,0
22,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01832,MORELAND HILLS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"3,315",0,14,0,0,0,0,2,12,0,0
23,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01834,NORTH OLMSTED,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"31,779",26,470,0,6,11,9,40,398,32,0
24,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01836,NORTH ROYALTON,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"30,313",7,103,3,0,0,4,22,80,1,0
25,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01838,OLMSTED TOWNSHIP,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"13,157",1,50,0,1,0,0,16,32,2,0
26,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01839,OLMSTED FALLS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"8,898",3,31,0,1,1,1,9,19,3,0
27,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01842,PARMA,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"79,340",141,906,0,39,37,65,199,633,74,2
28,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01843,PARMA HEIGHTS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"20,094",1,53,0,0,0,1,10,40,3,0
29,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01844,PEPPER PIKE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"6,256",3,42,1,1,0,1,10,32,0,0
30,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01845,RICHMOND HEIGHTS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"10,432",19,206,0,0,12,7,37,146,23,0
31,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01846,ROCKY RIVER,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"20,342",7,73,0,1,2,4,7,62,4,0
32,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01847,SEVEN HILLS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"11,668",3,50,0,0,1,2,14,33,3,0
33,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01849,SOLON,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"23,023",13,182,0,2,4,7,25,146,11,0
34,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01850,SOUTH EUCLID,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"21,628",33,645,0,5,14,14,74,536,35,0
35,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01851,STRONGSVILLE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"44,758",18,852,2,1,9,6,67,760,25,0
36,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01852,UNIVERSITY HEIGHTS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"13,104",30,288,0,4,19,7,16,257,15,0
