,Index,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 0,County,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
86,57,76581,43213,Whitehall,OH,Columbus,FRANKLIN COUNTY,1714,1178000,1095000,1002100,974600,909500,789900,786000,823100,882800,970400,1127800,1271200,210.0,FRANKLIN COUNTY,OH02511,WHITEHALL,"18,835",125,"1,269",0.0,11.0,69,45,187,"1,001",81,12.0
87,58,77630,45373,Troy,OH,Dayton,MIAMI COUNTY,1716,1530800,1492000,1424000,1382200,1377400,1406400,1450200,1472000,1502400,1548700,1637700,1770700,450.0,MIAMI COUNTY,OH05504,TROY,"25,865",38,502,1.0,20.0,6,11,60,434,8,0.0
88,59,76526,43110,Columbus,OH,Columbus,FRANKLIN COUNTY,1807,1922700,1792700,1728300,1711500,1622500,1578900,1663400,1691200,1839200,1923400,2056900,2261800,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
89,59,76526,43110,Columbus,OH,Columbus,FRANKLIN COUNTY,1807,1922700,1792700,1728300,1711500,1622500,1578900,1663400,1691200,1839200,1923400,2056900,2261800,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
90,59,76526,43110,Columbus,OH,Columbus,FRANKLIN COUNTY,1807,1922700,1792700,1728300,1711500,1622500,1578900,1663400,1691200,1839200,1923400,2056900,2261800,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
91,60,77216,44512,Boardman,OH,Youngstown-Warren-Boardman,MAHONING COUNTY,1810,1304400,1230000,1119400,1128200,1141300,1076900,1107200,1141600,1149500,1163400,1255400,1336500,400.0,MAHONING COUNTY,OH05002,BOARDMAN,"39,276",61,"1,482",0.0,14.0,31,16,164,"1,289",29,6.0
92,61,77045,44145,Westlake,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1934,2941100,2719000,2672400,2692700,2664200,2733900,2846900,2957500,2962200,3124900,3267700,3428100,157.0,CUYAHOGA COUNTY,OH01857,WESTLAKE,"32,330",13,366,0.0,1.0,9,3,25,326,15,0.0
93,62,76550,43147,Pickerington,OH,Columbus,FAIRFIELD COUNTY,1946,2354800,2293200,2187100,2140400,2102300,2083500,2072300,2156900,2242700,2416400,2615000,2794300,191.0,FAIRFIELD COUNTY,OH02309,PICKERINGTON,"20,297",38,351,0.0,6.0,12,20,20,315,16,0.0
94,62,76550,43147,Pickerington,OH,Columbus,FAIRFIELD COUNTY,1946,2354800,2293200,2187100,2140400,2102300,2083500,2072300,2156900,2242700,2416400,2615000,2794300,199.0,FAIRFIELD COUNTY,OH02309,PICKERINGTON,76,0,1,0.0,0.0,0,0,0,1,0,0.0
95,63,77046,44146,Bedford,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1953,1474000,1317300,1126800,1108100,1048400,1010900,993700,997300,1027000,1064100,1091700,1181600,120.0,CUYAHOGA COUNTY,OH01803,BEDFORD,"12,641",25,228,1.0,1.0,16,7,50,146,32,0.0
96,64,76997,44095,Eastlake,OH,Cleveland-Elyria,LAKE COUNTY,2089,1583600,1522900,1436400,1365100,1291400,1239500,1209700,1235300,1228300,1333200,1377700,1416600,340.0,LAKE COUNTY,OH04301,EASTLAKE,"18,056",14,330,1.0,2.0,5,6,38,282,10,1.0
97,65,76661,43402,Bowling Green,OH,Toledo,WOOD COUNTY,2100,1769400,1677700,1647200,1638900,1612200,1640900,1606500,1684500,1746200,1760600,1866200,1945400,670.0,WOOD COUNTY,OH08701,BOWLING GREEN,"31,779",41,587,0.0,20.0,6,15,86,486,15,3.0
98,66,76589,43221,Upper Arlington,OH,Columbus,FRANKLIN COUNTY,2109,2730100,2695300,2640800,2651500,2591200,2601500,2773000,2956100,3238200,3459400,3884800,4042100,208.0,FRANKLIN COUNTY,OH02509,UPPER ARLINGTON,"35,214",12,512,0.0,3.0,6,3,88,417,7,2.0
99,67,76773,43614,Toledo,OH,Toledo,LUCAS COUNTY,2138,1566800,1489600,1373100,1267400,1169900,1134600,1168200,1196800,1265100,1340700,1403400,1441900,381.0,LUCAS COUNTY,OH04807,TOLEDO,"277,116","2,829","11,095",35.0,180.0,780,"1,834","3,103","7,247",745,0.0
100,68,77021,44121,South Euclid,OH,Cleveland-Elyria,CUYAHOGA COUNTY,2153,1469100,1283400,1128400,1104700,991300,881000,872300,887800,904100,959700,1027000,1097000,151.0,CUYAHOGA COUNTY,OH01850,SOUTH EUCLID,"21,628",33,645,0.0,5.0,14,14,74,536,35,0.0
101,69,77682,45458,Centerville,OH,Dayton,MONTGOMERY COUNTY,2185,2839500,2804800,2658500,2631500,2489200,2646100,2652200,2697700,2827300,2907500,3081000,3259300,251.0,DAYTON,OH05701,CENTERVILLE,2,0,0,0.0,0.0,0,0,0,0,0,0.0
102,69,77682,45458,Centerville,OH,Dayton,MONTGOMERY COUNTY,2185,2839500,2804800,2658500,2631500,2489200,2646100,2652200,2697700,2827300,2907500,3081000,3259300,457.0,DAYTON,OH05701,CENTERVILLE,"23,780",14,373,0.0,2.0,4,8,30,327,16,0.0
103,70,77694,45503,Springfield,OH,Springfield,CLARK COUNTY,2204,1237500,1187900,1155000,1101600,1056400,1043200,1065900,1081800,1113600,1177300,1248600,1287400,71.0,CLARK COUNTY,OH01202,SPRINGFIELD,"58,843",370,"4,024",9.0,25.0,177,159,"1,040","2,691",293,76.0
104,71,77073,44221,Cuyahoga Falls,OH,Akron,SUMMIT COUNTY,2287,1368000,1308800,1240000,1210200,1118600,1087400,1103900,1134700,1175800,1275600,1368200,1414800,585.0,SUMMIT COUNTY,OH07703,CUYAHOGA FALLS,"49,145",49,"1,209",2.0,18.0,8,21,143,"1,027",39,1.0
105,72,77100,44266,Ravenna,OH,Akron,PORTAGE COUNTY,2293,1417700,1378300,1353700,1305100,1267300,1256900,1211500,1186300,1271600,1306300,1402900,1468600,,,,,,,,,,,,,,,
106,73,76938,44004,Ashtabula,OH,Ashtabula,ASHTABULA COUNTY,2323,1021200,985900,944400,935000,870300,859500,879600,881200,832100,834600,850800,856700,21.0,ASHTABULA COUNTY,OH00400,ASHTABULA COUNTY SHERIFF,"49,924",42,580,0.0,8.0,4,30,170,366,44,1.0
107,74,77126,44312,Akron,OH,Akron,SUMMIT COUNTY,2352,1246200,1162300,1096100,1025600,965800,913800,902000,937100,919900,943900,1064300,1197200,583.0,SUMMIT COUNTY,OH07701,AKRON,"197,412","1,377","8,360",42.0,209.0,395,731,"2,301","5,304",755,103.0
108,75,76978,44070,North Olmsted,OH,Cleveland-Elyria,CUYAHOGA COUNTY,2359,1828100,1674300,1608100,1615800,1547200,1554300,1563600,1590400,1643100,1746700,1865900,1999200,140.0,CUYAHOGA COUNTY,OH01834,NORTH OLMSTED,"31,779",26,470,0.0,6.0,11,9,40,398,32,0.0
109,76,77223,44601,Alliance,OH,Canton-Massillon,STARK COUNTY,2365,1035700,951000,850800,838400,793500,749000,710900,776400,837300,840900,940800,1036900,421.0,STARK COUNTY,OH07601,ALLIANCE,35,0,1,0.0,0.0,0,0,0,1,0,0.0
110,76,77223,44601,Alliance,OH,Canton-Massillon,STARK COUNTY,2365,1035700,951000,850800,838400,793500,749000,710900,776400,837300,840900,940800,1036900,568.0,STARK COUNTY,OH07601,ALLIANCE,"21,803",75,799,0.0,14.0,11,50,109,649,41,6.0
111,77,76772,43613,Toledo,OH,Toledo,LUCAS COUNTY,2372,1250600,1171600,1033400,962900,858200,868100,865100,880700,898300,946000,1002200,1055900,381.0,LUCAS COUNTY,OH04807,TOLEDO,"277,116","2,829","11,095",35.0,180.0,780,"1,834","3,103","7,247",745,0.0
112,78,76955,44039,North Ridgeville,OH,Cleveland-Elyria,LORAIN COUNTY,2374,2065700,1881300,1806700,1793700,1675600,1710500,1771900,1805900,1891600,1940900,2034300,2237700,377.0,LORAIN COUNTY,OH04707,NORTH RIDGEVILLE,"33,586",17,140,1.0,7.0,2,7,47,89,4,0.0
113,79,77412,45036,Lebanon,OH,Cincinnati,WARREN COUNTY,2376,2198000,2137600,2046000,1995100,1979700,1975800,2002900,2075300,2173000,2312600,2466500,2597300,646.0,WARREN COUNTY,OH08303,LEBANON,"20,741",4,116,0.0,0.0,1,3,12,101,3,2.0
114,80,77441,45103,Batavia,OH,Cincinnati,CLERMONT COUNTY,2478,1852700,1760900,1688500,1712900,1628900,1647000,1659200,1678900,1758000,1825900,1980700,2081700,77.0,CLERMONT COUNTY,OH01301,BATAVIA,"1,656",0,57,0.0,0.0,0,0,7,46,4,0.0
115,81,77470,45150,Milford,OH,Cincinnati,CLERMONT COUNTY,2514,1858200,1748300,1666000,1674100,1622800,1673000,1673500,1698000,1754700,1826500,2025100,2116800,79.0,CLERMONT COUNTY,OH01303,MILFORD,"6,910",14,191,0.0,4.0,1,9,22,158,11,0.0
116,81,77470,45150,Milford,OH,Cincinnati,CLERMONT COUNTY,2514,1858200,1748300,1666000,1674100,1622800,1673000,1673500,1698000,1754700,1826500,2025100,2116800,258.0,CLERMONT COUNTY,OH01303,MILFORD,29,0,1,0.0,0.0,0,0,0,1,0,0.0
117,82,76582,43214,Columbus,OH,Columbus,FRANKLIN COUNTY,2529,2436900,2389200,2397000,2390600,2298100,2328500,2450900,2638600,2802800,2986900,3371200,3558600,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
118,82,76582,43214,Columbus,OH,Columbus,FRANKLIN COUNTY,2529,2436900,2389200,2397000,2390600,2298100,2328500,2450900,2638600,2802800,2986900,3371200,3558600,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
119,82,76582,43214,Columbus,OH,Columbus,FRANKLIN COUNTY,2529,2436900,2389200,2397000,2390600,2298100,2328500,2450900,2638600,2802800,2986900,3371200,3558600,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
120,83,77506,45215,Reading,OH,Cincinnati,HAMILTON COUNTY,2567,1462400,1400600,1312300,1230300,1207600,1187300,1187000,1187100,1300100,1383300,1496700,1614600,282.0,HAMILTON COUNTY,OH03129,READING,"10,307",28,291,1.0,4.0,7,16,52,232,7,0.0
121,84,77033,44133,North Royalton,OH,Cleveland-Elyria,CUYAHOGA COUNTY,2568,2425200,2299100,2203900,2200000,2105800,2102500,2144100,2207800,2254200,2378700,2518200,2687700,141.0,CUYAHOGA COUNTY,OH01836,NORTH ROYALTON,"30,313",7,103,3.0,0.0,0,4,22,80,1,0.0
122,85,77326,44805,Ashland,OH,Ashland,ASHLAND COUNTY,2663,1383800,1353000,1348200,1312600,1254100,1246000,1258500,1293300,1326900,1369600,1448900,1525700,16.0,ASHLAND COUNTY,OH00301,ASHLAND,"20,485",25,375,0.0,7.0,4,14,44,326,5,0.0
123,85,77326,44805,Ashland,OH,Ashland,ASHLAND COUNTY,2663,1383800,1353000,1348200,1312600,1254100,1246000,1258500,1293300,1326900,1369600,1448900,1525700,18.0,ASHLAND COUNTY,OH00300,ASHLAND,"29,919",35,204,0.0,20.0,0,15,50,137,17,1.0
124,86,76753,43560,Sylvania,OH,Toledo,LUCAS COUNTY,2737,2180800,2037000,1911900,1929500,1833200,1886700,1961400,2045800,2107700,2194000,2274200,2404200,,,,,,,,,,,,,,,
125,87,77109,44281,Wadsworth,OH,Cleveland-Elyria,MEDINA COUNTY,2755,1822300,1784500,1771700,1716300,1681800,1682600,1726400,1775700,1875300,1932500,2052500,2199200,427.0,MEDINA COUNTY,OH05203,WADSWORTH,"23,388",24,333,0.0,4.0,1,19,28,301,4,1.0
126,88,76671,43420,Fremont,OH,Fremont,SANDUSKY COUNTY,2789,901900,936600,1105100,1104100,1069200,1040800,1060900,1069200,1078800,1111200,1162200,1233600,554.0,SANDUSKY COUNTY,OH07203,FREMONT,"16,241",31,866,1.0,2.0,12,16,151,699,16,0.0
127,89,76588,43220,Upper Arlington,OH,Columbus,FRANKLIN COUNTY,2858,3641000,3457200,3448500,3401500,3384400,3424600,3525200,3828400,4073300,4440200,4721800,4928800,208.0,FRANKLIN COUNTY,OH02509,UPPER ARLINGTON,"35,214",12,512,0.0,3.0,6,3,88,417,7,2.0
128,90,77006,44106,Cleveland,OH,Cleveland-Elyria,CUYAHOGA COUNTY,2885,1561600,1439500,1177700,1049000,963300,911900,800900,841800,887200,1023900,1267500,1303800,117.0,CUYAHOGA COUNTY,OHCLP00,CLEVELAND,"385,351","5,999","18,944",107.0,497.0,"2,697","2,698","5,853","9,696","3,395",253.0
129,90,77006,44106,Cleveland,OH,Cleveland-Elyria,CUYAHOGA COUNTY,2885,1561600,1439500,1177700,1049000,963300,911900,800900,841800,887200,1023900,1267500,1303800,128.0,CUYAHOGA COUNTY,OH01817,EAST CLEVELAND,"17,178",136,339,5.0,8.0,83,40,100,89,150,3.0
130,91,77219,44515,Austintown,OH,Youngstown-Warren-Boardman,MAHONING COUNTY,2891,1068900,1040000,977700,963300,943100,887700,909200,963300,978100,1001100,1076100,1138200,405.0,MAHONING COUNTY,OH05001,AUSTINTOWN,"35,303",62,789,0.0,9.0,14,39,109,659,21,1.0
131,92,76482,43040,Marysville,OH,Columbus,UNION COUNTY,2911,1991300,1938700,1899800,1906200,1799900,1800100,1847600,1922500,2011600,2102900,2214200,2362300,634.0,UNION COUNTY,OH08001,MARYSVILLE,"23,622",17,290,1.0,4.0,3,9,27,255,8,1.0
132,93,77399,45005,Franklin,OH,Cincinnati,WARREN COUNTY,2926,1536600,1467400,1439800,1405100,1340700,1278500,1315700,1387700,1405400,1476700,1542400,1638600,644.0,WARREN COUNTY,OH08301,FRANKLIN,"11,779",31,443,1.0,6.0,13,11,70,359,14,1.0
133,94,77683,45459,Centerville,OH,Dayton,MONTGOMERY COUNTY,2980,2491800,2370600,2240100,2195400,2104300,2161800,2215500,2276200,2302500,2425900,2618300,2737100,251.0,DAYTON,OH05701,CENTERVILLE,2,0,0,0.0,0.0,0,0,0,0,0,0.0
134,94,77683,45459,Centerville,OH,Dayton,MONTGOMERY COUNTY,2980,2491800,2370600,2240100,2195400,2104300,2161800,2215500,2276200,2302500,2425900,2618300,2737100,457.0,DAYTON,OH05701,CENTERVILLE,"23,780",14,373,0.0,2.0,4,8,30,327,16,0.0
135,95,77127,44313,Akron,OH,Akron,SUMMIT COUNTY,2984,1804000,1714800,1607400,1566200,1482200,1507600,1538700,1570600,1599100,1655200,1763200,1865000,583.0,SUMMIT COUNTY,OH07701,AKRON,"197,412","1,377","8,360",42.0,209.0,395,731,"2,301","5,304",755,103.0
136,96,77029,44129,Parma,OH,Cleveland-Elyria,CUYAHOGA COUNTY,2989,1398500,1278900,1209800,1211600,1079500,965400,951900,969900,981900,1087400,1240800,1348300,144.0,CUYAHOGA COUNTY,OH01842,PARMA,"79,340",141,906,0.0,39.0,37,65,199,633,74,2.0
137,97,77767,45701,Athens,OH,Athens,ATHENS COUNTY,3005,1757100,1746400,1750700,1731900,1739100,1740600,1718900,1792300,1863200,1924800,2057500,2083300,22.0,ATHENS COUNTY,OH00501,ATHENS,"25,526",34,433,0.0,4.0,6,24,44,370,19,5.0
138,97,77767,45701,Athens,OH,Athens,ATHENS COUNTY,3005,1757100,1746400,1750700,1731900,1739100,1740600,1718900,1792300,1863200,1924800,2057500,2083300,28.0,ATHENS COUNTY,OH00500,ATHENS COUNTY SHERIFF,"31,510",20,391,1.0,9.0,4,6,118,255,18,1.0
139,98,76735,43537,Maumee,OH,Toledo,LUCAS COUNTY,3033,1966700,1842600,1751900,1717500,1673700,1683500,1695800,1772600,1866200,1914400,1992100,2097800,383.0,LUCAS COUNTY,OH04801,MAUMEE,"13,809",5,305,0.0,0.0,3,2,31,265,9,0.0
140,99,77668,45429,Kettering,OH,Dayton,MONTGOMERY COUNTY,3042,1745500,1664400,1606000,1600700,1480400,1449700,1502500,1546700,1574900,1674400,1771500,1876600,252.0,DAYTON,OH05705,KETTERING,471,0,8,0.0,0.0,0,0,2,6,0,0.0
141,99,77668,45429,Kettering,OH,Dayton,MONTGOMERY COUNTY,3042,1745500,1664400,1606000,1600700,1480400,1449700,1502500,1546700,1574900,1674400,1771500,1876600,459.0,DAYTON,OH05705,KETTERING,"54,681",70,852,0.0,23.0,26,21,190,610,52,3.0
142,100,77661,45420,Dayton,OH,Dayton,MONTGOMERY COUNTY,3071,1084100,1035400,963500,932700,871200,824800,811500,786000,812900,851700,916500,985200,456.0,DAYTON,OH05702,DAYTON,"140,171","1,232","6,083",30.0,122.0,393,687,"1,779","3,688",616,26.0
143,101,76771,43612,Toledo,OH,Toledo,LUCAS COUNTY,3081,1011400,918400,800400,718600,637200,576000,555800,568900,591400,590400,646500,688000,381.0,LUCAS COUNTY,OH04807,TOLEDO,"277,116","2,829","11,095",35.0,180.0,780,"1,834","3,103","7,247",745,0.0
144,102,76965,44052,Lorain,OH,Cleveland-Elyria,LORAIN COUNTY,3113,1014700,933000,827500,770400,648600,596300,536900,565700,612500,642200,696600,746800,375.0,LORAIN COUNTY,OH04705,LORAIN,"63,672",373,"2,019",2.0,30.0,87,254,590,"1,335",94,11.0
145,103,77521,45230,Cincinnati,OH,Cincinnati,HAMILTON COUNTY,3125,1827100,1801300,1710700,1689800,1642400,1669300,1678000,1703500,1788600,1885400,1965400,2083900,257.0,HAMILTON COUNTY,OHCIP00,CINCINNATI,"299,116","2,833","15,105",70.0,292.0,"1,196","1,275","3,448","10,172","1,485",1.0
146,104,76580,43212,Grandview Heights,OH,Columbus,FRANKLIN COUNTY,3172,2925500,2910900,2952800,2923100,2909600,3109100,3328700,3567100,4050500,4504600,4848400,4970900,204.0,FRANKLIN COUNTY,OH02505,GRANDVIEW HEIGHTS,"7,831",0,43,0.0,0.0,0,0,5,37,1,0.0
147,105,76489,43050,Mount Vernon,OH,Mount Vernon,KNOX COUNTY,3174,991000,992100,953100,931500,893300,837000,862800,925900,1197400,1311800,1429400,1458500,335.0,KNOX COUNTY,OH04201,MOUNT VERNON,"16,553",22,621,1.0,6.0,0,15,89,525,7,3.0
148,106,76577,43209,Bexley,OH,Columbus,FRANKLIN COUNTY,3177,2200400,2106800,2075200,2056900,1994100,2031700,2078500,2226100,2393700,2700100,3021100,3276900,201.0,FRANKLIN COUNTY,OH02501,BEXLEY,"13,773",20,420,1.0,4.0,10,5,104,301,15,0.0
149,107,77623,45365,Sidney,OH,Sidney,SHELBY COUNTY,3204,1358100,1341300,1253200,1242800,1191000,1207700,1258400,1275200,1301900,1333900,1404300,1469600,563.0,SHELBY COUNTY,OH07501,SIDNEY,"20,466",42,822,3.0,24.0,9,6,162,641,19,6.0
150,108,77025,44125,Garfield Heights,OH,Cleveland-Elyria,CUYAHOGA COUNTY,3209,1275600,1100000,929700,863300,767500,657100,638500,654900,657400,680200,765500,795800,131.0,CUYAHOGA COUNTY,OH01820,GARFIELD HEIGHTS,"27,846",0,0,0.0,0.0,0,0,0,0,0,0.0
151,109,77530,45239,White Oak,OH,Cincinnati,HAMILTON COUNTY,3227,1406400,1301200,1138300,1074800,1052200,1024900,1021900,1020500,1040700,1106500,1231700,1349800,,,,,,,,,,,,,,,
152,110,76512,43082,Westerville,OH,Columbus,FRANKLIN COUNTY,3288,3426000,3334700,3257300,3250400,3190600,3197200,3275600,3424800,3590900,3785600,4023000,4323700,174.0,FRANKLIN COUNTY,OH02510,WESTERVILLE,"8,531",9,205,0.0,3.0,3,3,17,184,4,0.0
153,110,76512,43082,Westerville,OH,Columbus,FRANKLIN COUNTY,3288,3426000,3334700,3257300,3250400,3190600,3197200,3275600,3424800,3590900,3785600,4023000,4323700,209.0,FRANKLIN COUNTY,OH02510,WESTERVILLE,"30,887",35,740,0.0,9.0,13,13,60,667,13,2.0
154,111,76712,43512,Defiance,OH,Defiance,DEFIANCE COUNTY,3318,0,0,0,568700,1013800,1051300,1089400,1065600,1097800,1160100,1170400,1251700,166.0,DEFIANCE COUNTY,OH02001,DEFIANCE,"16,594",26,464,0.0,14.0,3,9,54,390,20,1.0
155,111,76712,43512,Defiance,OH,Defiance,DEFIANCE COUNTY,3318,0,0,0,568700,1013800,1051300,1089400,1065600,1097800,1160100,1170400,1251700,167.0,DEFIANCE COUNTY,OH02000,DEFIANCE,"18,083",13,135,0.0,9.0,0,4,31,100,4,1.0
156,112,76587,43219,Columbus,OH,Columbus,FRANKLIN COUNTY,3329,0,0,0,0,0,0,0,606600,680300,635600,690800,833800,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
157,112,76587,43219,Columbus,OH,Columbus,FRANKLIN COUNTY,3329,0,0,0,0,0,0,0,606600,680300,635600,690800,833800,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
158,112,76587,43219,Columbus,OH,Columbus,FRANKLIN COUNTY,3329,0,0,0,0,0,0,0,606600,680300,635600,690800,833800,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
159,113,77527,45236,Deer Park,OH,Cincinnati,HAMILTON COUNTY,3385,1631800,1575400,1521800,1478200,1435800,1456600,1472000,1497800,1529500,1597600,1755000,1853100,264.0,HAMILTON COUNTY,OH03107,DEER PARK,"5,665",6,51,0.0,1.0,0,5,4,44,3,0.0
160,114,77382,44883,Tiffin,OH,Tiffin,SENECA COUNTY,3415,1199500,1132000,1075800,1097000,1004000,978900,1027500,1037800,1100000,1119400,1193400,1270300,561.0,SENECA COUNTY,OH07402,TIFFIN,"17,481",18,390,0.0,2.0,4,12,55,331,4,1.0
161,115,77035,44135,Cleveland,OH,Cleveland-Elyria,CUYAHOGA COUNTY,3427,1097400,980500,868500,851100,758200,690500,732500,739200,709900,783900,834900,955700,117.0,CUYAHOGA COUNTY,OHCLP00,CLEVELAND,"385,351","5,999","18,944",107.0,497.0,"2,697","2,698","5,853","9,696","3,395",253.0
162,115,77035,44135,Cleveland,OH,Cleveland-Elyria,CUYAHOGA COUNTY,3427,1097400,980500,868500,851100,758200,690500,732500,739200,709900,783900,834900,955700,128.0,CUYAHOGA COUNTY,OH01817,EAST CLEVELAND,"17,178",136,339,5.0,8.0,83,40,100,89,150,3.0
163,116,77794,45750,Marietta,OH,Marietta,WASHINGTON COUNTY,3457,1164900,1178600,1134900,1156900,1118700,1120300,1199800,1209400,1299500,1330400,1353400,1460500,655.0,WASHINGTON COUNTY,OH08402,MARIETTA,"13,582",23,250,0.0,11.0,2,10,37,197,16,2.0
164,117,77416,45042,Middletown,OH,Cincinnati,BUTLER COUNTY,3515,1470600,1407700,1313600,1256100,1101400,1111200,1087200,1125700,1239000,1303600,1348300,1477000,54.0,BUTLER COUNTY,OH00903,MIDDLETOWN,"46,069",235,"2,788",5.0,39.0,82,109,645,"1,973",170,0.0
165,117,77416,45042,Middletown,OH,Cincinnati,BUTLER COUNTY,3515,1470600,1407700,1313600,1256100,1101400,1111200,1087200,1125700,1239000,1303600,1348300,1477000,641.0,BUTLER COUNTY,OH00903,MIDDLETOWN,"2,759",14,168,0.0,2.0,5,7,39,119,10,0.0
166,118,77308,44708,Canton,OH,Canton-Massillon,STARK COUNTY,3575,1341900,1237000,1150700,1076000,975400,976600,1008400,1053600,1068800,1131600,1227200,1316700,566.0,STARK COUNTY,OH07604,CANTON,"71,031",836,"3,766",16.0,97.0,188,535,"1,008","2,512",246,12.0
167,119,77291,44685,Uniontown,OH,Canton-Massillon,STARK COUNTY,3601,1964900,1864700,1790100,1778600,1750700,1769600,1814900,1916000,1947200,2020300,2155100,2321800,,,,,,,,,,,,,,,
168,120,77043,44143,Richmond Heights,OH,Cleveland-Elyria,CUYAHOGA COUNTY,3631,2339100,2137100,2062500,1954300,1863700,1888100,1869400,1902600,1922600,2019900,2138700,2286000,147.0,CUYAHOGA COUNTY,OH01845,RICHMOND HEIGHTS,"10,432",19,206,0.0,0.0,12,7,37,146,23,0.0
169,121,77036,44136,Strongsville,OH,Cleveland-Elyria,CUYAHOGA COUNTY,3768,2348900,2220700,2093400,2126300,2047000,2048900,2122800,2161500,2191300,2293000,2448600,2602000,152.0,CUYAHOGA COUNTY,OH01851,STRONGSVILLE,"44,758",18,852,2.0,1.0,9,6,67,760,25,0.0
170,122,76533,43119,Columbus,OH,Columbus,FRANKLIN COUNTY,3800,1665300,1601800,1568400,1577600,1474300,1406700,1467800,1527200,1635600,1738100,1912000,2057400,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
171,122,76533,43119,Columbus,OH,Columbus,FRANKLIN COUNTY,3800,1665300,1601800,1568400,1577600,1474300,1406700,1467800,1527200,1635600,1738100,1912000,2057400,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
172,122,76533,43119,Columbus,OH,Columbus,FRANKLIN COUNTY,3800,1665300,1601800,1568400,1577600,1474300,1406700,1467800,1527200,1635600,1738100,1912000,2057400,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
173,123,76479,43035,Columbus,OH,Columbus,FRANKLIN COUNTY,3865,3230900,3160500,3104200,3114700,2997400,2978200,3083400,3241300,3422400,3624200,3910100,4220800,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
174,123,76479,43035,Columbus,OH,Columbus,FRANKLIN COUNTY,3865,3230900,3160500,3104200,3114700,2997400,2978200,3083400,3241300,3422400,3624200,3910100,4220800,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
175,123,76479,43035,Columbus,OH,Columbus,FRANKLIN COUNTY,3865,3230900,3160500,3104200,3114700,2997400,2978200,3083400,3241300,3422400,3624200,3910100,4220800,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
176,124,77190,44460,Salem,OH,Salem,COLUMBIANA COUNTY,3866,1155500,1102700,1066500,1016600,950900,994200,1003700,1055100,1104800,1132700,1175900,1265800,101.0,COLUMBIANA COUNTY,OH01506,SALEM,"11,883",21,348,0.0,4.0,1,16,20,324,4,1.0
177,124,77190,44460,Salem,OH,Salem,COLUMBIANA COUNTY,3866,1155500,1102700,1066500,1016600,950900,994200,1003700,1055100,1104800,1132700,1175900,1265800,403.0,COLUMBIANA COUNTY,OH01506,SALEM,4,0,0,0.0,0.0,0,0,0,0,0,0.0
178,125,77531,45240,Forest Park,OH,Cincinnati,HAMILTON COUNTY,3887,1540100,1429000,1278400,1221700,1196400,1151200,1147500,1157700,1259500,1323000,1459400,1586300,269.0,HAMILTON COUNTY,OH03112,FOREST PARK,"18,665",50,435,1.0,7.0,20,22,70,345,20,1.0
179,126,77535,45244,Dry Run,OH,Cincinnati,HAMILTON COUNTY,3913,2692500,2558300,2455600,2406800,2363900,2434700,2437100,2481800,2610000,2820200,2955000,3146800,,,,,,,,,,,,,,,
