,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
23,30.0,AUGLAIZE COUNTY,Saint Marys,ST. MARYS,"8,256",5,130,0.0,0.0,2,3,29,98,3,1.0,29.0,AUGLAIZE COUNTY,OH00601,ST. MARYS,"8,215",3,129,0.0,0.0,1,2,34,89,6,2.0
24,31.0,AUGLAIZE COUNTY,Wapakoneta,WAPAKONETA,"9,815",10,144,0.0,3.0,0,7,20,121,3,0.0,30.0,AUGLAIZE COUNTY,OH00602,WAPAKONETA,"9,809",14,164,0.0,6.0,3,5,25,137,2,1.0
25,32.0,AUGLAIZE COUNTY,Minster,MINSTER,"2,853",0,9,0.0,0.0,0,0,2,5,2,0.0,31.0,AUGLAIZE COUNTY,OH00605,MINSTER,"2,866",0,0,0.0,0.0,0,0,0,0,0,0.0
26,33.0,AUGLAIZE COUNTY,New Bremen,NEW BREMEN,"2,961",0,16,0.0,0.0,0,0,1,15,0,0.0,32.0,AUGLAIZE COUNTY,OH00606,NEW BREMEN,"2,966",0,20,0.0,0.0,0,0,1,19,0,0.0
27,34.0,AUGLAIZE COUNTY,New Knoxville,NEW KNOXVILLE,865,0,5,0.0,0.0,0,0,1,4,0,0.0,33.0,AUGLAIZE COUNTY,OH00607,NEW KNOXVILLE,864,0,5,0.0,0.0,0,0,0,5,0,0.0
28,36.0,BELMONT COUNTY,Barnesville,BARNESVILLE,"4,112",1,14,0.0,0.0,0,1,6,8,0,0.0,35.0,BELMONT COUNTY,OH00701,BARNESVILLE,"4,096",0,16,0.0,0.0,0,0,4,11,1,0.0
29,39.0,BELMONT COUNTY,Martins Ferry,MARTINS FERRY,"6,761",12,110,0.0,2.0,0,10,33,72,5,0.0,38.0,BELMONT COUNTY,OH00704,MARTINS FERRY,"6,731",13,70,0.0,6.0,0,7,12,52,6,0.0
30,40.0,BELMONT COUNTY,Powhatan Point,POWHATAN POINT,"1,569",1,1,0.0,0.0,0,1,0,1,0,0.0,39.0,BELMONT COUNTY,OH00705,POWHATAN POINT,"1,562",0,3,0.0,0.0,0,0,1,2,0,0.0
31,42.0,BELMONT COUNTY,Saint Clairsville,ST. CLAIRSVILLE,"5,090",4,9,0.0,0.0,0,4,1,8,0,0.0,41.0,BELMONT COUNTY,OH00707,ST. CLAIRSVILLE,"5,096",1,9,0.0,0.0,0,1,1,8,0,0.0
32,43.0,BELMONT COUNTY,Flushing,FLUSHING,860,0,2,0.0,0.0,0,0,0,2,0,0.0,42.0,BELMONT COUNTY,OH00711,FLUSHING,858,0,3,0.0,0.0,0,0,0,3,0,0.0
