,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
36,55,BUTLER COUNTY,Middletown,MIDDLETOWN,"46,067",242,"3,115",5,41,67,129,735,"2,253",127,0,54,BUTLER COUNTY,OH00903,MIDDLETOWN,"46,069",235,"2,788",5,39,82,109,645,"1,973",170,0
37,55,BUTLER COUNTY,Middletown,MIDDLETOWN,"46,067",242,"3,115",5,41,67,129,735,"2,253",127,0,641,BUTLER COUNTY,OH00903,MIDDLETOWN,"2,759",14,168,0,2,5,7,39,119,10,0
38,58,BUTLER COUNTY,Oxford,OXFORD,"22,197",23,270,1,3,4,15,53,206,11,2,57,BUTLER COUNTY,OH00907,OXFORD,"22,459",18,488,0,5,7,6,82,400,6,2
39,58,BUTLER COUNTY,Oxford,OXFORD,"22,197",23,270,1,3,4,15,53,206,11,2,58,BUTLER COUNTY,OH00913,OXFORD TOWNSHIP,"2,181",2,25,0,0,0,2,4,16,5,0
40,60,BUTLER COUNTY,West Chester,WEST CHESTER TOWNSHIP,"61,080",43,"1,340",0,15,14,14,155,"1,161",24,4,59,BUTLER COUNTY,OH00915,WEST CHESTER TOWNSHIP,"61,386",64,"1,300",0,21,15,28,170,"1,086",44,5
41,72,CLARK COUNTY,Springfield,SPRINGFIELD,"59,503",411,"4,040",5,34,184,188,963,"2,817",260,58,71,CLARK COUNTY,OH01202,SPRINGFIELD,"58,843",370,"4,024",9,25,177,159,"1,040","2,691",293,76
42,73,CLARK COUNTY,Enon,ENON,"2,389",0,2,0,0,0,0,1,1,0,0,72,CLARK COUNTY,OH01206,ENON,"2,381",0,2,0,0,0,0,1,0,1,0
43,74,CLARK COUNTY,South Charleston,SOUTH CHARLESTON,"1,655",2,23,0,0,0,2,3,18,2,0,73,CLARK COUNTY,OH01209,SOUTH CHARLESTON,"1,640",2,37,0,0,0,2,5,28,4,0
44,75,CLARK COUNTY,South Vienna,SOUTH VIENNA,378,1,14,0,0,0,1,1,12,1,0,75,CLARK COUNTY,OH01211,SOUTH VIENNA,375,0,8,0,0,0,0,1,4,3,0
45,77,CLERMONT COUNTY,Batavia,BATAVIA,"1,654",6,55,0,1,2,3,11,42,2,2,77,CLERMONT COUNTY,OH01301,BATAVIA,"1,656",0,57,0,0,0,0,7,46,4,0
46,78,CLERMONT COUNTY,Bethel,BETHEL,"2,782",6,95,0,1,0,5,9,84,2,0,78,CLERMONT COUNTY,OH01302,BETHEL,"2,791",3,87,0,0,0,3,14,71,2,0
47,79,CLERMONT COUNTY,Milford,MILFORD,"6,881",9,230,0,1,5,3,25,201,4,0,79,CLERMONT COUNTY,OH01303,MILFORD,"6,910",14,191,0,4,1,9,22,158,11,0
48,79,CLERMONT COUNTY,Milford,MILFORD,"6,881",9,230,0,1,5,3,25,201,4,0,258,CLERMONT COUNTY,OH01303,MILFORD,29,0,1,0,0,0,0,0,1,0,0
49,80,CLERMONT COUNTY,Amelia,AMELIA,"4,957",0,25,0,0,0,0,5,20,0,0,80,CLERMONT COUNTY,OH01304,AMELIA,"4,982",3,63,0,0,0,3,2,58,3,0
50,81,CLERMONT COUNTY,Felicity,FELICITY,830,2,42,0,0,0,2,6,36,0,0,81,CLERMONT COUNTY,OH01306,FELICITY,825,3,31,0,1,0,2,4,26,1,0
51,82,CLERMONT COUNTY,New Richmond,NEW RICHMOND,"2,651",12,74,0,3,2,7,22,47,5,1,82,CLERMONT COUNTY,OH01310,NEW RICHMOND,"2,663",6,61,0,0,0,6,13,45,3,0
52,85,CLERMONT COUNTY,Williamsburg,WILLIAMSBURG,"2,560",3,63,0,0,1,2,9,54,0,0,85,CLERMONT COUNTY,OH01313,WILLIAMSBURG,"2,565",4,58,0,1,0,3,11,45,2,1
53,86,CLERMONT COUNTY,Goshen,GOSHEN TOWNSHIP,"15,787",6,166,0,3,1,2,33,126,7,1,86,CLERMONT COUNTY,OH01314,GOSHEN TOWNSHIP,"15,860",7,165,0,5,1,1,32,118,15,1
54,86,CLERMONT COUNTY,Goshen,GOSHEN TOWNSHIP,"15,787",6,166,0,3,1,2,33,126,7,1,416,CLERMONT COUNTY,OH05018,GOSHEN TOWNSHIP,"3,072",3,55,0,2,0,1,6,44,5,1
55,90,CLERMONT COUNTY,Loveland,LOVELAND,"2,036",0,21,0,0,0,0,3,16,2,0,90,CLERMONT COUNTY,OH03120,LOVELAND,"2,070",2,18,0,1,0,1,4,13,1,0
56,90,CLERMONT COUNTY,Loveland,LOVELAND,"2,036",0,21,0,0,0,0,3,16,2,0,275,CLERMONT COUNTY,OH03120,LOVELAND,"9,953",10,86,0,5,1,4,19,61,6,1
57,90,CLERMONT COUNTY,Loveland,LOVELAND,"2,036",0,21,0,0,0,0,3,16,2,0,643,CLERMONT COUNTY,OH03120,LOVELAND,823,0,7,0,0,0,0,2,5,0,0
58,92,CLINTON COUNTY,Blanchester,BLANCHESTER,"4,249",6,75,1,0,1,4,6,65,4,1,92,CLINTON COUNTY,OH01401,BLANCHESTER,"4,261",12,99,0,6,2,4,23,71,5,0
59,93,CLINTON COUNTY,New Vienna,NEW VIENNA,"1,199",0,5,0,0,0,0,0,5,0,0,93,CLINTON COUNTY,OH01402,NEW VIENNA,"1,201",0,13,0,0,0,0,3,7,3,0
