City Size,2014,2015,2016,2017
Pop. 100000 and less,136.33757899219026,140.5618609581356,134.71520160974146,151.09646712556912
Pop. 100001 - 200000,690.2789919703272,619.9800594168645,616.45467587969,697.5259862622333
Pop. 200001 - 300000,1002.3284954051726,1031.5106843748088,1051.1896966298941,983.9981591866576
Pop. 300001 - 400000,1339.2340250350567,1161.5767127843042,1630.906176937397,1556.7625359736967
Pop. 400000 and over,558.4904388603425,561.2536788774926,521.7300568685762,513.1095446108851
