County,City,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
Butler County,West Chester,OH00915,WEST CHESTER TOWNSHIP,"61,386",64,"1,300",0,21,15,28,170,"1,086",44,5
#N/A,#N/A,OH00916,ROSS TOWNSHIP,"8,755",16,82,0,3,1,12,27,52,3,0
#N/A,#N/A,OH00917,MIAMI UNIVERSITY,0,26,140,0,19,1,6,9,131,0,9
#N/A,#N/A,OH00918,FAIRFIELD TOWNSHIP,"22,524",26,758,1,2,7,16,55,695,8,1
#N/A,#N/A,OH00900,BUTLER COUNTY SHERIFF,"78,382",37,989,1,11,12,13,220,761,8,1
#N/A,#N/A,OH00919,BUTLER COUNTY METROPARKS,0,0,1,0,0,0,0,0,1,0,0
Stark County,Minerva,OH07609,MINERVA,"1,729",1,16,0,0,0,1,3,12,1,0
Stark County,Magnolia,OH07630,MAGNOLIA,258,0,4,0,0,0,0,1,3,0,0
#N/A,#N/A,OH01101,MECHANICSBURG,"1,585",3,28,0,1,0,2,5,22,1,1
#N/A,#N/A,OH01102,URBANA,"11,351",25,404,1,3,5,16,62,329,13,3
#N/A,#N/A,OH01106,ST. PARIS,"2,006",1,9,0,0,0,1,1,6,2,0
#N/A,#N/A,OH01100,CHAMPAIGN COUNTY SHERIFF,"23,692",15,227,1,1,1,12,82,128,17,2
Clark County,Springfield,OH01202,SPRINGFIELD,"58,843",370,"4,024",9,25,177,159,"1,040","2,691",293,76
Clark County,Enon,OH01206,ENON,"2,381",0,2,0,0,0,0,1,0,1,0
Clark County,South Charleston,OH01209,SOUTH CHARLESTON,"1,640",2,37,0,0,0,2,5,28,4,0
#N/A,#N/A,OH01210,TREMONT CITY,366,0,3,0,0,0,0,0,3,0,0
Clark County,South Vienna,OH01211,SOUTH VIENNA,375,0,8,0,0,0,0,1,4,3,0
#N/A,#N/A,OH01200,CLARK COUNTY SHERIFF,"63,833",21,798,0,7,3,11,221,548,29,5
Clermont County,Batavia,OH01301,BATAVIA,"1,656",0,57,0,0,0,0,7,46,4,0
Clermont County,Bethel,OH01302,BETHEL,"2,791",3,87,0,0,0,3,14,71,2,0
Clermont County,Milford,OH01303,MILFORD,"6,910",14,191,0,4,1,9,22,158,11,0
Clermont County,Amelia,OH01304,AMELIA,"4,982",3,63,0,0,0,3,2,58,3,0
Clermont County,Felicity,OH01306,FELICITY,825,3,31,0,1,0,2,4,26,1,0
Clermont County,New Richmond,OH01310,NEW RICHMOND,"2,663",6,61,0,0,0,6,13,45,3,0
#N/A,#N/A,OH01311,NEWTONSVILLE,365,2,0,0,0,0,2,0,0,0,0
#N/A,#N/A,OH01312,OWENSVILLE,823,2,6,0,0,0,2,0,5,1,0
Clermont County,Williamsburg,OH01313,WILLIAMSBURG,"2,565",4,58,0,1,0,3,11,45,2,1
Clermont County,Goshen,OH01314,GOSHEN TOWNSHIP,"15,860",7,165,0,5,1,1,32,118,15,1
#N/A,#N/A,OH01315,MIAMI TOWNSHIP,"42,352",34,625,0,12,3,19,77,529,19,0
#N/A,#N/A,OH01316,UNION TOWNSHIP,"48,214",39,891,0,25,4,10,123,752,16,3
#N/A,#N/A,OH01317,PIERCE TOWNSHIP,"11,623",5,151,0,2,1,2,28,118,5,3
Clermont County,Loveland,OH03120,LOVELAND,"2,070",2,18,0,1,0,1,4,13,1,0
#N/A,#N/A,OH01300,CLERMONT COUNTY SHERIFF,"60,756",141,"1,166",0,39,10,92,358,744,64,5
Clinton County,Blanchester,OH01401,BLANCHESTER,"4,261",12,99,0,6,2,4,23,71,5,0
Clinton County,New Vienna,OH01402,NEW VIENNA,"1,201",0,13,0,0,0,0,3,7,3,0
Clinton County,Sabina,OH01403,SABINA,"2,534",3,52,0,2,0,1,15,37,0,1
Clinton County,Wilmington,OH01404,WILMINGTON,"12,416",23,645,0,3,8,12,72,562,11,0
Highland County,Lynchburg,OH03604,LYNCHBURG,2,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH01400,CLINTON COUNTY SHERIFF,"21,598",4,37,0,0,1,3,7,25,5,1
Columbiana County,Columbiana,OH01501,COLUMBIANA,"5,583",3,33,0,1,1,1,3,30,0,0
Columbiana County,East Palestine,OH01503,EAST PALESTINE,"4,503",11,82,0,2,1,8,22,58,2,1
Columbiana County,Lisbon,OH01505,LISBON,"2,680",1,26,0,1,0,0,6,19,1,0
Columbiana County,Salem,OH01506,SALEM,"11,883",21,348,0,4,1,16,20,324,4,1
#N/A,#N/A,OH01507,SALINEVILLE,"1,240",0,18,0,0,0,0,4,14,0,2
Columbiana County,Wellsville,OH01508,WELLSVILLE,"3,347",0,1,0,0,0,0,0,1,0,0
Columbiana County,New Waterford,OH01510,NEW WATERFORD,"1,183",0,3,0,0,0,0,1,2,0,0
#N/A,#N/A,OH01513,WASHINGTONVILLE,424,0,2,0,0,0,0,1,1,0,0
#N/A,#N/A,OH01515,ST. CLAIR TOWNSHIP,"7,583",0,26,0,0,0,0,0,26,0,0
#N/A,#N/A,OH01519,PERRY TOWNSHIP,"4,381",0,3,0,0,0,0,2,1,0,0
#N/A,#N/A,OH01520,CENTER TOWNSHIP,"3,356",1,0,0,0,0,1,0,0,0,0
Stark County,Minerva,OH07609,MINERVA,2,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH01500,COLUMBIANA COUNTY SHERIFF,"37,723",12,60,2,5,0,5,14,40,6,0
Coshocton County,West Lafayette,OH01606,WEST LAFAYETTE,"2,287",3,6,0,2,0,1,1,5,0,0
Coshocton County,Coshocton,OH01600,COSHOCTON COUNTY SHERIFF,"34,357",37,457,0,8,5,24,123,319,15,5
#N/A,#N/A,OH01701,BUCYRUS,"11,828",26,436,0,6,4,16,82,348,6,0
#N/A,#N/A,OH01702,CRESTLINE,"4,390",11,69,0,6,3,2,24,40,5,0
#N/A,#N/A,OH01703,GALION,"10,073",12,285,0,7,0,5,51,229,5,2
#N/A,#N/A,OH01700,CRAWFORD COUNTY SHERIFF,"14,701",0,110,0,0,0,0,37,64,9,0
Cuyahoga County,Cleveland,OHCLP00,CLEVELAND,"385,351","5,999","18,944",107,497,"2,697","2,698","5,853","9,696","3,395",253
#N/A,#N/A,OH018A1,NOTRE DAME COLLEGE,0,2,38,0,2,0,0,9,29,0,0
Cuyahoga County,Bay Village,OH01801,BAY VILLAGE,"15,327",2,73,0,1,0,1,11,61,1,0
Cuyahoga County,Bedford,OH01803,BEDFORD,"12,641",25,228,1,1,16,7,50,146,32,0
#N/A,#N/A,OH01804,BEDFORD HEIGHTS,"10,558",22,255,1,1,9,11,32,173,50,0
Cuyahoga County,Berea,OH01806,BEREA,"18,871",8,140,0,1,1,6,27,105,8,2
Cuyahoga County,Brecksville,OH01808,BRECKSVILLE,"13,432",2,52,0,1,0,1,4,47,1,0
Cuyahoga County,Broadview Heights,OH01809,BROADVIEW HEIGHTS,"19,228",1,21,0,0,0,1,5,11,5,0
#N/A,#N/A,OH01810,BROOKLYN,"10,809",23,677,1,5,11,6,31,612,34,0
#N/A,#N/A,OH01813,CHAGRIN FALLS,"3,991",2,39,0,1,0,1,3,36,0,0
Cuyahoga County,Cleveland Heights,OH01815,CLEVELAND HEIGHTS,"44,525",131,879,2,16,79,34,125,655,99,1
Cuyahoga County,Cleveland,OH01817,EAST CLEVELAND,"17,178",136,339,5,8,83,40,100,89,150,3
Cuyahoga County,Euclid,OH01818,EUCLID,"47,270",303,"1,267",4,26,118,155,226,910,131,6
Cuyahoga County,Fairview Park,OH01819,FAIRVIEW PARK,"16,307",18,176,1,1,4,12,14,155,7,1
Cuyahoga County,Garfield Heights,OH01820,GARFIELD HEIGHTS,"27,846",0,0,0,0,0,0,0,0,0,0
Cuyahoga County,Gates Mills,OH01821,GATES MILLS,"2,232",2,24,0,0,1,1,2,20,2,0
#N/A,#N/A,OH01822,GLENWILLOW,923,0,3,0,0,0,0,0,3,0,0
#N/A,#N/A,OH01823,HIGHLAND HEIGHTS,"8,434",7,132,0,1,2,4,9,119,4,0
#N/A,#N/A,OH01825,INDEPENDENCE,"7,135",3,129,0,1,1,1,4,123,2,0
Cuyahoga County,Lakewood,OH01826,LAKEWOOD,"50,151",74,"1,199",2,6,40,26,469,652,78,5
Cuyahoga County,Lyndhurst,OH01827,LYNDHURST,"13,586",18,180,0,0,7,11,21,148,11,0
#N/A,#N/A,OH01829,MAYFIELD HEIGHTS,"18,724",13,188,1,1,5,6,12,170,6,0
