,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,Crime_Percent2017
173,Franklin County,Dublin,4534,3,0,1,1,1,66.16674019
174,Franklin County,Westerville,8531,9,0,3,3,3,105.497597
176,Erie County,Huron,6950,4,0,1,1,2,57.55395683
177,Erie County,Sandusky,24861,70,1,13,31,25,281.5655042
178,Lorain County,Vermilion,4603,1,0,0,0,1,21.72496198
180,Erie County,Berlin Heights,713,0,0,0,0,0,0
181,Erie County,Milan,983,1,0,1,0,0,101.7293998
185,Franklin County,Columbus,10505,54,2,11,24,17,514.0409329
186,Fairfield County,Lancaster,40026,127,0,24,33,70,317.2937591
187,Fairfield County,Baltimore,2973,0,0,0,0,0,0
188,Fairfield County,Carroll,520,0,0,0,0,0,0
189,Fairfield County,Lithopolis,1448,0,0,0,0,0,0
190,Fairfield County,Millersport,1050,0,0,0,0,0,0
191,Fairfield County,Pickerington,20297,38,0,6,12,20,187.2197862
192,Fairfield County,Sugar Grove,433,0,0,0,0,0,0
193,Franklin County,Reynoldsburg,936,3,0,1,1,1,320.5128205
194,Butler County,Fairfield,75853,38,0,15,6,17,50.09689795
195,Fayette County,Washington Court House,14136,41,0,16,14,11,290.0396152
196,Fulton County,Fayette,14453,37,1,5,3,28,256.0022141
197,Franklin County,Columbus,853424,4379,139,899,1919,1422,513.1095446
198,Fairfield County,Lithopolis,42,0,0,0,0,0,0
199,Fairfield County,Pickerington,76,0,0,0,0,0,0
201,Franklin County,Bexley,13773,20,1,4,10,5,145.211646
202,Franklin County,Dublin,39242,27,1,10,8,8,68.80383263
203,Franklin County,Gahanna,35243,25,1,13,5,6,70.93607241
204,Franklin County,Grandview Heights,7831,0,0,0,0,0,0
205,Franklin County,Grove City,40421,47,4,14,24,5,116.2761931
206,Franklin County,Hilliard,36144,17,0,6,2,9,47.03408588
207,Franklin County,Reynoldsburg,27631,71,1,16,35,19,256.9577648
208,Franklin County,Upper Arlington,35214,12,0,3,6,3,34.0773556
209,Franklin County,Westerville,30887,35,0,9,13,13,113.3162819
210,Franklin County,Whitehall,18835,125,0,11,69,45,663.6580834
211,Franklin County,Worthington,14692,11,2,2,3,4,74.87067792
213,Franklin County,Groveport,5583,12,0,3,6,3,214.9382053
216,Franklin County,New Albany,10670,4,0,2,0,2,37.48828491
219,Lake County,Madison,18661,19,0,2,5,12,101.8166229
224,Fulton County,Archbold,4338,2,0,1,0,1,46.10419548
225,Fulton County,Fayette,1265,2,0,2,0,0,158.1027668
226,Fulton County,Swanton,3768,5,0,4,0,1,132.6963907
227,Fulton County,Wauseon,7407,10,0,1,1,8,135.0074254
233,Geauga County,Chardon,5199,10,0,1,0,9,192.3446817
234,Geauga County,Burton,1460,0,0,0,0,0,0
235,Geauga County,Middlefield,2715,1,0,0,0,1,36.83241252
238,Geauga County,Chesterland,10355,0,0,0,0,0,0
243,Greene County,Xenia,26331,55,1,16,8,30,208.8792678
244,Greene County,Yellow Springs,3713,11,0,4,4,3,296.2563964
245,Greene County,Bellbrook,7159,5,0,1,0,4,69.84215673
246,Greene County,Jamestown,2036,3,0,1,2,0,147.3477407
247,Greene County,Beavercreek,46572,38,0,13,9,16,81.59409087
251,Dayton,Centerville,2,0,0,0,0,0,0
252,Dayton,Kettering,471,0,0,0,0,0,0
254,Guernsey County,Cambridge,10391,8,1,1,3,3,76.98970263
255,Guernsey County,Byesville,2372,0,0,0,0,0,0
256,Guernsey County,Senecaville,448,0,0,0,0,0,0
257,Hamilton County,Cincinnati,299116,2833,70,292,1196,1275,947.1241926
258,Clermont County,Milford,29,0,0,0,0,0,0
261,Hamilton County,Blue Ash,12248,16,2,2,4,8,130.6335728
263,Hamilton County,Cleves,3418,0,0,0,0,0,0
264,Hamilton County,Deer Park,5665,6,0,1,0,5,105.913504
269,Hamilton County,Forest Park,18665,50,1,7,20,22,267.8810608
271,Hamilton County,Greenhills,3584,1,0,0,0,1,27.90178571
272,Hamilton County,Harrison,11246,6,1,0,5,0,53.35230304
275,Clermont County,Loveland,9953,10,0,5,1,4,100.4722194
277,Hamilton County,Montgomery,10638,4,0,2,1,1,37.60105283
281,Hamilton County,Norwood,19994,68,0,15,28,25,340.1020306
282,Hamilton County,Reading,10307,28,1,4,7,16,271.6600369
283,Hamilton County,Springdale,11203,0,0,0,0,0,0
293,Allen County,Bluffton,170,0,0,0,0,0,0
294,Hancock County,Findlay,41474,128,3,25,24,76,308.6270917
295,Hancock County,McComb,1655,0,0,0,0,0,0
304,Highland County,Greenfield,4582,13,3,3,2,5,283.7189
305,Highland County,Hillsboro,6576,9,0,7,1,1,136.8613139
306,Highland County,Leesburg,1295,1,0,0,0,1,77.22007722
307,Highland County,Lynchburg,1480,0,0,0,0,0,0
310,Hocking County,Logan,7077,18,0,5,3,10,254.3450615
311,Hocking County,Laurelville,507,1,0,0,1,0,197.2386588
313,Ashland County,Loudonville,61,0,0,0,0,0,0
316,Erie County,Milan,356,0,0,0,0,0,0
325,Jefferson County,Steubenville,17979,49,3,4,11,31,272.5401858
