,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
231,Franklin County,Bexley,13543.0,15.0,1.0,4.0,8.0,2.0
232,Franklin County,Dublin,37361.0,7.0,,,6.0,1.0
233,Franklin County,Gahanna,34249.0,24.0,,6.0,16.0,2.0
234,Franklin County,Grandview Heights,7058.0,5.0,,2.0,3.0,
235,Franklin County,Grove City,37945.0,38.0,,16.0,18.0,4.0
236,Franklin County,Reynoldsburg,26889.0,42.0,,14.0,14.0,14.0
237,Franklin County,Upper Arlington,34600.0,4.0,,,4.0,
238,Franklin County,Westerville,29630.0,22.0,,7.0,12.0,3.0
243,Franklin County,Groveport,5700.0,6.0,,,,6.0
245,Franklin County,New Albany,9052.0,3.0,,,,3.0
259,Fulton County,Delta,3088.0,,,,,
260,Fulton County,Fayette,1270.0,,,,,
261,Fulton County,Swanton,3597.0,,,,,
262,Fulton County,Wauseon,7292.0,13.0,,5.0,2.0,6.0
270,Geauga County,Chardon,5193.0,4.0,,1.0,1.0,2.0
271,Geauga County,Burton,1462.0,,,,,
272,Geauga County,Middlefield,2715.0,,,,,
275,Geauga County,Chesterland,10343.0,2.0,,,1.0,1.0
281,Greene County,Xenia,25932.0,56.0,,25.0,10.0,21.0
282,Greene County,Yellow Springs,3519.0,5.0,,,,5.0
283,Greene County,Bellbrook,7044.0,3.0,,2.0,1.0,
284,Greene County,Jamestown,2009.0,4.0,,,,4.0
285,Greene County,Beavercreek,45835.0,25.0,,7.0,11.0,7.0
293,Guernsey County,Cambridge,10476.0,50.0,1.0,12.0,14.0,23.0
294,Guernsey County,Byesville,2404.0,2.0,,,,2.0
297,Hamilton County,Cincinnati,297671.0,2719.0,60.0,248.0,1358.0,1053.0
300,Hamilton County,Blue Ash,12146.0,8.0,,4.0,4.0,
302,Hamilton County,Deer Park,5693.0,5.0,,2.0,1.0,2.0
307,Hamilton County,Forest Park,18724.0,57.0,1.0,11.0,32.0,13.0
309,Hamilton County,Greenhills,3596.0,3.0,,,2.0,1.0
310,Hamilton County,Harrison,10382.0,7.0,,1.0,6.0,
315,Hamilton County,Madeira,8905.0,,,,,
317,Hamilton County,Montgomery,10395.0,3.0,,1.0,,2.0
321,Hamilton County,Norwood,19027.0,74.0,,8.0,44.0,22.0
322,Hamilton County,Springdale,11216.0,55.0,,10.0,40.0,5.0
332,Hancock County,Findlay,41613.0,80.0,,22.0,17.0,41.0
333,Hancock County,McComb,1657.0,,,,,
349,Highland County,Greenfield,4608.0,7.0,,2.0,2.0,3.0
350,Highland County,Hillsboro,6598.0,7.0,,4.0,3.0,
351,Highland County,Leesburg,1305.0,,,,,
352,Highland County,Lynchburg,1490.0,3.0,,,,3.0
356,Hocking County,Logan,7139.0,21.0,,8.0,1.0,12.0
357,Hocking County,Laurelville,520.0,,,,,
378,Jefferson County,Wintersville,3812.0,2.0,,,1.0,1.0
386,Knox County,Mount Vernon,16740.0,32.0,,14.0,3.0,15.0
388,Knox County,Fredericktown,2478.0,2.0,,,,2.0
392,Lake County,Eastlake,18381.0,14.0,1.0,1.0,6.0,6.0
394,Lake County,Mentor,46937.0,3.0,,,3.0,
396,Lake County,Painesville,20026.0,50.0,2.0,12.0,19.0,17.0
398,Lake County,Willoughby,22501.0,22.0,,2.0,9.0,11.0
413,Licking County,Hebron,2365.0,,,,,
414,Licking County,Johnstown,4876.0,3.0,,,,3.0
415,Licking County,Saint Louisville,365.0,,,,,
419,Logan County,Bellefontaine,13156.0,29.0,,12.0,6.0,11.0
420,Logan County,Russells Point,1363.0,1.0,,,,1.0
421,Logan County,De Graff,1266.0,,,,,
422,Logan County,West Liberty,1777.0,5.0,,1.0,1.0,3.0
425,Lorain County,Vermilion,5804.0,6.0,,2.0,,4.0
426,Lorain County,Amherst,12133.0,3.0,,1.0,2.0,
427,Lorain County,Lorain,63619.0,244.0,,38.0,91.0,115.0
428,Lorain County,Oberlin,8389.0,12.0,,7.0,2.0,3.0
429,Lorain County,North Ridgeville,31706.0,11.0,,3.0,4.0,4.0
430,Lorain County,Sheffield Lake,9051.0,6.0,,3.0,2.0,1.0
431,Lorain County,Grafton,5895.0,3.0,,,,3.0
435,Lucas County,Toledo,281150.0,3068.0,24.0,231.0,944.0,1869.0
437,Lucas County,Maumee,14062.0,18.0,,4.0,7.0,7.0
438,Lucas County,Oregon,20207.0,27.0,,5.0,7.0,15.0
442,Lucas County,Waterville,5506.0,3.0,,1.0,,2.0
443,Lucas County,Whitehouse,4397.0,3.0,,1.0,,2.0
449,Madison County,London,9996.0,14.0,,6.0,1.0,7.0
450,Madison County,West Jefferson,4239.0,1.0,,,,1.0
454,Mahoning County,Boardman,40047.0,65.0,1.0,15.0,35.0,14.0
455,Mahoning County,Youngstown,64658.0,427.0,14.0,37.0,132.0,244.0
459,Mahoning County,Austintown,35997.0,64.0,1.0,17.0,16.0,30.0
461,Mahoning County,Canfield,7386.0,2.0,,,,2.0
465,Mahoning County,Struthers,10451.0,31.0,3.0,5.0,9.0,14.0
466,Mahoning County,New Middletown,1584.0,2.0,,1.0,,1.0
481,Medina County,Brunswick,34620.0,19.0,,1.0,2.0,16.0
482,Medina County,Medina,26551.0,21.0,,3.0,11.0,7.0
483,Medina County,Wadsworth,21894.0,11.0,,6.0,,5.0
485,Medina County,Lodi,2789.0,11.0,,1.0,,10.0
486,Medina County,Seville,2358.0,,,,,
487,Medina County,Spencer,770.0,,,,,
488,Medina County,Hinckley,7873.0,4.0,,3.0,,1.0
502,Mercer County,Celina,10370.0,19.0,,5.0,1.0,13.0
503,Mercer County,Coldwater,4454.0,1.0,,,,1.0
504,Mercer County,Fort Recovery,1416.0,1.0,,1.0,,
505,Mercer County,Rockford,1113.0,,,,,
506,Mercer County,Saint Henry,2496.0,1.0,,,,1.0
509,Miami County,Piqua,20746.0,35.0,,15.0,13.0,7.0
510,Miami County,Tipp City,9839.0,5.0,,1.0,2.0,2.0
511,Miami County,Troy,25500.0,41.0,,12.0,13.0,16.0
512,Miami County,Covington,2606.0,1.0,,1.0,,
519,Montgomery County,Dayton,143217.0,1237.0,27.0,144.0,537.0,529.0
520,Montgomery County,Centerville,23947.0,23.0,,3.0,5.0,15.0
521,Montgomery County,Germantown,5520.0,4.0,,2.0,,2.0
522,Montgomery County,Kettering,55311.0,53.0,,16.0,18.0,19.0
524,Montgomery County,Miamisburg,20109.0,34.0,,9.0,13.0,12.0
525,Montgomery County,Moraine,6331.0,20.0,,4.0,9.0,7.0
526,Montgomery County,Clayton,13209.0,7.0,,2.0,5.0,
527,Montgomery County,Trotwood,24193.0,98.0,,25.0,40.0,33.0
528,Montgomery County,Vandalia,15151.0,19.0,,5.0,10.0,4.0
530,Montgomery County,West Carrollton,13028.0,27.0,,5.0,17.0,5.0
532,Montgomery County,Englewood,13466.0,25.0,1.0,4.0,9.0,11.0
533,Montgomery County,New Lebanon,3987.0,3.0,,1.0,2.0,
552,Muskingum County,Zanesville,25415.0,103.0,,17.0,24.0,62.0
553,Muskingum County,Frazeysburg,1313.0,1.0,,1.0,,
554,Muskingum County,New Concord,1567.0,,,,,
555,Muskingum County,Roseville,747.0,1.0,,,,1.0
562,Ottawa County,Oak Harbor,2738.0,5.0,,,1.0,4.0
563,Ottawa County,Port Clinton,6029.0,22.0,1.0,4.0,3.0,14.0
