Index,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
40,77522,45231,Finneytown,OH,Cincinnati,Hamilton County,1167,1350500,1232400,1080600,1043800,1005500,983500,973000,984000,1018100,1046500,1175500,1342500
41,76745,43551,Perrysburg,OH,Toledo,Wood County,1191,2016500,1950100,1911200,1916000,1892800,1959200,1982000,2041900,2117200,2255700,2388900,2432200
42,77018,44118,Cleveland Heights,OH,Cleveland-Elyria,Cuyahoga County,1218,1887700,1669100,1587700,1551800,1501400,1429400,1466600,1509400,1519300,1523200,1580500,1686900
43,77085,44240,Kent,OH,Akron,Portage County,1232,1619400,1581400,1547300,1509100,1461300,1451200,1459000,1470900,1475300,1547300,1644400,1688900
44,77065,44203,Barberton,OH,Akron,Summit County,1243,1199200,1112200,1060500,986500,878700,831300,860800,912200,916900,933900,1006400,1166900
45,76996,44094,Willoughby,OH,Cleveland-Elyria,Lake County,1278,2237100,2123500,1953900,1886800,1771300,1814100,1846600,1922800,1917400,1996400,2069900,2252400
46,77315,44720,North Canton,OH,Canton-Massillon,Stark County,1305,1768200,1718500,1625200,1598000,1543500,1556900,1634900,1694200,1723800,1810500,1902300,1975800
47,77009,44109,Cleveland,OH,Cleveland-Elyria,Cuyahoga County,1313,1021400,910200,772800,716900,633700,559500,511000,596900,632500,629100,707100,828700
48,76570,43201,Columbus,OH,Columbus,Franklin County,1345,1944400,1938400,1862900,1853400,1830500,1925500,1989600,2080100,2312200,2774000,3086600,3252400
49,77076,44224,Stow,OH,Akron,Summit County,1347,2003900,1930700,1907500,1880500,1811900,1774800,1806300,1875500,1920800,1978100,2108300,2226100
50,77034,44134,Parma,OH,Cleveland-Elyria,Cuyahoga County,1398,1421600,1304200,1254700,1218900,1131800,1056200,1032800,1017600,1033200,1156000,1305700,1392500
51,77502,45211,Cincinnati,OH,Cincinnati,Hamilton County,1401,1339400,1227500,1117600,1040300,1005800,988800,983100,989800,1011600,1033900,1162600,1245600
52,76464,43017,Dublin,OH,Columbus,Franklin County,1554,3729300,3580600,3501800,3562600,3518600,3547300,3694300,3839800,4041800,4220400,4468000,4621400
53,77639,45385,Xenia,OH,Dayton,Greene County,1590,1286400,1309400,1226500,1202700,1143100,1117000,1069900,1114300,1207300,1219100,1264900,1418500
54,77022,44122,Shaker Heights,OH,Cleveland-Elyria,Cuyahoga County,1599,2627200,2434200,2369700,2399500,2273300,2268400,2388800,2467900,2559100,2617100,2810500,2914900
55,77603,45342,Miamisburg,OH,Dayton,Montgomery County,1606,1731700,1693200,1561300,1572300,1466100,1465600,1500300,1506400,1543800,1626600,1739600,1870800
56,76498,43065,Powell,OH,Columbus,Delaware County,1649,3629000,3523900,3398400,3386600,3361400,3385600,3491400,3634700,3772800,3980200,4165200,4377800
57,76581,43213,Whitehall,OH,Columbus,Franklin County,1714,1178000,1095000,1002100,974600,909500,789900,786000,823100,882800,970400,1127800,1271200
58,77630,45373,Troy,OH,Dayton,Miami County,1716,1530800,1492000,1424000,1382200,1377400,1406400,1450200,1472000,1502400,1548700,1637700,1770700
59,76526,43110,Columbus,OH,Columbus,Franklin County,1807,1922700,1792700,1728300,1711500,1622500,1578900,1663400,1691200,1839200,1923400,2056900,2261800
60,77216,44512,Boardman,OH,Youngstown-Warren-Boardman,Mahoning County,1810,1304400,1230000,1119400,1128200,1141300,1076900,1107200,1141600,1149500,1163400,1255400,1336500
61,77045,44145,Westlake,OH,Cleveland-Elyria,Cuyahoga County,1934,2941100,2719000,2672400,2692700,2664200,2733900,2846900,2957500,2962200,3124900,3267700,3428100
62,76550,43147,Pickerington,OH,Columbus,Fairfield County,1946,2354800,2293200,2187100,2140400,2102300,2083500,2072300,2156900,2242700,2416400,2615000,2794300
63,77046,44146,Bedford,OH,Cleveland-Elyria,Cuyahoga County,1953,1474000,1317300,1126800,1108100,1048400,1010900,993700,997300,1027000,1064100,1091700,1181600
64,76997,44095,Eastlake,OH,Cleveland-Elyria,Lake County,2089,1583600,1522900,1436400,1365100,1291400,1239500,1209700,1235300,1228300,1333200,1377700,1416600
65,76661,43402,Bowling Green,OH,Toledo,Wood County,2100,1769400,1677700,1647200,1638900,1612200,1640900,1606500,1684500,1746200,1760600,1866200,1945400
66,76589,43221,Upper Arlington,OH,Columbus,Franklin County,2109,2730100,2695300,2640800,2651500,2591200,2601500,2773000,2956100,3238200,3459400,3884800,4042100
67,76773,43614,Toledo,OH,Toledo,Lucas County,2138,1566800,1489600,1373100,1267400,1169900,1134600,1168200,1196800,1265100,1340700,1403400,1441900
68,77021,44121,South Euclid,OH,Cleveland-Elyria,Cuyahoga County,2153,1469100,1283400,1128400,1104700,991300,881000,872300,887800,904100,959700,1027000,1097000
69,77682,45458,Centerville,OH,Dayton,Montgomery County,2185,2839500,2804800,2658500,2631500,2489200,2646100,2652200,2697700,2827300,2907500,3081000,3259300
70,77694,45503,Springfield,OH,Springfield,Clark County,2204,1237500,1187900,1155000,1101600,1056400,1043200,1065900,1081800,1113600,1177300,1248600,1287400
71,77073,44221,Cuyahoga Falls,OH,Akron,Summit County,2287,1368000,1308800,1240000,1210200,1118600,1087400,1103900,1134700,1175800,1275600,1368200,1414800
72,77100,44266,Ravenna,OH,Akron,Portage County,2293,1417700,1378300,1353700,1305100,1267300,1256900,1211500,1186300,1271600,1306300,1402900,1468600
73,76938,44004,Ashtabula,OH,Ashtabula,Ashtabula County,2323,1021200,985900,944400,935000,870300,859500,879600,881200,832100,834600,850800,856700
74,77126,44312,Akron,OH,Akron,Summit County,2352,1246200,1162300,1096100,1025600,965800,913800,902000,937100,919900,943900,1064300,1197200
75,76978,44070,North Olmsted,OH,Cleveland-Elyria,Cuyahoga County,2359,1828100,1674300,1608100,1615800,1547200,1554300,1563600,1590400,1643100,1746700,1865900,1999200
76,77223,44601,Alliance,OH,Canton-Massillon,Stark County,2365,1035700,951000,850800,838400,793500,749000,710900,776400,837300,840900,940800,1036900
77,76772,43613,Toledo,OH,Toledo,Lucas County,2372,1250600,1171600,1033400,962900,858200,868100,865100,880700,898300,946000,1002200,1055900
78,76955,44039,North Ridgeville,OH,Cleveland-Elyria,Lorain County,2374,2065700,1881300,1806700,1793700,1675600,1710500,1771900,1805900,1891600,1940900,2034300,2237700
79,77412,45036,Lebanon,OH,Cincinnati,Warren County,2376,2198000,2137600,2046000,1995100,1979700,1975800,2002900,2075300,2173000,2312600,2466500,2597300
80,77441,45103,Batavia,OH,Cincinnati,Clermont County,2478,1852700,1760900,1688500,1712900,1628900,1647000,1659200,1678900,1758000,1825900,1980700,2081700
81,77470,45150,Milford,OH,Cincinnati,Clermont County,2514,1858200,1748300,1666000,1674100,1622800,1673000,1673500,1698000,1754700,1826500,2025100,2116800
82,76582,43214,Columbus,OH,Columbus,Franklin County,2529,2436900,2389200,2397000,2390600,2298100,2328500,2450900,2638600,2802800,2986900,3371200,3558600
83,77506,45215,Reading,OH,Cincinnati,Hamilton County,2567,1462400,1400600,1312300,1230300,1207600,1187300,1187000,1187100,1300100,1383300,1496700,1614600
84,77033,44133,North Royalton,OH,Cleveland-Elyria,Cuyahoga County,2568,2425200,2299100,2203900,2200000,2105800,2102500,2144100,2207800,2254200,2378700,2518200,2687700
85,77326,44805,Ashland,OH,Ashland,Ashland County,2663,1383800,1353000,1348200,1312600,1254100,1246000,1258500,1293300,1326900,1369600,1448900,1525700
