,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
658,Warren County,Springboro,12*,OH08314,SPRINGBORO,"16,933",12,0.0,7.0,1,4
661,Washington County,Belpre,12,OH08401,BELPRE,"6,437",5,1.0,1.0,0,3
662,Washington County,Marietta,12,OH08402,MARIETTA,"13,927",13,0.0,8.0,1,4
664,Washington County,Beverly,3,OH08404,BEVERLY,"1,294",0,0.0,0.0,0,0
668,Wayne County,Orrville,12,OH08501,ORRVILLE,"8,475",5,0.0,1.0,1,3
669,Wayne County,Rittman,12*,OH08502,RITTMAN,"6,454",4,0.0,0.0,2,2
670,Wayne County,Wooster,12,OH08503,WOOSTER,"26,651",57,2.0,18.0,14,23
671,Wayne County,Apple Creek,10,OH08504,APPLE CREEK,"1,182",0,0.0,0.0,0,0
672,Wayne County,Creston,10*,OH08507,CRESTON,"2,085",4,0.0,0.0,0,4
673,Wayne County,Marshallville,1,OH08511,MARSHALLVILLE,760,0,0.0,0.0,0,0
674,Wayne County,Smithville,11,OH08514,SMITHVILLE,"1,266",2,0.0,0.0,0,2
676,Williams County,Montpelier,12,OH08602,MONTPELIER,"4,010",12,0.0,2.0,1,9
677,Williams County,Pioneer,12,OH08607,PIONEER,"1,415",1,0.0,1.0,0,0
679,Wood County,Bowling Green,12,OH08701,BOWLING GREEN,"31,878",48,0.0,15.0,8,25
680,Wood County,North Baltimore,12,OH08702,NORTH BALTIMORE,"3,547",3,1.0,0.0,0,2
681,Wood County,Perrysburg,11,OH08703,PERRYSBURG,"21,511",8,0.0,4.0,3,1
682,Wood County,Rossford,1,OH08704,ROSSFORD,"6,540",0,0.0,0.0,0,0
684,Wood County,Bradner,1,OH08707,BRADNER,"1,018",0,0.0,0.0,0,0
685,Wood County,Haskins,9,OH08712,HASKINS,"1,232",1,0.0,1.0,0,0
686,Wood County,Northwood,12,OH08718,NORTHWOOD,"5,371",10,0.0,0.0,5,5
687,Wood County,Pemberville,7,OH08719,PEMBERVILLE,"1,424",0,0.0,0.0,0,0
688,Wood County,Walbridge,10,OH08723,WALBRIDGE,"3,110",3,0.0,0.0,0,3
689,Wood County,Wayne,1,OH08724,WAYNE,901,0,0.0,0.0,0,0
