County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
Stark County,North Canton,17464,16,,1,7,8
Stark County,Beach City,1031,,,,,
Stark County,Waynesburg,921,,,,,
#N/A,#N/A,303,,,,,
#N/A,#N/A,8210,8,,2,,6
#N/A,#N/A,28262,45,1,5,16,23
#N/A,#N/A,40317,56,,5,27,24
#N/A,#N/A,3311,,,,,
Stark County,Magnolia,711,,,,,
#N/A,#N/A,117736,93,,12,54,27
#N/A,#N/A,,,,,,
Summit County,Akron,198390,1777,25,173,580,999
Summit County,Barberton,26453,55,,14,23,18
Summit County,Cuyahoga Falls,49470,65,,17,13,35
Summit County,Hudson,22181,2,,,2,
#N/A,#N/A,12035,9,,2,2,5
Summit County,Stow,34709,26,,15,8,3
Summit County,Tallmadge,17193,18,,13,,5
Summit County,Twinsburg,18726,10,,4,2,4
Summit County,Munroe Falls,4994,,,,,
Summit County,Peninsula,562,,,,,
#N/A,#N/A,3391,1,,,,1
#N/A,#N/A,9667,6,,3,2,1
#N/A,#N/A,17646,25,1,3,11,10
Summit County,Richfield,3634,,,,,
#N/A,#N/A,,4,,,4,
Summit County,New Franklin,14174,3,1,,,2
#N/A,#N/A,10906,2,,,1,1
#N/A,#N/A,52074,29,,11,8,10
#N/A,#N/A,,,,,,
#N/A,#N/A,11,,,,,
Trumbull County,Warren,41355,280,4,16,102,158
Trumbull County,Girard,9906,19,,3,6,10
Trumbull County,Hubbard,7834,17,,1,7,9
#N/A,#N/A,12002,24,,2,9,13
Trumbull County,Niles,19167,46,,4,25,17
Trumbull County,Cortland,7069,,,,,
#N/A,#N/A,17239,12,,2,5,5
Trumbull County,Brookfield Center,8809,14,,2,3,9
Trumbull County,Lordstown,3400,1,,,,1
#N/A,#N/A,5844,8,,,2,6
#N/A,#N/A,5624,1,,,1,
#N/A,#N/A,9564,1,,,,1
#N/A,#N/A,2060,,,,,
#N/A,#N/A,5523,4,,1,1,2
#N/A,#N/A,8357,17,,4,4,9
#N/A,#N/A,2842,,,,,
Trumbull County,Vienna Center,3959,3,,1,,2
#N/A,#N/A,31334,26,1,5,1,19
#N/A,#N/A,,,,,,
Tuscarawas County,Dennison,2654,,,,,
#N/A,#N/A,12815,3,,1,,2
#N/A,#N/A,3820,13,,4,1,8
#N/A,#N/A,17272,4,,,1,3
#N/A,#N/A,2217,,,,,
#N/A,#N/A,5408,7,,,4,3
#N/A,#N/A,1287,,,,,
#N/A,#N/A,752,,,,,
#N/A,#N/A,2607,1,,,1,
#N/A,#N/A,42036,7,1,2,1,3
#N/A,#N/A,,,,,,
#N/A,#N/A,2389,,,,,
Union County,Plain City,836,,,,,
Union County,Marysville,22287,1,,,1,
Union County,Richwood,2252,,,,,
#N/A,#N/A,24997,11,,6,,5
#N/A,#N/A,,,,,,
#N/A,#N/A,3146,2,,2,,
Van Wert County,Van Wert,10792,18,,2,1,15
#N/A,#N/A,14661,1,,,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,1691,,,,,
#N/A,#N/A,11675,14,2,3,2,7
#N/A,#N/A,,,,,,
#N/A,#N/A,2731,21,,2,5,14
#N/A,#N/A,122,,,,,
#N/A,#N/A,800,,,,,
Warren County,Franklin,11895,34,,9,10,15
Warren County,Lebanon,20241,19,,12,3,4
Warren County,Mason,31037,12,,2,7,3
#N/A,#N/A,4761,1,,,,1
#N/A,#N/A,21033,12,,2,1,9
Warren County,Maineville,986,,,,,
Warren County,Springboro,16362,6,,3,,3
Warren County,Waynesville,2863,,,,,
#N/A,#N/A,14224,1,,,,1
#N/A,#N/A,87290,69,,7,18,44
#N/A,#N/A,,,,,,
Washington County,Belpre,6439,2,,1,,1
Washington County,Marietta,14079,11,,1,4,6
#N/A,#N/A,895,,,,,
Washington County,Beverly,1312,1,,1,,
#N/A,#N/A,,,,,,
#N/A,#N/A,38477,26,,9,,17
#N/A,#N/A,,,,,,
#N/A,#N/A,4,,,,,
Wayne County,Orrville,8386,12,,6,6,
Wayne County,Rittman,6380,4,,,,4
Wayne County,Wooster,26137,42,1,15,10,16
Wayne County,Creston,2073,,,,,
Wayne County,Marshallville,756,,,,,
Wayne County,Smithville,1252,,,,,
Wayne County,West Salem,1468,1,,1,,
#N/A,#N/A,,,,,,
#N/A,#N/A,61507,21,1,8,2,10
#N/A,#N/A,,,,,,
Williams County,Bryan,8533,,,,,
Williams County,Montpelier,4067,10,,1,1,8
Williams County,Edgerton,2010,,,,,
Williams County,Pioneer,1379,1,,1,,
#N/A,#N/A,19935,5,,4,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,1046,1,,,,1
Wood County,Bowling Green,30219,71,1,17,14,39
Wood County,Perrysburg,20771,16,,3,2,11
Wood County,Rossford,6338,1,,1,,
Wood County,Bradner,991,,,,,
Wood County,Haskins,1196,,,,,
Wood County,Luckey,1019,,,,,
Wood County,Northwood,5304,8,,3,2,3
Wood County,Pemberville,1382,,,,,
#N/A,#N/A,610,,,,,
Wood County,Walbridge,3040,,,,,
Wood County,Wayne,893,,,,,
#N/A,#N/A,,4,,3,,1
#N/A,#N/A,8011,,,,,
#N/A,#N/A,28788,6,,2,,4
#N/A,#N/A,,,,,,
#N/A,#N/A,3687,,,,,
#N/A,#N/A,6619,2,,1,,1
#N/A,#N/A,863,,,,,
#N/A,#N/A,11522,5,,1,1,3
#N/A,#N/A,,,,,,
,,10987530,33412,477,3625,14905,14405
