County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
#N/A,#N/A,MINERVA,"1,724",2,22,0,0,0,2,0,21,1,0
#N/A,#N/A,MAGNOLIA,258,1,11,0,0,0,1,3,7,1,0
#N/A,#N/A,MECHANICSBURG,"1,591",3,45,0,1,0,2,10,32,3,0
#N/A,#N/A,URBANA,"11,482",14,420,0,3,5,6,78,323,19,7
#N/A,#N/A,ST. PARIS,"2,014",0,16,0,0,0,0,0,15,1,0
#N/A,#N/A,CHAMPAIGN COUNTY SHERIFF,"23,639",17,330,1,4,0,12,108,191,31,3
Clark County,Springfield,SPRINGFIELD,"59,503",411,"4,040",5,34,184,188,963,"2,817",260,58
Clark County,Enon,ENON,"2,389",0,2,0,0,0,0,1,1,0,0
Clark County,South Charleston,SOUTH CHARLESTON,"1,655",2,23,0,0,0,2,3,18,2,0
Clark County,South Vienna,SOUTH VIENNA,378,1,14,0,0,0,1,1,12,1,0
#N/A,#N/A,CLARK COUNTY SHERIFF,"63,842",46,"1,174",0,10,9,27,303,807,64,4
Clermont County,Batavia,BATAVIA,"1,654",6,55,0,1,2,3,11,42,2,2
Clermont County,Bethel,BETHEL,"2,782",6,95,0,1,0,5,9,84,2,0
Clermont County,Milford,MILFORD,"6,881",9,230,0,1,5,3,25,201,4,0
Clermont County,Amelia,AMELIA,"4,957",0,25,0,0,0,0,5,20,0,0
Clermont County,Felicity,FELICITY,830,2,42,0,0,0,2,6,36,0,0
Clermont County,New Richmond,NEW RICHMOND,"2,651",12,74,0,3,2,7,22,47,5,1
#N/A,#N/A,NEWTONSVILLE,393,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OWENSVILLE,818,4,3,0,2,1,1,0,3,0,0
Clermont County,Williamsburg,WILLIAMSBURG,"2,560",3,63,0,0,1,2,9,54,0,0
Clermont County,Goshen,GOSHEN TOWNSHIP,"15,787",6,166,0,3,1,2,33,126,7,1
#N/A,#N/A,MIAMI TOWNSHIP,"42,109",26,569,0,11,4,11,84,459,26,4
#N/A,#N/A,UNION TOWNSHIP,"47,933",43,962,0,17,12,14,87,854,21,2
#N/A,#N/A,PIERCE TOWNSHIP,"11,559",3,182,0,1,1,1,33,148,1,0
Clermont County,Loveland,LOVELAND,"2,036",0,21,0,0,0,0,3,16,2,0
#N/A,#N/A,CLERMONT COUNTY SHERIFF,"59,626",98,"1,366",1,27,7,63,501,814,51,3
Clinton County,Blanchester,BLANCHESTER,"4,249",6,75,1,0,1,4,6,65,4,1
Clinton County,New Vienna,NEW VIENNA,"1,199",0,5,0,0,0,0,0,5,0,0
Clinton County,Sabina,SABINA,"2,530",2,63,0,1,0,1,14,46,3,0
Clinton County,Wilmington,WILMINGTON,"12,443",18,578,0,9,2,7,59,499,20,2
#N/A,#N/A,LYNCHBURG,2,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,CLINTON COUNTY SHERIFF,"21,443",2,28,0,0,0,2,9,19,0,0
Columbiana County,Columbiana,COLUMBIANA,"5,604",3,79,0,2,0,1,20,59,0,2
Columbiana County,East Palestine,EAST PALESTINE,"4,548",6,62,0,1,2,3,21,39,2,0
Columbiana County,Lisbon,LISBON,"2,709",0,39,0,0,0,0,5,33,1,0
Columbiana County,Salem,SALEM,"11,939",9,310,0,1,1,7,18,286,6,1
#N/A,#N/A,SALINEVILLE,"1,266",1,23,0,0,0,1,1,22,0,1
Columbiana County,New Waterford,NEW WATERFORD,"1,195",0,2,0,0,0,0,1,1,0,0
#N/A,#N/A,WASHINGTONVILLE,435,0,2,0,0,0,0,0,2,0,0
#N/A,#N/A,ST. CLAIR TOWNSHIP,"7,704",0,40,0,0,0,0,0,40,0,0
#N/A,#N/A,PERRY TOWNSHIP,"4,420",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,MINERVA,2,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,COLUMBIANA COUNTY SHERIFF,"37,848",19,5,1,9,0,9,3,2,0,0
Coshocton County,West Lafayette,WEST LAFAYETTE,"2,279",3,8,0,2,0,1,1,7,0,0
Coshocton County,Coshocton,COSHOCTON COUNTY SHERIFF,"34,172",39,514,0,9,5,25,184,307,23,7
#N/A,#N/A,BUCYRUS,"11,830",24,491,0,4,9,11,90,394,7,2
#N/A,#N/A,CRESTLINE,"4,384",9,98,0,3,2,4,35,56,7,0
#N/A,#N/A,GALION,"10,053",17,341,0,5,4,8,73,264,4,3
#N/A,#N/A,CRAWFORD COUNTY SHERIFF,"14,769",6,138,0,5,0,1,61,70,7,0
Cuyahoga County,Cleveland,CLEVELAND,"386,227","6,299","20,533",135,488,"2,980","2,696","6,333","10,001","4,199",315
#N/A,#N/A,NOTRE DAME COLLEGE,0,1,39,0,1,0,0,6,32,1,0
