County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
#N/A,#N/A,KENTON,"8,199",19,415,0,7,5,7,96,311,8,1
#N/A,#N/A,FOREST,"1,437",1,16,0,0,1,0,4,12,0,0
#N/A,#N/A,HARDIN COUNTY SHERIFF,"16,141",8,147,0,2,1,5,43,97,7,2
#N/A,#N/A,CADIZ,"3,256",7,60,0,2,2,3,16,42,2,0
#N/A,#N/A,NEW ATHENS,320,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,HARRISON COUNTY SHERIFF,"10,987",6,94,0,1,2,3,34,56,4,1
#N/A,#N/A,NAPOLEON,"8,566",11,197,0,3,1,7,25,171,1,0
#N/A,#N/A,DESHLER,"1,779",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,HENRY COUNTY SHERIFF,"16,102",20,164,2,1,1,16,43,120,1,0
Highland County,Greenfield,GREENFIELD,"4,559",6,102,0,1,1,4,20,72,10,1
Highland County,Hillsboro,HILLSBORO,"6,547",8,203,1,2,1,4,33,166,4,0
Highland County,Leesburg,VILLAGE OF LEESBURG,"1,289",0,46,0,0,0,0,9,37,0,0
Highland County,Lynchburg,LYNCHBURG,"1,482",4,20,0,3,0,1,8,12,0,0
#N/A,#N/A,MOWRYSTOWN,359,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,HIGHLAND COUNTY SHERIFF,"28,369",26,385,4,6,1,15,130,237,18,7
Hocking County,Logan,LOGAN,"7,106",15,243,0,6,1,8,38,200,5,2
#N/A,#N/A,HOCKING COUNTY SHERIFF,"20,628",14,358,0,5,1,8,120,218,20,3
#N/A,#N/A,LOUDONVILLE,60,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,MILLERSBURG,"3,174",3,91,0,0,3,0,4,86,1,0
#N/A,#N/A,HOLMES COUNTY SHERIFF,"40,626",5,204,1,4,0,0,50,139,15,1
#N/A,#N/A,MILAN,359,0,6,0,0,0,0,1,5,0,0
#N/A,#N/A,NORWALK,"16,792",10,440,0,3,2,5,68,365,7,1
#N/A,#N/A,WILLARD,"6,031",4,302,0,1,2,1,68,222,12,0
#N/A,#N/A,BELLEVUE,"3,555",0,5,0,0,0,0,1,4,0,0
#N/A,#N/A,MONROEVILLE,"1,364",0,3,0,0,0,0,0,3,0,0
#N/A,#N/A,PLYMOUTH,878,0,4,0,0,0,0,1,3,0,0
#N/A,#N/A,JACKSON,"6,211",10,151,1,3,1,5,18,127,6,1
#N/A,#N/A,WELLSTON,"5,459",18,161,0,2,6,10,40,115,6,1
#N/A,#N/A,OAK HILL,"1,490",2,30,0,0,0,2,4,25,1,0
#N/A,#N/A,JACKSON COUNTY SHERIFF,"18,798",26,234,1,12,7,6,73,148,13,4
Jefferson County,Steubenville,STEUBENVILLE,"18,137",60,"1,085",2,4,22,32,132,945,8,0
#N/A,#N/A,MINGO JUNCTION,"3,299",15,44,0,0,3,12,14,28,2,10
#N/A,#N/A,TORONTO,"4,843",6,16,0,3,0,3,4,12,0,0
#N/A,#N/A,WINTERSVILLE,"3,770",1,57,0,0,0,1,3,54,0,0
#N/A,#N/A,YORKVILLE,586,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,DILLONVALE,633,0,1,0,0,0,0,1,0,0,0
#N/A,#N/A,MOUNT PLEASANT,451,0,3,0,0,0,0,0,2,1,0
#N/A,#N/A,TILTONSVILLE,"1,310",2,6,0,0,0,2,1,5,0,0
#N/A,#N/A,SALINE TOWNSHIP,"1,290",5,13,0,0,0,5,4,6,3,1
#N/A,#N/A,WELLS TOWNSHIP,"2,706",0,9,0,0,0,0,2,7,0,0
#N/A,#N/A,JEFFERSON COUNTY SHERIFF,"21,320",2,55,0,0,0,2,19,33,3,0
Knox County,Mount Vernon,MOUNT VERNON,"16,685",17,680,0,6,2,9,87,592,1,1
#N/A,#N/A,DANVILLE,"1,013",1,4,1,0,0,0,2,2,0,0
Knox County,Fredericktown,FREDERICKTOWN,"2,486",6,41,0,2,0,4,11,29,1,0
#N/A,#N/A,UTICA,20,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,KNOX COUNTY SHERIFF,"40,774",33,487,0,18,0,15,99,388,0,2
Lake County,Eastlake,EASTLAKE,"18,166",10,443,1,0,3,6,54,375,14,1
#N/A,#N/A,FAIRPORT HARBOR,"3,093",5,102,0,0,1,4,19,77,6,0
#N/A,#N/A,KIRTLAND HILLS,640,1,0,0,0,0,1,0,0,0,0
Lake County,Mentor,MENTOR,"46,852",51,"1,034",0,10,11,30,105,899,30,6
#N/A,#N/A,MENTOR-ON-THE-LAKE,"7,375",10,91,0,1,0,9,19,67,5,1
Lake County,Painesville,PAINESVILLE,"19,827",8,9,0,0,1,7,3,5,1,0
#N/A,#N/A,WAITE HILL,464,0,1,0,0,0,0,0,1,0,0
Lake County,Wickliffe,WICKLIFFE,"12,506",17,233,0,0,9,8,41,178,14,0
Lake County,Willoughby,WILLOUGHBY,"22,701",45,478,1,8,21,15,62,394,22,1
#N/A,#N/A,LAKELAND COMMUNITY COLLEGE,0,0,11,0,0,0,0,0,11,0,0
#N/A,#N/A,KIRTLAND,"6,780",3,27,0,2,0,1,4,23,0,0
#N/A,#N/A,LAKE COUNTY SHERIFF,"45,181",240,341,0,15,10,215,93,244,4,1
#N/A,#N/A,LAKE METROPARKS,0,3,11,0,0,2,1,0,11,0,0
#N/A,#N/A,IRONTON,"10,856",21,270,0,3,7,11,70,190,10,1
#N/A,#N/A,CHESAPEAKE,722,1,9,0,1,0,0,0,9,0,0
#N/A,#N/A,SOUTH POINT,"3,917",3,28,0,1,1,1,4,23,1,0
#N/A,#N/A,LAWRENCE COUNTY SHERIFF,"42,921",75,663,1,19,8,47,191,443,29,2
#N/A,#N/A,REYNOLDSBURG,"9,005",19,325,1,2,8,8,38,274,13,2
#N/A,#N/A,NEW ALBANY,130,0,2,0,0,0,0,0,2,0,0
#N/A,#N/A,NEWARK,"48,055",10,426,0,2,4,4,125,283,18,2
#N/A,#N/A,GRANVILLE,"5,762",0,41,0,0,0,0,5,35,1,0
#N/A,#N/A,HEATH,"10,528",23,664,0,10,2,11,155,488,21,1
#N/A,#N/A,JOHNSTOWN,"4,973",6,79,0,1,0,5,9,69,1,0
#N/A,#N/A,UTICA,"2,186",5,16,1,1,0,3,4,11,1,0
#N/A,#N/A,LICKING COUNTY SHERIFF,"64,681",24,810,0,11,9,4,292,479,39,1
Logan County,Bellefontaine,BELLEFONTAINE,"13,073",23,404,0,8,2,13,59,342,3,1
Logan County,Russells Point,RUSSELLS POINT,"1,355",0,26,0,0,0,0,6,19,1,0
Logan County,De Graff,DE GRAFF,"1,259",0,0,0,0,0,0,0,0,0,0
Logan County,West Liberty,WEST LIBERTY,"1,769",3,21,0,0,0,3,8,13,0,0
#N/A,#N/A,LOGAN COUNTY SHERIFF,"25,596",14,368,1,3,0,10,148,210,10,2
Lorain County,Elyria,ELYRIA,"53,633",161,"1,483",4,26,71,60,344,"1,042",97,8
Lorain County,Vermilion,VERMILION,"5,783",2,60,0,0,0,2,8,50,2,0
Lorain County,Amherst,AMHERST,"12,156",7,188,0,1,3,3,21,164,3,0
Lorain County,Avon Lake,AVON LAKE,"23,625",1,8,0,0,0,1,1,7,0,0
Lorain County,Lorain,LORAIN,"63,561",127,778,6,14,43,64,287,463,28,12
Lorain County,Oberlin,OBERLIN,"8,342",38,212,0,27,4,7,27,184,1,0
Lorain County,North Ridgeville,NORTH RIDGEVILLE,"33,095",12,193,1,4,3,4,37,154,2,0
Lorain County,Grafton,GRAFTON,"6,105",4,38,1,0,2,1,10,28,0,0
#N/A,#N/A,LORAIN COUNTY SHERIFF,"60,135",50,686,0,17,8,25,260,385,41,4
#N/A,#N/A,LORAIN COUNTY METRO PARKS ,0,0,3,0,0,0,0,0,3,0,0
Lucas County,Toledo,TOLEDO,"278,366","3,319","11,191",37,316,803,"2,163","3,381","7,081",729,0
#N/A,#N/A,SWANTON,135,0,1,0,0,0,0,0,1,0,0
Lucas County,Maumee,MAUMEE,"13,875",15,380,0,8,3,4,37,336,7,0
Lucas County,Oregon,OREGON,"20,055",37,665,0,5,6,26,85,553,27,1
#N/A,#N/A,OTTAWA HILLS,"4,429",1,37,0,0,0,1,10,24,3,1
#N/A,#N/A,SYLVANIA TOWNSHIP,"29,416",18,632,0,2,7,9,99,507,26,0
Lucas County,Holland,HOLLAND,"1,698",6,288,0,1,5,0,21,266,1,0
Lucas County,Waterville,WATERVILLE,"5,511",2,29,0,0,1,1,4,24,1,0
Lucas County,Whitehouse,WHITEHOUSE,"4,528",1,30,0,0,0,1,4,23,3,0
#N/A,#N/A,UNIVERSITY OF TOLED,0,10,207,0,6,3,1,14,192,1,2
#N/A,#N/A,WASHINGTON TOWNSHIP,"3,239",1,6,0,0,0,1,3,3,0,0
#N/A,#N/A,WATERVILLE TOWNSHIP,"1,653",0,6,0,0,0,0,0,6,0,0
#N/A,#N/A,TOLEDO FIRE DPT FIR,0,0,0,0,0,0,0,0,0,0,152
#N/A,#N/A,TOLEDO METRO PARK DISTRICT ,0,1,10,0,1,0,0,1,9,0,5
#N/A,#N/A,LUCAS COUNTY SHERIFF,"49,471",128,852,3,26,31,68,240,518,94,5
Madison County,London,LONDON,"10,092",7,284,0,2,2,3,48,221,15,0
Madison County,West Jefferson,WEST JEFFERSON,"4,291",3,101,0,0,1,2,14,84,3,0
#N/A,#N/A,PLAIN CITY,"3,490",1,15,0,0,0,1,2,12,1,0
#N/A,#N/A,MADISON COUNTY SHERIFF,"25,945",20,444,0,8,4,8,148,274,22,7
Mahoning County,Boardman,BOARDMAN,"39,692",54,"1,346",0,6,22,26,189,"1,126",31,5
Mahoning County,Youngstown,YOUNGSTOWN,"64,170",415,"2,426",12,28,151,224,921,"1,264",241,137
#N/A,#N/A,COLUMBIANA,665,0,9,0,0,0,0,2,7,0,0
#N/A,#N/A,SALEM,4,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,WASHINGTONVILLE,337,0,1,0,0,0,0,0,1,0,0
Mahoning County,Austintown,AUSTINTOWN,"35,680",52,818,0,9,13,30,114,674,30,0
#N/A,#N/A,CAMPBELL,"7,936",4,41,0,3,1,0,15,21,5,1
Mahoning County,Canfield,CANFIELD,"7,323",1,60,0,1,0,0,8,52,0,0
#N/A,#N/A,LOWELLVILLE,"1,098",0,3,0,0,0,0,1,2,0,0
#N/A,#N/A,POLAND VILLAGE,"2,471",1,11,0,1,0,0,1,10,0,0
#N/A,#N/A,SEBRING,"4,240",4,149,0,1,1,2,25,121,3,0
Mahoning County,Struthers,STRUTHERS,"10,314",27,244,0,1,8,18,75,161,8,0
Mahoning County,Craig Beach,CRAIG BEACH,"1,137",0,3,0,0,0,0,0,3,0,0
#N/A,#N/A,NEW MIDDLETOWN,"1,568",1,10,0,0,0,1,2,8,0,0
#N/A,#N/A,BEAVER TOWNSHIP,"6,492",4,95,0,0,0,4,31,56,8,0
#N/A,#N/A,YOUNGSTOWN STATE UNIVERSITY,0,5,29,4,0,0,1,1,28,0,0
Mahoning County,New Springfield,SPRINGFIELD TOWNSHIP,"6,446",3,76,0,2,0,1,32,40,4,0
#N/A,#N/A,GOSHEN TOWNSHIP,"3,106",5,76,0,0,0,5,17,57,2,0
#N/A,#N/A,MILTON TOWNSHIP,"2,470",1,33,0,1,0,0,9,23,1,0
#N/A,#N/A,JACKSON TOWNSHIP,"2,042",1,16,0,0,0,1,4,10,2,0
#N/A,#N/A,POLAND TOWNSHIP,"12,052",3,66,0,1,0,2,16,48,2,0
#N/A,#N/A,COITSVILLE TOWNSHIP,"1,344",3,35,0,0,0,3,14,18,3,0
#N/A,#N/A,ALLIANCE,39,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,MAHONING COUNTY SHERIFF,"15,411",1,94,0,0,0,1,30,53,11,0
#N/A,#N/A,MARION,"36,278",107,"1,320",1,22,37,47,517,772,31,9
#N/A,#N/A,MARION COUNTY SHERIFF,"28,776",38,"1,175",0,19,12,7,166,"1,001",8,4
Medina County,Brunswick,BRUNSWICK,"34,774",25,224,0,1,0,24,28,182,14,1
Medina County,Medina,MEDINA,"26,280",13,119,1,5,1,6,12,107,0,0
Medina County,Wadsworth,WADSWORTH,"21,910",24,479,0,7,2,15,40,436,3,4
#N/A,#N/A,WESTFIELD CENTER,"1,137",0,1,0,0,0,0,0,1,0,0
Medina County,Lodi,LODI,"2,770",0,1,0,0,0,0,1,0,0,0
Medina County,Spencer,SPENCER,766,0,6,0,0,0,0,0,6,0,0
Medina County,Hinckley,HINCKLEY TOWNSHIP,"8,041",6,28,2,0,0,4,15,13,0,0
#N/A,#N/A,MONTVILLE TOWNSHIP,"11,815",2,46,0,1,0,1,8,38,0,0
#N/A,#N/A,MEDINA TOWNSHIP,"9,015",5,141,0,2,0,3,13,126,2,0
#N/A,#N/A,BRUNSWICK HILLS TOWNSHIP,"10,402",5,38,0,0,0,5,9,29,0,0
#N/A,#N/A,RITTMAN,114,0,2,0,0,0,0,1,1,0,0
#N/A,#N/A,CRESTON,92,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,MEDINA COUNTY SHERIFF,"47,486",2,106,0,0,0,2,36,70,0,0
#N/A,#N/A,MIDDLEPORT,"2,464",4,17,0,0,1,3,4,13,0,1
#N/A,#N/A,POMEROY,"1,815",0,3,0,0,0,0,0,3,0,0
#N/A,#N/A,RACINE,659,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,RUTLAND,379,0,4,0,0,0,0,1,3,0,0
#N/A,#N/A,SYRACUSE,820,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,MEIGS COUNTY SHERIFF,"16,996",36,232,2,4,6,24,71,146,15,5
Mercer County,Coldwater,COLDWATER,"4,501",0,20,0,0,0,0,2,17,1,0
Mercer County,Fort Recovery,FORT RECOVERY,"1,430",1,6,0,1,0,0,0,6,0,0
Mercer County,Rockford,ROCKFORD,"1,105",2,6,0,1,1,0,2,4,0,0
#N/A,#N/A,MERCER COUNTY SHERIFF,"21,004",11,138,0,3,1,7,18,111,9,1
Miami County,Piqua,PIQUA,"20,845",39,882,1,19,13,6,135,728,19,7
Miami County,Tipp City,TIPP CITY,"9,941",7,181,0,1,1,5,23,148,10,1
Miami County,Troy,TROY,"25,745",22,724,0,13,3,6,145,567,12,6
Miami County,Covington,COVINGTON,"2,633",3,29,0,0,2,1,2,27,0,0
#N/A,#N/A,HUBER HEIGHTS,989,2,33,0,0,1,1,5,26,2,0
#N/A,#N/A,MIAMI COUNTY SHERIFF,"39,534",24,372,0,12,2,10,107,252,13,2
#N/A,#N/A,WOODSFIELD,"2,343",0,5,0,0,0,0,1,3,1,0
#N/A,#N/A,MONROE COUNTY SHERIFF,"12,014",11,56,0,5,0,6,19,31,6,1
Montgomery County,Dayton,DAYTON,"140,260","1,402","7,235",36,133,496,737,"2,269","4,252",714,80
Montgomery County,Centerville,CENTERVILLE,"23,851",13,352,0,0,3,10,41,290,21,0
Montgomery County,Germantown,GERMANTOWN,"5,495",6,40,0,0,0,6,5,34,1,0
Montgomery County,Kettering,KETTERING,"54,915",73,"1,000",0,26,26,21,221,726,53,10
#N/A,#N/A,MIAMI TOWNSHIP,"29,140",39,"1,159",0,16,11,12,130,985,44,3
Montgomery County,Miamisburg,MIAMISBURG,"20,000",20,228,0,4,12,4,40,178,10,1
#N/A,#N/A,MORAINE,"6,385",34,684,1,14,10,9,82,565,37,3
Montgomery County,Clayton,CLAYTON,"13,129",6,135,0,0,3,3,27,97,11,0
Montgomery County,Trotwood,TROTWOOD,"24,024",90,962,11,20,37,22,341,506,115,11
Montgomery County,Vandalia,VANDALIA,"15,073",14,328,0,2,9,3,63,232,33,3
#N/A,#N/A,HUBER HEIGHTS,"37,191",82,"1,237",1,19,29,33,171,977,89,10
#N/A,#N/A,WEST CARROLLTON,"12,944",22,358,0,8,6,8,87,235,36,4
Montgomery County,Brookville,BROOKVILLE,"5,902",7,59,0,5,1,1,15,43,1,0
#N/A,#N/A,ENGLEWOOD,"13,455",13,409,0,2,5,6,30,367,12,0
#N/A,#N/A,NEW LEBANON,"4,001",9,116,0,0,2,7,26,79,11,0
#N/A,#N/A,RIVERSIDE,"24,920",51,618,1,15,16,19,133,429,56,3
#N/A,#N/A,BUTLER TOWNSHIP,"7,856",36,458,0,10,18,8,51,382,25,0
#N/A,#N/A,GERMAN TOWNSHIP,"2,893",1,42,0,0,0,1,13,26,3,0
#N/A,#N/A,JACKSON TOWNSHIP,"3,682",1,14,0,0,0,1,3,10,1,0
#N/A,#N/A,PERRY TOWNSHIP,"3,346",1,9,0,0,0,1,4,5,0,0
Montgomery County,Clayton,CLAY TOWNSHIP,"4,217",2,20,0,2,0,0,6,14,0,0
#N/A,#N/A,SINCLAIR COMMUNITY COLLEGE ,0,0,40,0,0,0,0,11,29,0,0
#N/A,#N/A,CARLISLE,214,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,SPRINGBORO,"1,260",0,7,0,0,0,0,1,6,0,0
#N/A,#N/A,MONTGOMERY COUNTY SHERIFF,"61,169",234,"1,440",7,50,89,88,527,723,190,23
#N/A,#N/A,MCCONNELSVILLE,"1,790",4,29,0,2,0,2,5,22,2,0
#N/A,#N/A,MORGAN COUNTY SHERIFF,"12,911",24,172,0,5,1,18,57,101,14,3
#N/A,#N/A,CARDINGTON,"2,047",2,27,0,2,0,0,6,20,1,0
Muskingum County,Zanesville,ZANESVILLE,"25,494",93,"1,288",0,18,28,47,230,"1,036",22,10
Muskingum County,Dresden,DRESDEN,"1,736",2,0,0,0,0,2,0,0,0,0
Muskingum County,Frazeysburg,FRAZEYSBURG,"1,321",1,16,0,1,0,0,1,12,3,0
Muskingum County,New Concord,NEW CONCORD,"2,317",0,15,0,0,0,0,1,14,0,0
Muskingum County,Roseville,ROSEVILLE,755,3,14,0,0,0,3,4,9,1,0
#N/A,#N/A,SOUTH ZANESVILLE,"1,974",1,22,0,0,1,0,6,15,1,0
#N/A,#N/A,MUSKINGUM UNIVERSITY,0,1,8,0,1,0,0,4,4,0,0
#N/A,#N/A,MUSKINGUM COUNTY SHERIFF,"52,599",48,"1,029",0,27,9,12,310,653,66,5
#N/A,#N/A,NOBLE COUNTY SHERIFF,"12,569",0,88,0,0,0,0,24,59,5,1
Ottawa County,Oak Harbor,OAK HARBOR,"2,705",1,42,0,1,0,0,5,37,0,0
Ottawa County,Port Clinton,PORT CLINTON,"5,939",13,170,0,8,2,3,38,129,3,1
Ottawa County,Genoa,GENOA,"2,301",1,5,0,0,0,1,0,5,0,0
Ottawa County,Marblehead,MARBLEHEAD,885,0,2,0,0,0,0,0,2,0,0
Ottawa County,Put in Bay,PUT-IN-BAY,136,3,1,0,0,0,3,0,1,0,0
#N/A,#N/A,CARROLL TOWNSHIP,"2,109",1,31,0,1,0,0,3,26,2,0
#N/A,#N/A,OTTAWA COUNTY SHERIFF,"19,724",8,231,0,5,2,1,50,178,3,0
#N/A,#N/A,PAYNE,"1,148",0,4,0,0,0,0,0,3,1,1
Paulding County,Paulding,PAULDING COUNTY SHERIFF,"13,259",14,138,1,7,1,5,39,99,0,0
#N/A,#N/A,ROSEVILLE,"1,096",5,20,0,0,0,5,5,14,1,0
Perry County,Crooksville,CROOKSVILLE,"2,491",0,2,0,0,0,0,0,1,1,0
Perry County,New Lexington,NEW LEXINGTON,"4,721",12,188,0,5,1,6,34,149,5,0
#N/A,#N/A,JUNCTION CITY,808,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,SHAWNEE,644,0,0,0,0,0,0,0,0,0,0
Perry County,Somerset,SOMERSET,"1,461",0,4,0,0,0,0,0,4,0,0
Perry County,Thornville,THORNVILLE,997,0,12,0,0,0,0,0,12,0,0
#N/A,#N/A,PERRY COUNTY SHERIFF,"22,424",15,150,0,10,2,3,42,105,3,2
Pickaway County,Circleville,CIRCLEVILLE,"13,930",37,674,0,5,12,20,97,569,8,0
Pickaway County,Ashville,ASHVILLE,"4,207",1,67,0,1,0,0,15,49,3,0
Pickaway County,Commercial Point,COMMERCIAL POINT,"1,616",2,10,0,2,0,0,0,9,1,0
#N/A,#N/A,SOUTH BLOOMFIELD,"1,873",1,35,0,0,0,1,5,28,2,0
#N/A,#N/A,PICKAWAY COUNTY SHERIFF,"35,552",29,700,0,3,3,23,173,497,30,2
#N/A,#N/A,WAVERLY,"4,248",3,93,0,0,1,2,8,83,2,0
#N/A,#N/A,PIKETON,"2,139",0,4,0,0,0,0,0,4,0,0
#N/A,#N/A,PIKE COUNTY SHERIFF,"21,691",22,335,1,7,2,12,100,202,33,0
Portage County,Aurora,AURORA,"15,897",11,168,0,2,5,4,9,157,2,0
Portage County,Garrettsville,GARRETTSVILLE,"2,326",0,9,0,0,0,0,1,8,0,0
Portage County,Kent,KENT,"29,995",67,496,1,0,13,53,95,385,16,2
Portage County,Windham,WINDHAM,"2,201",3,32,0,0,1,2,6,26,0,0
#N/A,#N/A,BRADY LAKE,464,1,5,0,0,0,1,2,3,0,0
Portage County,Hiram,HIRAM,"1,238",0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,KENT STATE UNIVERSITY,0,7,159,0,2,2,3,4,155,0,1
Portage County,Streetsboro,STREETSBORO,"16,364",6,244,0,0,1,5,28,207,9,1
#N/A,#N/A,BRIMFIELD TOWNSHIP,"10,406",9,243,0,5,3,1,16,221,6,0
#N/A,#N/A,ROBINSON MEMORIAL HOSPITAL,0,1,2,0,0,0,1,0,2,0,0
Portage County,Mogadore,MOGADORE,"1,030",0,11,0,0,0,0,2,8,1,0
#N/A,#N/A,TALLMADGE,289,0,6,0,0,0,0,1,5,0,0
#N/A,#N/A,PORTAGE COUNTY SHERIFF,"70,423",48,"1,109",4,10,13,21,294,778,37,7
Preble County,Camden,CAMDEN,"1,955",0,4,0,0,0,0,0,4,0,0
#N/A,#N/A,GRATIS,855,2,4,0,0,0,2,0,4,0,0
Preble County,West Alexandria,WEST ALEXANDRIA,"1,334",1,23,0,0,0,1,7,15,1,0
#N/A,#N/A,PREBLE COUNTY SHERIFF,"27,021",14,307,2,6,3,3,125,169,13,0
Putnam County,Ottawa,OTTAWA,"4,385",3,7,0,0,0,3,2,5,0,0
Putnam County,Columbus Grove,COLUMBUS GROVE,"2,052",1,1,0,1,0,0,0,1,0,0
Putnam County,Leipsic,LEIPSIC,"2,021",1,15,0,0,0,1,3,11,1,0
#N/A,#N/A,OTTOVILLE,969,1,3,0,0,0,1,1,2,0,0
Putnam County,Pandora,PANDORA,"1,146",0,4,0,0,0,0,0,4,0,0
#N/A,#N/A,KALIDA,"1,566",0,2,0,0,0,0,1,1,0,0
#N/A,#N/A,PUTNAM COUNTY SHERIFF,"20,339",13,91,1,8,0,4,21,68,2,0
Richland County,Mansfield,MANSFIELD,"46,656",209,"2,605",3,58,63,85,679,"1,805",121,26
#N/A,#N/A,CRESTLINE,18,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,ONTARIO,"6,091",5,370,0,1,1,3,16,352,2,0
Richland County,Plymouth,PLYMOUTH,914,1,6,0,1,0,0,2,4,0,0
#N/A,#N/A,SHELBY,"9,012",17,258,0,5,2,10,58,199,1,0
Richland County,Bellville,BELLVILLE,"1,863",1,29,0,1,0,0,3,25,1,0
Richland County,Lexington,LEXINGTON,"4,715",0,5,0,0,0,0,0,5,0,0
#N/A,#N/A,RICHLAND COUNTY SHERIFF,"50,888",57,"1,164",3,24,7,23,447,694,23,5
Ross County,Chillicothe,CHILLICOTHE,"21,692",94,"1,747",0,8,34,52,350,"1,355",42,2
#N/A,#N/A,ROSS COUNTY SHERIFF,"55,194",120,"1,316",1,31,12,76,405,844,67,11
Sandusky County,Bellevue,BELLEVUE,"4,411",0,7,0,0,0,0,1,5,1,0
Sandusky County,Clyde,CLYDE,"6,233",3,148,0,0,2,1,39,108,1,1
Sandusky County,Fremont,FREMONT,"16,215",32,842,2,0,11,19,155,668,19,0
#N/A,#N/A,SANDUSKY COUNTY SHERIFF,"27,156",54,211,0,0,1,53,41,166,4,0
#N/A,#N/A,SANDUSKY COUNTY PARK DISTRICT,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,PORTSMOUTH,"20,442",75,934,2,14,14,45,256,650,28,2
#N/A,#N/A,SHAWNEE STATE UNIVERSITY,0,1,28,0,1,0,0,2,26,0,1
#N/A,#N/A,SCIOTO COUNTY SHERIFF,"53,601",40,"1,026",0,13,11,16,344,620,62,9
Seneca County,Fostoria,FOSTORIA,"9,183",7,29,0,2,2,3,7,21,1,0
Seneca County,Tiffin,TIFFIN,"17,637",13,418,0,5,3,5,76,328,14,0
#N/A,#N/A,SENECA COUNTY SHERIFF,"24,684",70,319,0,4,64,2,91,228,0,0
Shelby County,Sidney,SIDNEY,"20,797",45,926,0,16,16,13,206,699,21,3
Shelby County,Fort Loramie,FORT LORAMIE,"1,493",0,5,0,0,0,0,0,4,1,0
#N/A,#N/A,SHELBY COUNTY SHERIFF,"24,658",15,245,0,2,1,12,59,177,9,2
Stark County,Canton,CANTON,"71,652",677,"3,664",8,77,171,421,951,"2,474",239,18
#N/A,#N/A,MASSILLON,"32,268",100,684,2,25,27,46,161,498,25,10
Stark County,Alliance,ALLIANCE,"21,973",99,769,0,13,11,75,149,601,19,8
Stark County,Brewster,BREWSTER,"2,169",0,20,0,0,0,0,2,17,1,0
Stark County,Canal Fulton,CANAL FULTON,"5,489",2,73,0,2,0,0,14,56,3,0
#N/A,#N/A,EAST CANTON,"1,602",1,18,0,1,0,0,0,18,0,1
Stark County,Hartville,HARTVILLE,"2,974",1,53,0,0,1,0,8,45,0,0
Stark County,Louisville,LOUISVILLE,"9,115",14,114,0,2,2,10,24,84,6,0
Stark County,Minerva,MINERVA,"1,944",3,24,1,0,0,2,0,23,1,0
Stark County,Navarre,NAVARRE,"1,916",0,19,0,0,0,0,4,15,0,0
Stark County,North Canton,NORTH CANTON,"17,435",9,271,0,3,2,4,44,219,8,1
Stark County,Beach City,BEACH CITY,"1,007",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,LAWRENCE TOWNSHIP,"8,265",2,71,0,0,0,2,23,45,3,0
#N/A,#N/A,JACKSON TOWNSHIP,"40,780",72,"1,234",0,14,31,27,126,"1,087",21,3
#N/A,#N/A,UNIONTOWN,"3,330",2,81,0,1,0,1,21,58,2,0
Stark County,Magnolia,MAGNOLIA,714,1,33,0,0,0,1,10,20,3,0
#N/A,#N/A,STARK COUNTY SHERIFF,"117,913",89,"1,659",1,22,17,49,379,"1,146",134,10
Summit County,Akron,AKRON,"197,257","1,216","8,646",34,212,415,555,"2,483","5,483",680,94
Summit County,Barberton,BARBERTON,"26,172",75,799,0,17,10,48,145,614,40,3
Summit County,Cuyahoga Falls,CUYAHOGA FALLS,"49,064",67,"1,143",0,24,14,29,116,977,50,5
Summit County,Hudson,HUDSON,"22,470",4,92,0,1,0,3,27,62,3,0
Summit County,Macedonia,MACEDONIA,"11,794",8,197,0,1,4,3,11,183,3,0
#N/A,#N/A,MOGADORE,"2,889",1,30,0,0,0,1,6,23,1,0
Summit County,Northfield,NORTHFIELD,"3,630",2,46,0,0,1,1,4,40,2,0
#N/A,#N/A,NORTON,"12,022",5,135,0,1,1,3,37,84,14,1
#N/A,#N/A,STOW,"34,792",30,642,0,11,5,14,66,569,7,2
Summit County,Tallmadge,TALLMADGE,"17,213",23,397,0,4,9,10,72,310,15,0
Summit County,Twinsburg,TWINSBURG,"18,888",20,131,1,1,5,13,19,109,3,1
#N/A,#N/A,BOSTON HEIGHTS,"1,290",0,1,0,0,0,0,0,1,0,0
