,County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
243,Franklin County,Worthington,13754.0,4.0,,,2.0,2.0
245,Franklin County,Groveport,5435.0,2.0,,,1.0,1.0
248,Franklin County,New Albany,7808.0,2.0,,,,2.0
261,Fulton County,Delta,3088.0,,,,,
263,Fulton County,Swanton,3565.0,,,,,
264,Fulton County,Wauseon,7301.0,6.0,,2.0,1.0,3.0
273,Geauga County,Chardon,5139.0,12.0,3.0,,1.0,8.0
274,Geauga County,Burton,1453.0,,,,,
275,Geauga County,Middlefield,2690.0,,,,,
282,Greene County,Xenia,25923.0,60.0,,14.0,20.0,26.0
283,Greene County,Yellow Springs,3516.0,3.0,,,1.0,2.0
284,Greene County,Bellbrook,7001.0,3.0,,1.0,1.0,1.0
286,Greene County,Beavercreek,45563.0,25.0,,6.0,13.0,6.0
294,Guernsey County,Cambridge,10592.0,62.0,1.0,8.0,13.0,40.0
297,Hamilton County,Cincinnati,296204.0,2903.0,47.0,199.0,1726.0,931.0
302,Hamilton County,Blue Ash,12082.0,7.0,,,3.0,4.0
304,Hamilton County,Cleves,3225.0,1.0,,,,1.0
305,Hamilton County,Deer Park,5723.0,11.0,,1.0,2.0,8.0
309,Hamilton County,Forest Park,18672.0,28.0,1.0,4.0,23.0,
311,Hamilton County,Greenhills,3605.0,1.0,,,,1.0
312,Hamilton County,Harrison,9870.0,8.0,,1.0,4.0,3.0
317,Hamilton County,Madeira,8704.0,,,,,
319,Hamilton County,Montgomery,10224.0,1.0,,,1.0,
323,Hamilton County,Norwood,19158.0,64.0,1.0,9.0,43.0,11.0
337,Hancock County,Findlay,41348.0,77.0,,19.0,20.0,38.0
338,Hancock County,McComb,1655.0,,,,,
355,Highland County,Greenfield,4623.0,7.0,,1.0,4.0,2.0
356,Highland County,Hillsboro,6585.0,4.0,,3.0,1.0,
357,Highland County,Leesburg,1313.0,,,,,
358,Highland County,Lynchburg,29165.0,44.0,,3.0,,41.0
361,Hocking County,Logan,7155.0,10.0,,3.0,6.0,1.0
386,Jefferson County,Wintersville,3875.0,6.0,,,1.0,5.0
392,Knox County,Mount Vernon,17086.0,19.0,,1.0,4.0,14.0
394,Knox County,Fredericktown,2508.0,2.0,,2.0,,
398,Lake County,Eastlake,18564.0,23.0,,1.0,13.0,9.0
401,Lake County,Madison,3182.0,,,,,
402,Lake County,Mentor,47123.0,53.0,,15.0,27.0,11.0
404,Lake County,Painesville,19548.0,53.0,,12.0,29.0,12.0
406,Lake County,Wickliffe,12741.0,5.0,,,,5.0
407,Lake County,Willoughby,22251.0,20.0,,3.0,14.0,3.0
423,Licking County,Granville,5662.0,2.0,,1.0,,1.0
425,Licking County,Hebron,2347.0,2.0,,2.0,,
426,Licking County,Johnstown,4653.0,3.0,,,1.0,2.0
433,Logan County,Bellefontaine,13321.0,33.0,,12.0,6.0,15.0
434,Logan County,Russells Point,1386.0,2.0,,2.0,,
435,Logan County,De Graff,1281.0,,,,,
439,Lorain County,Elyria,54578.0,,,,,
440,Lorain County,Vermilion,5847.0,5.0,,,3.0,2.0
441,Lorain County,Amherst,12030.0,4.0,,,3.0,1.0
442,Lorain County,Lorain,64148.0,326.0,4.0,35.0,136.0,151.0
443,Lorain County,Oberlin,8291.0,13.0,,4.0,7.0,2.0
444,Lorain County,North Ridgeville,29490.0,16.0,,3.0,4.0,9.0
445,Lorain County,Sheffield Lake,9144.0,2.0,,1.0,1.0,
446,Lorain County,Wellington,4806.0,,,,,
462,Madison County,London,9895.0,15.0,,1.0,6.0,8.0
463,Madison County,West Jefferson,4217.0,7.0,1.0,,2.0,4.0
467,Mahoning County,Boardman,40608.0,43.0,1.0,6.0,31.0,5.0
468,Mahoning County,Youngstown,66556.0,685.0,22.0,39.0,244.0,380.0
472,Mahoning County,Canfield,7464.0,2.0,1.0,1.0,,
476,Mahoning County,Struthers,10639.0,4.0,,1.0,3.0,
477,Mahoning County,New Middletown,1610.0,,,,,
495,Medina County,Brunswick,34439.0,84.0,,,8.0,76.0
496,Medina County,Medina,26820.0,15.0,2.0,3.0,2.0,8.0
497,Medina County,Wadsworth,21682.0,11.0,,6.0,,5.0
498,Medina County,Lodi,2760.0,11.0,,2.0,1.0,8.0
499,Medina County,Seville,2307.0,4.0,,1.0,1.0,2.0
