RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
14541,West Chester,Ohio,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66E+05,165100,162100,167700,1.74E+05,182300,176200,173400,185200,183600,184600,172100,172900,172700,178100,185500,187600,1.88E+05,180200,1.81E+05,179800,189500,190100,190500,178100,179600,179900,195700,194800,195700,188600,181400,182400,195700,205500,217500,207200,205300,178900,182200,193600,208900,211800,202300,2.05E+05,205200,206100,204600,207100,218700,223900,222300,208200,2.07E+05,208800,2.13E+05,206200,202300,201500,209400,221900,217300,215100,207100,216300,221100,224600,216100,220700,223800,229100,227400,224300,229700,239200,237900,250500,236400,234200,219700,226300,236300,241500,235900,235900,245400,246600,241900,236700,243100,243600,
39996,Newark,Ohio,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120200,120700,120300,113200,110200,113300,121400,119500,108400,104700,111300,119300,117300,113100,114100,124400,126400,124800,121500,124500,126400,132300,133200,137800,134700,137300,131800,
5710,Loveland,Ohio,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222400,225200,223700,249400,246400,245800,217100,234500,2.36E+05,242700,230700,237400,236800,224400,216200,228800,244600,239800,231900,227700,235100,248800,249500,2.54E+05,234900,
5411,Kettering,Ohio,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101900,103300,108700,121100,123200,124100,121300,119100,115600,115300,117200,120200,121800,133800,133600,1.33E+05,119700,1.22E+05,122700,128300,126400,126400,126900,129600,129900,131700,125500,131700,129200,1.38E+05,132400,128900,132600,134500,135400,133600,131800,138600,134200,140100,133500,140200,
38520,Findlay,Ohio,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133900,138400,1.37E+05,137700,138200,139300,142700,136500,134800,133800,142500,146300,1.46E+05,142400,143400,1.48E+05,155700,159800,162200,158400,159300,156800,160600,1.58E+05,153100,149700,148200,158600,162700,172900,166100,164200,152800,1.55E+05,152900,1.63E+05
29898,Delaware,Ohio,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202800,205800,200100,196900,199200,197600,205500,206400,201800,203800,211800,257700,270700,271100,228900,215700,212400,222400,2.24E+05,224600,213300,207300,206600,217500,223900,221500,219500,225500,
4426,Dublin,Ohio,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329900,318800,309800,3.34E+05,3.47E+05,3.46E+05,337600,3.40E+05,3.65E+05,353200,354200,355200,359700,337400,325900,342200,368900,360100,353100,312100,315400,323700,356700,363600,357600,353400
11022,Cuyahoga Falls,Ohio,890,116800,114800,115900,112600,1.14E+05,115600,113900,108300,103600,95800,90600,89500,89700,94100,94400,99500,100900,102300,101800,106700,109900,106700,97900,95400,1.04E+05,112900,109900,102200,93600,105500,106600,1.11E+05,98600,99200,90500,82500,79800,8.90E+04,98500,97100,91500,93500,92600,9.90E+04,92400,88700,81700,77800,91200,95700,98700,97300,98600,105500,101100,99800,98400,1.02E+05,108100,104700,105200,100400,103200,114100,116800,1.17E+05,111100,108100,109200,95400,97500,98200,103700,103400,104200,105100,1.06E+05,103600,105800,108200,111200,111100,100400,99800,92300,101700,98700,106600,105900,110400,109700,110400,100800,100200,94700,103900,105600,111600,110900,112100,112600,117700,1.18E+05,118400,115100,1.18E+05,118100,1.19E+05,116700,121200,122800,123100,114500,122300,122100,128700,119100,119300,118100,118600,120200,121900,125100,125400,123700,126400,128800,130900,128200,1.24E+05,126300,130400,136800,139100,134100,134400,129100
21995,Lakewood,Ohio,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116500,118400,120600,126100,128900,117800,115900,114400,128100,122600,127100,124300,127500,123100,1.23E+05,122500,115800,115100,119700,135200,133200,131600,126300,141600,143600,149100,136100,137900,136500,140400,140900,1.43E+05,140700,134600,135500,142200,1.57E+05,156300,158800,157500,161200,163800,159100,187800,1.84E+05,190100,162800,166300,1.71E+05,168600,165700,157900,155700,1.51E+05,156300,1.86E+05,192800,1.92E+05,174300,186600,192800
24117,Cleveland Heights,Ohio,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76600,80600,75200,70700,77400,79800,83100,7.60E+04,82600,79800,83600,87300,91300,99500,90600,101500,98500,103300,91900,85100,80500,85400,86500,94200,90900,91600,94500,91600,92300,89200,92100,9.60E+04,94700,90500,93700,97900,107700,107200,104300,98700,1.08E+05,113500,119600,111700,113800,108300
