County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,,1,,,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,,389,7,76,7,299
#N/A,#N/A,,,,,,
#N/A,#N/A,1974,6,,,1,5
#N/A,#N/A,1766,1,,,1,
#N/A,#N/A,3188,6,,2,1,3
#N/A,#N/A,925,,,,,
#N/A,#N/A,1037,2,,,1,1
#N/A,#N/A,19139,12,,1,1,10
#N/A,#N/A,,,,,,
Allen County,Lima,38265,353,3,40,71,239
Allen County,Bluffton,4060,4,,1,1,2
Allen County,Delphos,3920,2,,1,1,
Allen County,Spencerville,2207,3,,,,3
Allen County,Elida,1866,,,,,
#N/A,#N/A,12256,4,,1,1,2
#N/A,#N/A,12351,2,,,,2
#N/A,#N/A,3461,,,,,
#N/A,#N/A,2845,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,23949,38,2,6,14,16
#N/A,#N/A,,,,,,
Ashland County,Ashland,20293,15,1,11,1,2
Ashland County,Loudinville,2559,9,1,3,1,4
#N/A,#N/A,714,,,,,
,,29344,12,,8,3,1
#N/A,#N/A,,,,,,
Ashtabula,Conneaut,12889,54,1,5,5,43
Ashtabula County,Geneva,1220,5,,,,5
Ashtabula County,Kingsville,2870,,,,,
Ashtabula County,Roaming Shores,1486,1,,1,,
Ashtabula County,Ashtabula,50631,37,1,5,9,22
#N/A,#N/A,,,,,,
Athens County,Athens,24083,27,,8,2,17
Athens County,Glouster,1775,2,,1,1,
Athens County,Nelsonville,5348,8,,1,3,4
Athens County,Albany,889,1,,,,1
#N/A,#N/A,530,,,,,
#N/A,#N/A,,6,,5,1,
,,31052,19,,7,1,11
#N/A,#N/A,,,,,,
Auglaize County,Wapakoneta,9822,7,,1,,6
Auglaize County,Minster,2835,1,,,,1
Auglaize County,New Bremen,2984,1,,1,,
Auglaize County,New Knoxville,873,,,,,
#N/A,#N/A,18050,9,,2,,7
#N/A,#N/A,,,,,,
Belmont County,Barnesville,4129,,,,,
#N/A,#N/A,4207,2,,,1,1
#N/A,#N/A,1806,5,,,2,3
Belmont County,Martins Ferry,6815,17,,5,1,11
Belmont County,Powhatan Point,1577,3,,,1,2
#N/A,#N/A,3723,5,,4,,1
Belmont County,Saint Clairsville,5124,1,,,,1
Belmont County,Flushing,867,,,,,
Belmont County,Bethesda,1247,,,,,
#N/A,#N/A,455,,,,,
#N/A,#N/A,29519,37,,8,8,21
#N/A,#N/A,,,,,,
#N/A,#N/A,1617,,,,,
Brown County,Georgetown,4485,5,,4,1,
Brown County,Mount Orab,3668,7,,1,,6
#N/A,#N/A,546,,,,,
Brown County,Sardinia,964,,,,,
#N/A,#N/A,32574,13,,3,1,9
#N/A,#N/A,,,,,,
Butler County,Fairfield,42654,98,1,13,19,65
Butler County,Hamilton,62240,105,1,25,39,40
Butler County,Middletown,45877,292,2,36,77,177
Butler County,Monroe,15368,53,,6,10,37
#N/A,#N/A,2271,1,,,,1
Butler County,Oxford,21426,57,,12,5,40
#N/A,#N/A,2125,,,,,
Butler County,West Chester,59629,56,,15,22,19
#N/A,#N/A,8514,9,,2,1,6
#N/A,#N/A,,16,,13,,3
#N/A,#N/A,21895,22,,3,9,10
#N/A,#N/A,75759,90,,10,7,73
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,1745,,,,,
#N/A,#N/A,264,1,,,,1
#N/A,#N/A,22998,19,,3,2,14
#N/A,#N/A,,,,,,
#N/A,#N/A,1616,3,,,,3
#N/A,#N/A,11584,23,1,7,4,11
#N/A,#N/A,2042,1,,,,1
#N/A,#N/A,24118,16,1,1,,14
#N/A,#N/A,,,,,,
Clark County,Springfield,58891,442,7,50,223,162
Clark County,Enon,2414,,,,,
Clark County,South Charleston,1667,,,,,
#N/A,#N/A,370,1,,,,1
Clark County,South Vienna,382,,,,,
#N/A,#N/A,6942,3,,,2,1
#N/A,#N/A,64707,53,1,7,15,30
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
Clermont County,Batavia,1644,2,,1,,1
Clermont County,Bethel,2762,6,1,,,5
Clermont County,Milford,6647,15,,4,6,5
Clermont County,Amelia,4919,3,,1,2,
Clermont County,Felicity,823,1,,,1,
Clermont County,New Richmond,2618,2,,,,2
#N/A,#N/A,395,,,,,
#N/A,#N/A,811,,,,,
Clermont County,Williamsburg,2536,2,,,,2
Clermont County,Goshen,15626,11,,6,3,2
#N/A,#N/A,41746,30,2,9,9,10
#N/A,#N/A,47542,38,,11,18,9
#N/A,#N/A,11459,6,,4,,2
Clermont County,Loveland,1981,1,,,,1
#N/A,#N/A,59627,96,1,17,10,68
#N/A,#N/A,,,,,,
Clinton County,New Vienna,1207,2,,1,,1
Clinton County,Sabina,2548,4,,1,,3
Clinton County,Wilmington,12455,19,,4,4,11
#N/A,#N/A,2,,,,,
#N/A,#N/A,21554,9,1,2,1,5
#N/A,#N/A,,,,,,
Columbiana County,Columbiana,5639,2,,,,2
Columbiana County,East Palestine,4601,6,,3,,3
Columbiana County,Lisbon,2755,6,,1,,5
Columbiana County,Salem,12081,11,,1,4,6
#N/A,#N/A,1281,2,,,,2
Columbiana County,Wellsville,3439,,,,,
Columbiana County,New Waterford,1207,,,,,
#N/A,#N/A,441,,,,,
#N/A,#N/A,7793,,,,,
#N/A,#N/A,4477,1,,,,1
#N/A,#N/A,2,,,,,
#N/A,#N/A,38525,14,,10,1,3
#N/A,#N/A,,,,,,
Coshocton County,West Lafayette,2295,7,,,,7
Coshocton County,Coshocton,34480,27,,2,9,16
#N/A,#N/A,,,,,,
#N/A,#N/A,12007,29,,3,7,19
#N/A,#N/A,10215,19,,3,7,9
#N/A,#N/A,938,4,,,,4
#N/A,#N/A,15017,3,,2,,1
#N/A,#N/A,,,,,,
Cuyahoga County,Cleveland,388655,5205,63,495,2992,1655
#N/A,#N/A,,,,,,
Cuyahoga County,Bay Village,15435,3,,,,3
#N/A,#N/A,11812,12,,1,7,4
Cuyahoga County,Bedford,12831,24,,4,10,10
#N/A,#N/A,10681,34,1,3,15,15
#N/A,#N/A,863,,,,,
Cuyahoga County,Berea,18981,19,,2,10,7
#N/A,#N/A,1177,3,,,1,2
Cuyahoga County,Brecksville,13505,,,,,
Cuyahoga County,Broadview Heights,19318,27,,,,27
#N/A,#N/A,10964,29,1,6,15,7
#N/A,#N/A,4045,,,,,
Cuyahoga County,Cleveland Heights,45207,106,2,10,57,37
#N/A,#N/A,17448,134,2,10,84,38
Cuyahoga County,Euclid,47969,12,,,4,8
Cuyahoga County,Garfield Heights,28273,108,4,11,42,51
Cuyahoga County,Gates Mills,2248,,,,,
#N/A,#N/A,8316,5,,1,1,3
#N/A,#N/A,7147,4,,,1,3
Cuyahoga County,Lakewood,50923,66,2,6,32,26
Cuyahoga County,Lyndhurst,13744,6,,1,2,3
#N/A,#N/A,18891,1,,,1,
#N/A,#N/A,3415,,,,,
#N/A,#N/A,3320,,,,,
#N/A,#N/A,13178,10,,4,,6
Cuyahoga County,Olmsted Falls,8901,3,,,,3
#N/A,#N/A,3283,,,,,
Cuyahoga County,Parma,80168,68,,21,30,17
Cuyahoga County,Parma Heights,20374,15,,2,8,5
#N/A,#N/A,6194,1,,,,1
Cuyahoga County,Richmond Heights,10492,14,,1,9,4
Cuyahoga County,Seven Hills,11713,6,,2,1,3
Cuyahoga County,Shaker Heights,27821,9,,1,8,
Cuyahoga County,Solon,23113,8,,,1,7
Cuyahoga County,South Euclid,21895,22,,1,11,10
Cuyahoga County,Strongsville,44731,41,,,8,33
#N/A,#N/A,13363,29,,2,14,13
#N/A,#N/A,2013,,,,,
#N/A,#N/A,2247,,,,,
Cuyahoga County,Westlake,32416,12,,,2,10
#N/A,#N/A,872,,,,,
#N/A,#N/A,,5,,,5,
#N/A,#N/A,178,,,,,
#N/A,#N/A,,4,,,2,2
#N/A,#N/A,,6,,1,2,3
#N/A,#N/A,,,,,,
#N/A,#N/A,13036,40,,10,9,21
Darke County,Arcanum,2094,,,,,
Darke County,Union City,1647,,,,,
#N/A,#N/A,33499,19,,12,1,6
#N/A,#N/A,,,,,,
Defiance County,Defiance,16772,31,2,11,8,10
Defiance County,Hicksville,3452,,,,,
#N/A,#N/A,18218,9,,9,,
#N/A,#N/A,,,,,,
#N/A,#N/A,7708,42,1,7,19,15
#N/A,#N/A,36853,64,,25,22,17
Delaware County,Powell,12410,2,,,,2
#N/A,#N/A,733,,,,,
#N/A,#N/A,4315,1,,,1,
#N/A,#N/A,8206,6,,2,3,1
#N/A,#N/A,86955,14,,3,3,8
#N/A,#N/A,,,,,,
Erie County,Sandusky,25236,73,1,6,30,36
#N/A,#N/A,4664,6,,2,,4
#N/A,#N/A,620,,,,,
Erie County,Berlin Heights,698,,,,,
Erie County,Milan,986,,,,,
#N/A,#N/A,12028,6,,1,3,2
#N/A,#N/A,,2,,1,,1
#N/A,#N/A,2,,,,,
#N/A,#N/A,24312,4,1,1,1,1
#N/A,#N/A,,,,,,
#N/A,#N/A,9998,55,1,9,25,20
Fairfield County,Lancaster,39453,109,1,38,16,54
Fairfield County,Baltimore,2952,,,,,
Fairfield County,Carroll,521,,,,,
Fairfield County,Lithopolis,1206,,,,,
Fairfield County,Millersport,1046,1,,,,1
#N/A,#N/A,916,,,,,
#N/A,#N/A,73975,34,,8,8,18
#N/A,#N/A,,,,,,
Fayette County,Washington Court House,14072,31,,10,7,14
#N/A,#N/A,14714,28,,11,7,10
#N/A,#N/A,,,,,,
Franklin County,Columbus,813105,4543,83,771,2068,1621
#N/A,#N/A,50,,,,,
#N/A,#N/A,,2,,2,,
Franklin County,Bexley,13543,15,1,4,8,2
Franklin County,Dublin,37361,7,,,6,1
Franklin County,Gahanna,34249,24,,6,16,2
Franklin County,Grandview Heights,7058,5,,2,3,
Franklin County,Grove City,37945,38,,16,18,4
Franklin County,Reynoldsburg,26889,42,,14,14,14
Franklin County,Upper Arlington,34600,4,,,4,
Franklin County,Westerville,29630,22,,7,12,3
#N/A,#N/A,18587,129,1,17,76,35
#N/A,#N/A,13903,14,,1,13,
#N/A,#N/A,120,,,,,
#N/A,#N/A,,,,,,
Franklin County,Groveport,5700,6,,,,6
#N/A,#N/A,1305,3,,,2,1
Franklin County,New Albany,9052,3,,,,3
#N/A,#N/A,4685,6,,1,3,2
#N/A,#N/A,,22,,12,8,2
#N/A,#N/A,8021,13,,2,5,6
#N/A,#N/A,4093,31,,2,17,12
#N/A,#N/A,9711,6,,,2,4
#N/A,#N/A,2593,10,,1,5,4
#N/A,#N/A,3758,,,,,
#N/A,#N/A,17948,19,1,5,7,6
#N/A,#N/A,2418,1,,,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,,2,,1,,1
#N/A,#N/A,56784,68,2,3,31,32
#N/A,#N/A,,,,,,
Fulton County,Delta,3088,,,,,
Fulton County,Fayette,1270,,,,,
Fulton County,Swanton,3597,,,,,
Fulton County,Wauseon,7292,13,,5,2,6
#N/A,#N/A,22922,19,2,7,1,9
#N/A,#N/A,,,,,,
#N/A,#N/A,3643,17,,9,5,3
#N/A,#N/A,789,2,,,,2
#N/A,#N/A,,,,,,
#N/A,#N/A,25991,27,1,2,6,18
#N/A,#N/A,,,,,,
Geauga County,Chardon,5193,4,,1,1,2
Geauga County,Burton,1462,,,,,
Geauga County,Middlefield,2715,,,,,
#N/A,#N/A,3853,,,,,
#N/A,#N/A,5238,2,1,,,1
Geauga County,Chesterland,10343,2,,,1,1
#N/A,#N/A,11518,8,,2,1,5
#N/A,#N/A,,,,,,
#N/A,#N/A,53801,12,,4,,8
#N/A,#N/A,,,,,,
#N/A,#N/A,33276,48,,15,22,11
Greene County,Xenia,25932,56,,25,10,21
Greene County,Yellow Springs,3519,5,,,,5
Greene County,Bellbrook,7044,3,,2,1,
Greene County,Jamestown,2009,4,,,,4
Greene County,Beavercreek,45835,25,,7,11,7
#N/A,#N/A,,7,,6,1,
#N/A,#N/A,8164,3,,,3,
#N/A,#N/A,,2,,,2,
#N/A,#N/A,2,,,,,
#N/A,#N/A,467,,,,,
#N/A,#N/A,33573,29,,15,2,12
#N/A,#N/A,,,,,,
Guernsey County,Cambridge,10476,50,1,12,14,23
Guernsey County,Byesville,2404,2,,,,2
#N/A,#N/A,26248,1,,,,1
#N/A,#N/A,,,,,,
Hamilton County,Cincinnati,297671,2719,60,248,1358,1053
#N/A,#N/A,29,,,,,
#N/A,#N/A,3600,,,,,
Hamilton County,Blue Ash,12146,8,,4,4,
#N/A,#N/A,8313,18,,3,10,5
Hamilton County,Deer Park,5693,5,,2,1,2
#N/A,#N/A,29621,16,1,3,10,2
#N/A,#N/A,2170,9,,1,4,4
#N/A,#N/A,2769,7,,1,2,4
#N/A,#N/A,1695,3,,,3,
Hamilton County,Forest Park,18724,57,1,11,32,13
#N/A,#N/A,2157,,,,,
Hamilton County,Greenhills,3596,3,,,2,1
Hamilton County,Harrison,10382,7,,1,6,
#N/A,#N/A,5814,,,,,
#N/A,#N/A,3388,10,,,4,6
#N/A,#N/A,3434,40,4,4,15,17
#N/A,#N/A,9592,7,,1,1,5
Hamilton County,Madeira,8905,,,,,
#N/A,#N/A,3375,1,,,,1
Hamilton County,Montgomery,10395,3,,1,,2
#N/A,#N/A,6051,40,,4,27,9
#N/A,#N/A,2669,,,,,
#N/A,#N/A,9354,40,1,6,29,4
Hamilton County,Norwood,19027,74,,8,44,22
Hamilton County,Springdale,11216,55,,10,40,5
#N/A,#N/A,36479,82,2,9,43,28
#N/A,#N/A,3295,16,,3,8,5
#N/A,#N/A,8411,7,,,3,4
#N/A,#N/A,,6,,4,,2
#N/A,#N/A,58813,107,2,8,66,31
#N/A,#N/A,170685,179,5,36,59,79
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,177,,,,,
Hancock County,Findlay,41613,80,,22,17,41
Hancock County,McComb,1657,,,,,
#N/A,#N/A,29786,6,,1,,5
#N/A,#N/A,,,,,,
#N/A,#N/A,5790,6,,1,1,4
#N/A,#N/A,8184,9,,2,3,4
#N/A,#N/A,1427,1,,1,,
#N/A,#N/A,16172,14,,2,1,11
#N/A,#N/A,,,,,,
#N/A,#N/A,3299,9,,2,1,6
#N/A,#N/A,322,,,,,
#N/A,#N/A,11171,21,,3,,18
#N/A,#N/A,,,,,,
#N/A,#N/A,8687,4,,1,,3
#N/A,#N/A,1804,,,,,
