County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,16333,13,,4,1,8
#N/A,#N/A,,,,,,
Highland County,Greenfield,4608,7,,2,2,3
Highland County,Hillsboro,6598,7,,4,3,
Highland County,Leesburg,1305,,,,,
Highland County,Lynchburg,1490,3,,,,3
#N/A,#N/A,29028,12,,6,,6
#N/A,#N/A,,,,,,
#N/A,#N/A,15,,,,,
Hocking County,Logan,7139,21,,8,1,12
Hocking County,Laurelville,520,,,,,
#N/A,#N/A,20835,8,,1,,7
#N/A,#N/A,,,,,,
#N/A,#N/A,61,,,,,
#N/A,#N/A,3134,1,,,1,
#N/A,#N/A,40466,7,1,2,3,1
#N/A,#N/A,,,,,,
#N/A,#N/A,361,,,,,
#N/A,#N/A,2403,,,,,
#N/A,#N/A,16790,21,1,9,3,8
#N/A,#N/A,3604,2,,,,2
#N/A,#N/A,1380,,,,,
#N/A,#N/A,894,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,6298,13,,2,5,6
#N/A,#N/A,5536,4,,1,2,1
#N/A,#N/A,470,,,,,
#N/A,#N/A,1506,2,,1,,1
#N/A,#N/A,18906,18,1,3,1,13
#N/A,#N/A,,,,,,
#N/A,#N/A,4903,,,,,
Jefferson County,Wintersville,3812,2,,,1,1
#N/A,#N/A,597,1,,,,1
#N/A,#N/A,644,,,,,
#N/A,#N/A,1319,1,,,,1
#N/A,#N/A,1298,,,,,
#N/A,#N/A,2729,1,,1,,
#N/A,#N/A,21696,4,1,,1,2
#N/A,#N/A,,,,,,
Knox County,Mount Vernon,16740,32,,14,3,15
#N/A,#N/A,1014,,,,,
Knox County,Fredericktown,2478,2,,,,2
#N/A,#N/A,20,,,,,
#N/A,#N/A,40574,34,,14,1,19
#N/A,#N/A,,,,,,
Lake County,Eastlake,18381,14,1,1,6,6
#N/A,#N/A,3094,7,,1,,6
Lake County,Mentor,46937,3,,,3,
#N/A,#N/A,7450,11,,4,2,5
Lake County,Painesville,20026,50,2,12,19,17
#N/A,#N/A,466,,,,,
Lake County,Willoughby,22501,22,,2,9,11
#N/A,#N/A,,,,,,
#N/A,#N/A,6841,,,,,
#N/A,#N/A,45772,176,,12,7,157
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,2158,,,,,
#N/A,#N/A,11045,19,1,6,5,7
#N/A,#N/A,3963,4,,2,,2
#N/A,#N/A,43759,63,1,7,9,46
#N/A,#N/A,,,,,,
#N/A,#N/A,8865,15,,5,5,5
#N/A,#N/A,59,,,,,
#N/A,#N/A,47808,73,1,28,23,21
#N/A,#N/A,10485,22,1,5,8,8
Licking County,Hebron,2365,,,,,
Licking County,Johnstown,4876,3,,,,3
Licking County,Saint Louisville,365,,,,,
#N/A,#N/A,2136,4,,,1,3
#N/A,#N/A,63623,59,,29,13,17
#N/A,#N/A,,,,,,
Logan County,Bellefontaine,13156,29,,12,6,11
Logan County,Russells Point,1363,1,,,,1
Logan County,De Graff,1266,,,,,
Logan County,West Liberty,1777,5,,1,1,3
#N/A,#N/A,25715,9,,4,,5
#N/A,#N/A,,,,,,
Lorain County,Vermilion,5804,6,,2,,4
Lorain County,Amherst,12133,3,,1,2,
Lorain County,Lorain,63619,244,,38,91,115
Lorain County,Oberlin,8389,12,,7,2,3
Lorain County,North Ridgeville,31706,11,,3,4,4
Lorain County,Sheffield Lake,9051,6,,3,2,1
Lorain County,Grafton,5895,3,,,,3
#N/A,#N/A,60699,55,,20,19,16
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
Lucas County,Toledo,281150,3068,24,231,944,1869
#N/A,#N/A,119,,,,,
Lucas County,Maumee,14062,18,,4,7,7
Lucas County,Oregon,20207,27,,5,7,15
#N/A,#N/A,4488,3,,,,3
#N/A,#N/A,29425,37,,2,13,22
#N/A,#N/A,1676,8,,,6,2
Lucas County,Waterville,5506,3,,1,,2
Lucas County,Whitehouse,4397,3,,1,,2
#N/A,#N/A,,3,,,3,
#N/A,#N/A,1664,1,,,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,50630,62,1,7,15,39
#N/A,#N/A,,,,,,
Madison County,London,9996,14,,6,1,7
Madison County,West Jefferson,4239,1,,,,1
#N/A,#N/A,3421,3,,,2,1
#N/A,#N/A,25293,12,,4,3,5
#N/A,#N/A,,,,,,
Mahoning County,Boardman,40047,65,1,15,35,14
Mahoning County,Youngstown,64658,427,14,37,132,244
#N/A,#N/A,666,,,,,
#N/A,#N/A,4,,,,,
#N/A,#N/A,342,,,,,
Mahoning County,Austintown,35997,64,1,17,16,30
#N/A,#N/A,8034,3,,,1,2
Mahoning County,Canfield,7386,2,,,,2
#N/A,#N/A,1116,,,,,
#N/A,#N/A,2492,2,,,1,1
#N/A,#N/A,4300,4,,2,,2
Mahoning County,Struthers,10451,31,3,5,9,14
Mahoning County,New Middletown,1584,2,,1,,1
#N/A,#N/A,6551,3,,1,,2
#N/A,#N/A,,4,,,1,3
#N/A,#N/A,6497,5,,,,5
#N/A,#N/A,3138,11,,2,,9
#N/A,#N/A,2488,2,,,,2
#N/A,#N/A,2059,1,,,,1
#N/A,#N/A,12160,4,,2,2,
#N/A,#N/A,1353,5,,,1,4
#N/A,#N/A,39,,,,,
#N/A,#N/A,16174,5,,3,,2
#N/A,#N/A,,,,,,
#N/A,#N/A,36765,105,2,33,39,31
#N/A,#N/A,29097,27,1,8,9,9
#N/A,#N/A,,,,,,
Medina County,Brunswick,34620,19,,1,2,16
Medina County,Medina,26551,21,,3,11,7
Medina County,Wadsworth,21894,11,,6,,5
#N/A,#N/A,1147,,,,,
Medina County,Lodi,2789,11,,1,,10
Medina County,Seville,2358,,,,,
Medina County,Spencer,770,,,,,
Medina County,Hinckley,7873,4,,3,,1
#N/A,#N/A,11547,5,,1,,4
#N/A,#N/A,8818,6,,,1,5
#N/A,#N/A,10202,2,,1,,1
#N/A,#N/A,115,,,,,
#N/A,#N/A,99,,,,,
#N/A,#N/A,46984,3,,,,3
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,2502,4,,1,1,2
#N/A,#N/A,1842,2,,,,2
#N/A,#N/A,826,,,,,
#N/A,#N/A,17246,23,1,4,1,17
#N/A,#N/A,,,,,,
Mercer County,Celina,10370,19,,5,1,13
Mercer County,Coldwater,4454,1,,,,1
Mercer County,Fort Recovery,1416,1,,1,,
Mercer County,Rockford,1113,,,,,
Mercer County,Saint Henry,2496,1,,,,1
#N/A,#N/A,20998,17,,6,,11
#N/A,#N/A,,,,,,
Miami County,Piqua,20746,35,,15,13,7
Miami County,Tipp City,9839,5,,1,2,2
Miami County,Troy,25500,41,,12,13,16
Miami County,Covington,2606,1,,1,,
#N/A,#N/A,977,2,,,1,1
#N/A,#N/A,24,,,,,
#N/A,#N/A,39451,17,2,9,1,5
#N/A,#N/A,,,,,,
#N/A,#N/A,12227,7,1,3,,3
#N/A,#N/A,,,,,,
Montgomery County,Dayton,143217,1237,27,144,537,529
Montgomery County,Centerville,23947,23,,3,5,15
Montgomery County,Germantown,5520,4,,2,,2
Montgomery County,Kettering,55311,53,,16,18,19
#N/A,#N/A,29102,29,2,8,9,10
Montgomery County,Miamisburg,20109,34,,9,13,12
Montgomery County,Moraine,6331,20,,4,9,7
Montgomery County,Clayton,13209,7,,2,5,
Montgomery County,Trotwood,24193,98,,25,40,33
Montgomery County,Vandalia,15151,19,,5,10,4
#N/A,#N/A,37160,73,,18,27,28
Montgomery County,West Carrollton,13028,27,,5,17,5
#N/A,#N/A,5862,4,,2,1,1
Montgomery County,Englewood,13466,25,1,4,9,11
Montgomery County,New Lebanon,3987,3,,1,2,
#N/A,#N/A,25068,51,,17,15,19
#N/A,#N/A,6349,3,,,1,2
#N/A,#N/A,7864,15,,1,10,4
#N/A,#N/A,2893,3,1,,,2
#N/A,#N/A,3681,1,,1,,
#N/A,#N/A,3342,1,,,,1
#N/A,#N/A,4215,1,,,,1
#N/A,#N/A,,1,,,1,
#N/A,#N/A,213,,,,,
#N/A,#N/A,1244,,,,,
#N/A,#N/A,62558,177,2,30,78,67
#N/A,#N/A,,,,,,
#N/A,#N/A,1814,7,,1,2,4
#N/A,#N/A,13073,32,,3,5,24
#N/A,#N/A,,,,,,
#N/A,#N/A,2051,3,,,,3
#N/A,#N/A,28975,15,,1,,14
#N/A,#N/A,,,,,,
Muskingum County,Zanesville,25415,103,,17,24,62
Muskingum County,Frazeysburg,1313,1,,1,,
Muskingum County,New Concord,1567,,,,,
Muskingum County,Roseville,747,1,,,,1
#N/A,#N/A,1964,1,,1,,
#N/A,#N/A,,1,,,,1
#N/A,#N/A,52464,45,1,28,12,4
#N/A,#N/A,,,,,,
#N/A,#N/A,1855,,,,,
#N/A,#N/A,,,,,,
Ottawa County,Oak Harbor,2738,5,,,1,4
Ottawa County,Port Clinton,6029,22,1,4,3,14
#N/A,#N/A,280,,,,,
Ottawa County,Genoa,2319,3,,1,,2
Ottawa County,Marblehead,889,2,,,,2
#N/A,#N/A,2121,1,,1,,
#N/A,#N/A,20087,4,,4,,
#N/A,#N/A,,,,,,
Paulding County,Paulding,3530,,,,,
Paulding County,Oakwood,594,,,,,
#N/A,#N/A,1167,1,,,,1
#N/A,#N/A,13520,4,,2,1,1
#N/A,#N/A,,,,,,
#N/A,#N/A,1099,2,,1,,1
Perry County,Crooksville,2514,2,,2,,
Perry County,New Lexington,4753,20,,7,4,9
#N/A,#N/A,715,,,,,
#N/A,#N/A,809,,,,,
Perry County,Somerset,1470,,,,,
Perry County,Thornville,991,2,,,,2
#N/A,#N/A,22452,17,1,6,,10
#N/A,#N/A,,,,,,
Pickaway County,Circleville,13469,34,,17,7,10
Pickaway County,Ashville,4113,2,,,,2
Pickaway County,Commercial Point,1577,2,,,,2
#N/A,#N/A,1777,,,,,
#N/A,#N/A,35584,32,,7,4,21
#N/A,#N/A,,,,,,
#N/A,#N/A,4315,3,,,,3
#N/A,#N/A,24003,16,1,5,2,8
#N/A,#N/A,,,,,,
Portage County,Aurora,15586,9,,1,1,7
Portage County,Kent,32582,76,,2,15,59
Portage County,Windham,2186,6,,1,,5
#N/A,#N/A,462,,,,,
Portage County,Hiram,1283,,,,,
#N/A,#N/A,,8,,4,2,2
Portage County,Streetsboro,16152,11,,3,3,5
#N/A,#N/A,10334,7,,5,1,1
#N/A,#N/A,,1,,,,1
Portage County,Mogadore,1007,1,,,,1
#N/A,#N/A,279,,,,,
#N/A,#N/A,72703,51,4,8,11,28
#N/A,#N/A,,,,,,
Preble County,Camden,1977,1,,,,1
#N/A,#N/A,1584,2,,1,,1
Preble County,West Alexandria,1350,,,,,
#N/A,#N/A,27426,19,2,8,1,8
#N/A,#N/A,,,,,,
Putnam County,Ottawa,4391,1,,1,,
Putnam County,Columbus Grove,2073,1,,,,1
Putnam County,Leipsic,2035,,,,,
#N/A,#N/A,973,,,,,
Putnam County,Pandora,1143,,,,,
#N/A,#N/A,1551,,,,,
#N/A,#N/A,20435,19,,14,,5
#N/A,#N/A,,,,,,
Richland County,Mansfield,46145,215,3,43,88,81
#N/A,#N/A,6132,2,,1,1,
Richland County,Plymouth,919,,,,,
Richland County,Shelby,9089,4,,2,2,
Richland County,Bellville,1880,1,,,,1
Richland County,Butler,917,1,,,1,
#N/A,#N/A,51504,31,1,14,8,8
#N/A,#N/A,,,,,,
Ross County,Chillicothe,21896,81,,8,30,43
#N/A,#N/A,56072,83,,29,10,44
#N/A,#N/A,,,,,,
Sandusky County,Bellevue,4441,3,,1,,2
Sandusky County,Clyde,6277,3,,1,1,1
Sandusky County,Fremont,16377,24,3,2,7,12
#N/A,#N/A,27485,17,,,,17
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,2216,1,,,1,
#N/A,#N/A,20476,95,1,13,30,51
#N/A,#N/A,,2,,2,,
#N/A,#N/A,55229,45,,14,10,21
#N/A,#N/A,,,,,,
Seneca County,Tiffin,17806,16,,3,9,4
#N/A,#N/A,24917,47,,3,3,41
#N/A,#N/A,,,,,,
Shelby County,Sidney,20961,37,2,11,15,9
Shelby County,Fort Loramie,1501,,,,,
Shelby County,Jackson Center,1468,2,,,,2
#N/A,#N/A,24280,16,,4,,12
#N/A,#N/A,,,,,,
Stark County,Canton,72391,730,7,91,229,403
Stark County,Massillon,32196,86,1,13,28,44
Stark County,Alliance,22152,75,1,9,19,46
Stark County,Brewster,2162,2,,,,2
Stark County,Canal Fulton,5506,4,,1,,3
Stark County,East Canton,1594,,,,,
Stark County,Hartville,2956,1,,,,1
Stark County,Louisville,9150,12,,3,1,8
Stark County,Minerva,1941,1,,,,1
Stark County,Navarre,1937,2,,,,2
Stark County,North Canton,17503,14,,5,2,7
Stark County,Beach City,1008,,,,,
Stark County,Waynesburg,922,,,,,
#N/A,#N/A,8235,12,,2,,10
#N/A,#N/A,40645,47,,3,21,23
Stark County,Uniontown,3322,4,,1,,3
Stark County,Magnolia,713,2,,,,2
#N/A,#N/A,118569,99,2,36,34,27
#N/A,#N/A,,,,,,
Summit County,Akron,197891,1366,26,176,436,728
Summit County,Barberton,26286,68,,13,14,41
Summit County,Cuyahoga Falls,49196,49,1,10,9,29
Summit County,Hudson,22526,4,,2,,2
#N/A,#N/A,2864,2,,,,2
Summit County,Northfield,3653,8,1,,,7
