ORI,AGENCY NAME,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH01211,SOUTH VIENNA,CLARK COUNTY ,375,,8,,,,,1,4,3,
OH01200,CLARK COUNTY SHERIFF,CLARK COUNTY ,"63,833",21,798,,7,3,11,221,548,29,5
OH01301,BATAVIA,CLERMONT COUNTY,"1,656",,57,,,,,7,46,4,
OH01302,BETHEL,CLERMONT COUNTY,"2,791",3,87,,,,3,14,71,2,
OH01303,MILFORD,CLERMONT COUNTY,"6,910",14,191,,4,1,9,22,158,11,
OH01304,AMELIA,CLERMONT COUNTY,"4,982",3,63,,,,3,2,58,3,
OH01306,FELICITY,CLERMONT COUNTY,825,3,31,,1,,2,4,26,1,
OH01310,NEW RICHMOND,CLERMONT COUNTY,"2,663",6,61,,,,6,13,45,3,
OH01311,NEWTONSVILLE,CLERMONT COUNTY,365,2,,,,,2,,,,
OH01312,OWENSVILLE,CLERMONT COUNTY,823,2,6,,,,2,,5,1,
OH01313,WILLIAMSBURG,CLERMONT COUNTY,"2,565",4,58,,1,,3,11,45,2,1
OH01314,GOSHEN TOWNSHIP,CLERMONT COUNTY,"15,860",7,165,,5,1,1,32,118,15,1
OH01315,MIAMI TOWNSHIP,CLERMONT COUNTY,"42,352",34,625,,12,3,19,77,529,19,
OH01316,UNION TOWNSHIP,CLERMONT COUNTY,"48,214",39,891,,25,4,10,123,752,16,3
OH01317,PIERCE TOWNSHIP,CLERMONT COUNTY,"11,623",5,151,,2,1,2,28,118,5,3
OH03120,LOVELAND,CLERMONT COUNTY,"2,070",2,18,,1,,1,4,13,1,
OH01300,CLERMONT COUNTY SHERIFF,CLERMONT COUNTY,"60,756",141,"1,166",,39,10,92,358,744,64,5
OH01401,BLANCHESTER,CLINTON COUNTY,"4,261",12,99,,6,2,4,23,71,5,
OH01402,NEW VIENNA,CLINTON COUNTY,"1,201",,13,,,,,3,7,3,
OH01403,SABINA,CLINTON COUNTY,"2,534",3,52,,2,,1,15,37,,1
OH01404,WILMINGTON,CLINTON COUNTY,"12,416",23,645,,3,8,12,72,562,11,
OH03604,LYNCHBURG,CLINTON COUNTY,2,,,,,,,,,,
OH01400,CLINTON COUNTY SHERIFF,CLINTON COUNTY,"21,598",4,37,,,1,3,7,25,5,1
OH01501,COLUMBIANA,COLUMBIANA COUNTY,"5,583",3,33,,1,1,1,3,30,,
OH01503,EAST PALESTINE,COLUMBIANA COUNTY,"4,503",11,82,,2,1,8,22,58,2,1
OH01505,LISBON,COLUMBIANA COUNTY,"2,680",1,26,,1,,,6,19,1,
OH01506,SALEM,COLUMBIANA COUNTY,"11,883",21,348,,4,1,16,20,324,4,1
OH01507,SALINEVILLE,COLUMBIANA COUNTY,"1,240",,18,,,,,4,14,,2
OH01508,WELLSVILLE,COLUMBIANA COUNTY,"3,347",,1,,,,,,1,,
OH01510,NEW WATERFORD,COLUMBIANA COUNTY,"1,183",,3,,,,,1,2,,
OH01513,WASHINGTONVILLE,COLUMBIANA COUNTY,424,,2,,,,,1,1,,
OH01515,ST. CLAIR TOWNSHIP,COLUMBIANA COUNTY,"7,583",,26,,,,,,26,,
OH01519,PERRY TOWNSHIP,COLUMBIANA COUNTY,"4,381",,3,,,,,2,1,,
OH01520,CENTER TOWNSHIP,COLUMBIANA COUNTY,"3,356",1,,,,,1,,,,
OH07609,MINERVA,COLUMBIANA COUNTY,2,,,,,,,,,,
OH01500,COLUMBIANA COUNTY SHERIFF,COLUMBIANA COUNTY,"37,723",12,60,2,5,,5,14,40,6,
OH01606,WEST LAFAYETTE,COSHOCTON COUNTY,"2,287",3,6,,2,,1,1,5,,
OH01600,COSHOCTON COUNTY SHERIFF,COSHOCTON COUNTY,"34,357",37,457,,8,5,24,123,319,15,5
OHCLP00,CLEVELAND,Cuyahoga County,"385,351","5,999","18,944",107,497,"2,697","2,698","5,853","9,696","3,395",253
OH018A1,NOTRE DAME COLLEGE,Cuyahoga County,,2,38,,2,,,9,29,,
OH01801,BAY VILLAGE,Cuyahoga County,"15,327",2,73,,1,,1,11,61,1,
OH01803,BEDFORD,Cuyahoga County,"12,641",25,228,1,1,16,7,50,146,32,
OH01804,BEDFORD HEIGHTS,Cuyahoga County,"10,558",22,255,1,1,9,11,32,173,50,
OH01806,BEREA,Cuyahoga County,"18,871",8,140,,1,1,6,27,105,8,2
OH01808,BRECKSVILLE,Cuyahoga County,"13,432",2,52,,1,,1,4,47,1,
OH01809,BROADVIEW HEIGHTS,Cuyahoga County,"19,228",1,21,,,,1,5,11,5,
OH01810,BROOKLYN,Cuyahoga County,"10,809",23,677,1,5,11,6,31,612,34,
OH01813,CHAGRIN FALLS,Cuyahoga County,"3,991",2,39,,1,,1,3,36,,
OH01815,CLEVELAND HEIGHTS,Cuyahoga County,"44,525",131,879,2,16,79,34,125,655,99,1
OH01817,EAST CLEVELAND,Cuyahoga County,"17,178",136,339,5,8,83,40,100,89,150,3
OH01818,EUCLID,Cuyahoga County,"47,270",303,"1,267",4,26,118,155,226,910,131,6
OH01819,FAIRVIEW PARK,Cuyahoga County,"16,307",18,176,1,1,4,12,14,155,7,1
OH01820,GARFIELD HEIGHTS,Cuyahoga County,"27,846",,,,,,,,,,
OH01821,GATES MILLS,Cuyahoga County,"2,232",2,24,,,1,1,2,20,2,
OH01822,GLENWILLOW,Cuyahoga County,923,,3,,,,,,3,,
OH01823,HIGHLAND HEIGHTS,Cuyahoga County,"8,434",7,132,,1,2,4,9,119,4,
OH01825,INDEPENDENCE,Cuyahoga County,"7,135",3,129,,1,1,1,4,123,2,
OH01826,LAKEWOOD,Cuyahoga County,"50,151",74,"1,199",2,6,40,26,469,652,78,5
OH01827,LYNDHURST,Cuyahoga County,"13,586",18,180,,,7,11,21,148,11,
OH01829,MAYFIELD HEIGHTS,Cuyahoga County,"18,724",13,188,1,1,5,6,12,170,6,
OH01832,MORELAND HILLS,Cuyahoga County,"3,315",,14,,,,,2,12,,
OH01834,NORTH OLMSTED,Cuyahoga County,"31,779",26,470,,6,11,9,40,398,32,
OH01836,NORTH ROYALTON,Cuyahoga County,"30,313",7,103,3,,,4,22,80,1,
OH01838,OLMSTED TOWNSHIP,Cuyahoga County,"13,157",1,50,,1,,,16,32,2,
OH01839,OLMSTED FALLS,Cuyahoga County,"8,898",3,31,,1,1,1,9,19,3,
OH01842,PARMA,Cuyahoga County,"79,340",141,906,,39,37,65,199,633,74,2
OH01843,PARMA HEIGHTS,Cuyahoga County,"20,094",1,53,,,,1,10,40,3,
OH01844,PEPPER PIKE,Cuyahoga County,"6,256",3,42,1,1,,1,10,32,,
OH01845,RICHMOND HEIGHTS,Cuyahoga County,"10,432",19,206,,,12,7,37,146,23,
OH01846,ROCKY RIVER,Cuyahoga County,"20,342",7,73,,1,2,4,7,62,4,
OH01847,SEVEN HILLS,Cuyahoga County,"11,668",3,50,,,1,2,14,33,3,
OH01849,SOLON,Cuyahoga County,"23,023",13,182,,2,4,7,25,146,11,
OH01850,SOUTH EUCLID,Cuyahoga County,"21,628",33,645,,5,14,14,74,536,35,
OH01851,STRONGSVILLE,Cuyahoga County,"44,758",18,852,2,1,9,6,67,760,25,
