ORI,AGENCY NAME,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH03207,MCCOMB,HANCOCK COUNTY,"1,655",,,,,,,,,,
OH03200,HANCOCK,HANCOCK COUNTY,"30,069",8,185,,2,,6,38,146,1,1
OH03601,GREENFIELD,HIGHLAND COUNTY,"4,582",13,99,3,3,2,5,28,50,21,2
OH03602,HILLSBORO,HIGHLAND COUNTY,"6,576",9,168,,7,1,1,23,134,11,1
OH03603,VILLAGE OF LEESBURG,HIGHLAND COUNTY,"1,295",1,54,,,,1,5,47,2,
OH03604,LYNCHBURG,HIGHLAND COUNTY,"1,480",,29,,,,,2,25,2,
OH03606,MOWRYSTOWN,HIGHLAND COUNTY,352,1,2,,,,1,,2,,
OH03600,HIGHLAND COUNTY SHERIFF,HIGHLAND COUNTY,"28,507",28,348,2,9,7,10,95,227,26,2
OH03701,LOGAN,HOCKING COUNTY,"7,077",18,289,,5,3,10,21,254,14,2
OH03702,LAURELVILLE,HOCKING COUNTY,507,1,3,,,1,,,3,,
OH03700,HOCKING COUNTY SHERIFF,HOCKING COUNTY,"20,632",25,351,,4,1,20,85,245,21,2
OH04103,STEUBENVILLE,JEFFERSON COUNTY,"17,979",49,"1,132",3,4,11,31,89,"1,021",22,6
OH04102,MINGO JUNCTION,JEFFERSON COUNTY,"3,278",4,12,,,1,3,6,6,,1
OH04104,TORONTO,JEFFERSON COUNTY,"4,814",14,20,,1,,13,4,15,1,
OH04105,WINTERSVILLE,JEFFERSON COUNTY,"3,750",2,68,,1,1,,8,58,2,
OH04106,YORKVILLE,JEFFERSON COUNTY,582,1,4,,,,1,1,3,,
OH04114,MOUNT PLEASANT,JEFFERSON COUNTY,447,,2,,,,,1,1,,
OH04120,TILTONSVILLE,JEFFERSON COUNTY,"1,302",,1,,,,,,1,,
OH04122,SALINE TOWNSHIP,JEFFERSON COUNTY,"1,265",,9,,,,,1,4,4,
OH04124,WELLS TOWNSHIP,JEFFERSON COUNTY,"2,671",,14,,,,,6,6,2,
OH04100,JEFFERSON COUNTY SHERIFF,JEFFERSON COUNTY,"21,314",3,17,,,,3,5,11,1,
OH04201,MOUNT VERNON,KNOX COUNTY,"16,553",22,621,1,6,,15,89,525,7,3
OH04203,DANVILLE,KNOX COUNTY,"1,004",1,33,,,,1,7,24,2,
OH04204,FREDERICKTOWN,KNOX COUNTY,"2,461",4,55,,,,4,12,43,,
OH04513,UTICA,KNOX COUNTY,20,,,,,,,,,,
OH04200,KNOX COUNTY SHERIFF,KNOX COUNTY,"40,890",56,384,2,26,1,27,108,276,,
OH04301,EASTLAKE,LAKE COUNTY,"18,056",14,330,1,2,5,6,38,282,10,1
OH04302,FAIRPORT HARBOR,LAKE COUNTY,"3,050",7,73,,1,1,5,14,57,2,2
OH04304,KIRTLAND HILLS,LAKE COUNTY,638,,,,,,,,,,
OH04306,MENTOR,LAKE COUNTY,"46,663",72,908,,11,17,44,105,780,23,6
OH04307,MENTOR-ON-THE-LAKE,LAKE COUNTY,"7,359",9,81,,,1,8,14,61,6,
OH04308,PAINESVILLE,LAKE COUNTY,"19,719",11,22,1,1,,9,7,13,2,
OH04310,WAITE HILL,LAKE COUNTY,449,1,,,,,1,,,,
OH04311,WICKLIFFE,LAKE COUNTY,"12,679",9,152,,,4,5,26,118,8,
OH04312,WILLOUGHBY,LAKE COUNTY,"22,857",34,440,,1,17,16,37,385,18,1
OH04318,MADISON TOWNSHIP,LAKE COUNTY,"15,380",4,67,,,,4,8,57,2,
OH04321,LAKELAND COMMUNITY,LAKE COUNTY,,,14,,,,,,14,,
OH04322,KIRTLAND,LAKE COUNTY,"6,759",1,18,,,,1,5,13,,
OH04300,LAKE COUNTY SHERIFF,LAKE COUNTY,"45,532",303,334,,29,45,229,61,269,4,1
OH04324,LAKE METROPARKS,LAKE COUNTY,,2,4,1,,,1,,4,,
OH02508,REYNOLDSBURG,Licking County,"9,137",25,256,,6,12,7,32,216,8,1
OH02521,NEW ALBANY,Licking County,168,,1,,,,,,1,,
OH04501,NEWARK,Licking County,"49,389",91,"1,628",1,47,14,29,331,"1,154",143,12
OH04503,GRANVILLE,Licking County,"5,787",,39,,,,,5,32,2,
OH04507,HEATH,Licking County,"10,681",23,598,,7,2,14,77,493,28,
OH04509,JOHNSTOWN,Licking County,"5,025",2,63,,1,,1,4,56,3,
OH04510,KIRKERSVILLE,Licking County,537,,2,,,,,,2,,
OH04513,UTICA,Licking County,"2,179",3,28,,,,3,7,20,1,
OH04500,LICKING COUNTY SHERIFF,Licking County,"65,171",60,983,4,19,12,25,291,613,79,1
OH04601,BELLEFONTAINE,Logan County,"13,144",14,331,,6,2,6,46,280,5,2
OH04602,RUSSELLS POINT,Logan County,"1,367",4,22,1,2,,1,3,19,,
OH04610,WEST LIBERTY,Logan County,"1,785",1,5,,,,1,1,3,1,
OH04600,LOGAN COUNTY SHERIFF,Logan County,"25,465",20,255,1,11,,8,68,177,10,3
OH04704,ELYRIA,Lorain County,"53,586",191,"1,146",3,39,64,85,248,842,56,12
OH02204,VERMILION,Lorain County,"5,778",2,54,,1,,1,8,45,1,
OH04701,AMHERST,Lorain County,"12,090",5,157,,,2,3,14,140,3,1
OH04703,AVON LAKE,Lorain County,"23,839",8,124,,,1,7,21,97,6,1
OH04705,LORAIN,Lorain County,"63,672",373,"2,019",2,30,87,254,590,"1,335",94,11
OH04706,OBERLIN,Lorain County,"8,321",13,171,,6,,7,33,136,2,1
OH04707,NORTH RIDGEVILLE,Lorain County,"33,586",17,140,1,7,2,7,47,89,4,
OH04708,SHEFFIELD LAKE,Lorain County,"8,983",7,115,,5,2,,23,84,8,
OH04710,GRAFTON,Lorain County,"6,182",1,40,,1,,,16,24,,
OH04700,LORAIN COUNTY SHERIFF,Lorain County,"61,609",55,563,,14,9,32,203,344,16,9
OH04807,TOLEDO,Lucas County,"277,116","2,829","11,095",35,180,780,"1,834","3,103","7,247",745,
OH02604,SWANTON,Lucas County,145,,1,,,,,,1,,
OH04801,MAUMEE,Lucas County,"13,809",5,305,,,3,2,31,265,9,
OH04802,OREGON,Lucas County,"19,991",36,779,1,10,8,17,75,682,22,1
OH04803,OTTAWA HILLS,Lucas County,"4,488",,50,,,,,11,35,4,
OH04805,SYLVANIA,Lucas County,"18,908",6,86,,3,,3,12,67,7,
OH04806,SYLVANIA TOWNSHIP,Lucas County,"29,536",39,688,,4,12,23,73,577,38,
OH04810,HOLLAND,Lucas County,"1,662",7,349,,1,4,2,10,335,4,3
OH04811,WATERVILLE,Lucas County,"5,518",1,25,,,,1,3,22,,
OH04812,WHITEHOUSE,Lucas County,"4,622",2,8,,,1,1,1,7,,
OH04813,UNIVERSITY OF TOLED,Lucas County,,7,185,,,5,2,5,177,3,
OH04815,WASHINGTON TOWNSHIP,Lucas County,"3,241",,2,,,,,1,1,,
OH04818,WATERVILLE TOWNSHIP,Lucas County,"1,655",,,,,,,,,,
OH04819,TOLEDO FIRE DEPARTMENT,Lucas County,,,,,,,,,,,111
OH04822,TOLEDO METRO PARK,Lucas County,,1,1,,,,1,,1,,
OH04800,LUCAS COUNTY SHERIFF,Lucas County,"51,193",90,991,,19,25,46,224,706,61,4
OH04901,LONDON,Madison County,"10,202",14,254,,2,2,10,52,189,13,1
OH04902,WEST JEFFERSON,Madison County,"4,347",2,58,,,,2,5,51,2,
OH04900,MADISON COUNTY SHERIFF,Madison County,"25,093",14,347,,4,2,8,102,224,21,3
OH05002,BOARDMAN,Mahoning County,"39,276",61,"1,482",,14,31,16,164,"1,289",29,6
OH05009,YOUNGSTOWN,Mahoning County,"63,878",447,"2,362",23,32,151,241,847,"1,283",232,82
OH01501,COLUMBIANA,Mahoning County,650,,4,,,,,,4,,
OH01506,SALEM,Mahoning County,4,,,,,,,,,,
OH01513,WASHINGTONVILLE,Mahoning County,335,,1,,,,,,1,,
OH05001,AUSTINTOWN,Mahoning County,"35,303",62,789,,9,14,39,109,659,21,1
OH05003,CAMPBELL,Mahoning County,"7,875",9,50,,,2,7,19,25,6,
OH05004,CANFIELD,Mahoning County,"7,246",3,46,,1,,2,10,36,,2
OH05005,LOWELLVILLE,Mahoning County,"1,097",,1,,,,,1,,,
OH05006,POLAND VILLAGE,Mahoning County,"2,444",,8,,,,,,6,2,1
OH05007,SEBRING,Mahoning County,"4,232",11,111,,4,,7,14,92,5,
OH05008,STRUTHERS,Mahoning County,"10,228",15,216,,1,4,10,58,148,10,
OH05011,CRAIG BEACH,Mahoning County,"1,129",1,6,,1,,,1,4,1,
OH05012,NEW MIDDLETOWN,Mahoning County,"1,553",,15,,,,,4,9,2,
OH05013,BEAVER TOWNSHIP,Mahoning County,"6,427",2,102,,1,,1,23,74,5,1
OH05016,SPRINGFIELD TOWNSHIP,Mahoning County,"6,374",7,55,,2,,5,17,34,4,1
OH05018,GOSHEN TOWNSHIP,Mahoning County,"3,072",3,55,,2,,1,6,44,5,1
OH05020,MILTON TOWNSHIP,Mahoning County,"2,445",2,36,,1,1,,7,27,2,1
OH05021,JACKSON TOWNSHIP,Mahoning County,"2,018",2,32,,,,2,14,18,,
OH05022,POLAND TOWNSHIP,Mahoning County,"11,921",3,53,,1,1,1,14,39,,
OH05023,COITSVILLE TOWNSHIP,Mahoning County,"1,326",3,44,,1,,2,16,24,4,
OH07601,ALLIANCE,Mahoning County,35,,1,,,,,,1,,
OH05000,MAHONING COUNTY SHERIFF,Mahoning County,"16,141",4,67,,,,4,19,40,8,
OH05201,BRUNSWICK,Medina County,"34,838",21,194,1,2,4,14,22,161,11,
OH05202,MEDINA,Medina County,"26,199",17,324,1,5,5,6,55,269,,
OH05203,WADSWORTH,Medina County,"23,388",24,333,,4,1,19,28,301,4,1
OH05207,WESTFIELD CENTER,Medina County,"1,164",,1,,,,,1,,,
OH05210,SPENCER,Medina County,777,2,6,,1,,1,1,5,,
OH05212,HINCKLEY TOWNSHIP,Medina County,"7,970",1,17,,,,1,3,13,1,
OH05213,MONTVILLE TOWNSHIP,Medina County,"11,718",,61,,,,,15,46,,
OH05214,MEDINA TOWNSHIP,Medina County,"8,940",5,109,,1,,4,3,101,5,
OH05215,BRUNSWICK HILLS TOWNSHIP,Medina County,"10,309",2,40,,1,,1,11,27,2,
OH08502,RITTMAN,Medina County,114,,2,,,,,1,1,,
OH08507,CRESTON,Medina County,91,,1,,,,,,1,,
OH05200,MEDINA COUNTY SHERIFF,Medina County,"47,744",,89,,,,,28,61,,
OH05404,COLDWATER,Mercer County,"4,519",3,53,,3,,,6,47,,
OH05405,FORT RECOVERY,Mercer County,"1,436",1,12,,,,1,3,8,1,
OH05408,ROCKFORD,Mercer County,"1,099",,4,,,,,,4,,
OH05409,ST. HENRY,Mercer County,"2,527",1,8,,,,1,1,7,,
OH05400,MERCER COUNTY SHERIFF,Mercer County,"21,146",5,106,,3,,2,15,87,4,
OH05502,PIQUA,Miami County,"20,973",54,819,1,33,11,9,120,681,18,2
OH05503,TIPP CITY,Miami County,"9,957",4,140,,4,,,11,119,10,4
OH05504,TROY,Miami County,"25,865",38,502,1,20,6,11,60,434,8,
OH05506,COVINGTON,Miami County,"2,637",3,16,,,,3,2,14,,
OH05714,HUBER HEIGHTS,Miami County,995,2,24,,,1,1,3,20,1,
OH05500,MIAMI COUNTY SHERIFF,Miami County,"40,126",25,390,,14,1,10,101,262,27,1
OH05702,DAYTON,Montgomery County,"140,171","1,232","6,083",30,122,393,687,"1,779","3,688",616,26
OH05701,CENTERVILLE,Montgomery County,"23,780",14,373,,2,4,8,30,327,16,
OH05703,GERMANTOWN,Montgomery County,"5,477",4,68,,2,1,1,15,49,4,
OH05705,KETTERING,Montgomery County,"54,681",70,852,,23,26,21,190,610,52,3
OH05707,MIAMI TOWNSHIP,Montgomery County,"28,996",28,953,,5,6,17,71,839,43,2
OH05708,MIAMISBURG,Montgomery County,"19,928",14,257,,4,2,8,46,204,7,3
OH05709,MORAINE,Montgomery County,"6,360",27,541,,8,10,9,60,456,25,4
OH05711,CLAYTON,Montgomery County,"13,149",5,118,,,4,1,17,92,9,
OH05712,TROTWOOD,Montgomery County,"24,308",69,891,3,15,35,16,257,489,145,6
OH05713,VANDALIA,Montgomery County,"15,022",26,310,,10,11,5,66,219,25,2
OH05714,HUBER HEIGHTS,Montgomery County,"37,001",75,927,,15,20,40,114,762,51,5
OH05715,WEST CARROLLTON,Montgomery County,"12,898",23,285,1,5,11,6,66,198,21,4
OH05716,BROOKVILLE,Montgomery County,"5,896",6,67,,3,3,,15,47,5,
OH05718,ENGLEWOOD,Montgomery County,"13,504",19,443,,1,7,11,8,423,12,5
OH05720,NEW LEBANON,Montgomery County,"3,966",10,95,,2,4,4,22,70,3,1
OH05722,RIVERSIDE,Montgomery County,"24,939",22,270,,8,7,7,27,131,112,8
OH05724,BUTLER TOWNSHIP,Montgomery County,"7,799",24,425,,5,9,10,29,372,24,2
OH05725,GERMAN TOWNSHIP,Montgomery County,"2,876",2,20,,,,2,7,11,2,
OH05727,JACKSON TOWNSHIP,Montgomery County,"3,658",1,13,,,,1,4,8,1,
OH05728,PERRY TOWNSHIP,Montgomery County,"3,322",,3,,,,,2,1,,
OH05729,CLAY TOWNSHIP,Montgomery County,"4,193",8,22,,3,,5,7,14,1,
OH05733,SINCLAIR COMMUNITY COLLEGE,Montgomery County,,1,39,,,1,,11,28,,
OH08308,CARLISLE,Montgomery County,201,,1,,,,,,1,,
OH08314,SPRINGBORO,Montgomery County,"1,273",,8,,,,,1,7,,
OH05700,MONTGOMERY COUNTY SHERIFF,Montgomery County,"62,832",237,"1,278",2,36,96,103,360,693,225,19
OH06001,ZANESVILLE,Muskingum County,"25,457",100,"1,157",,19,21,60,203,897,57,16
OH06003,DRESDEN,Muskingum County,"1,707",,5,,,,,1,4,,
OH06004,FRAZEYSBURG,Muskingum County,"1,294",1,9,,,,1,4,5,,
OH06006,NEW CONCORD,Muskingum County,"2,337",,7,,,,,,7,,
OH06009,ROSEVILLE,Muskingum County,763,1,10,,1,,,2,6,2,
OH06010,SOUTH ZANESVILLE,Muskingum County,"1,970",1,34,,,,1,4,29,1,
OH06013,MUSKINGUM UNIVERSITY,Muskingum County,,1,4,,,,1,1,3,,
OH06000,MUSKINGUM COUNTY SHERIFF,Muskingum County,"52,740",59,903,,38,10,11,233,610,60,4
OH06201,OAK HARBOR,Ottawa County,"2,731",1,36,,1,,,8,28,,
OH06202,PORT CLINTON,Ottawa County,"5,928",21,170,,12,3,6,31,126,13,
OH06205,GENOA,Ottawa County,"2,276",1,7,,,,1,2,5,,1
OH06207,PUT-IN-BAY,Ottawa County,135,,1,,,,,,,1,
OH06213,CATAWBA ISLAND TOWNSHIP,Ottawa County,"3,504",1,4,,,,1,1,2,1,
OH06214,CARROLL TOWNSHIP,Ottawa County,"2,085",2,17,1,,,1,3,14,,
OH06200,OTTAWA COUNTY SHERIFF,Ottawa County,"19,687",4,217,,4,,,43,166,8,
OH06310,PAYNE,Paulding County,"1,147",1,8,,1,,,2,6,,
OH06300,PAULDING COUNTY SHERIFF,Paulding County,"13,223",8,98,,2,1,5,32,66,,2
OH06009,ROSEVILLE,Perry County,"1,083",3,12,,1,1,1,2,8,2,
OH06401,CROOKSVILLE,Perry County,"2,491",,,,,,,,,,
OH06402,NEW LEXINGTON,Perry County,"4,716",11,134,,6,1,4,14,112,8,1
OH06403,NEW STRAITSVILLE,Perry County,709,,1,,,,,,1,,
OH06407,JUNCTION CITY,Perry County,803,1,6,,,,1,2,4,,
OH06410,SHAWNEE,Perry County,641,,1,,,,,,,1,
OH06411,SOMERSET,Perry County,"1,460",,4,,,,,1,3,,
OH06412,THORNVILLE,Perry County,997,,3,,,,,1,2,,
OH06400,PERRY COUNTY SHERIFF,Perry County,"22,534",12,72,,5,3,4,24,47,1,1
OH06501,CIRCLEVILLE,Pickaway County,"13,972",57,714,,13,21,23,136,550,28,4
OH06502,ASHVILLE,Pickaway County,"4,211",3,53,1,,1,1,9,40,4,
OH06503,COMMERCIAL POINT,Pickaway County,"1,617",,21,,,,,6,14,1,
OH06508,SOUTH BLOOMFIELD,Pickaway County,"1,884",,39,,,,,2,34,3,
OH06500,PICKAWAY COUNTY SHERIFF,Pickaway County,"35,609",24,656,,6,5,13,182,449,25,5
OH06701,AURORA,Portage County,"15,932",3,187,,,1,2,17,168,2,
OH06702,GARRETTSVILLE,Portage County,"2,321",,20,,,,,1,17,2,
OH06703,KENT,Portage County,"30,270",44,451,,1,11,32,75,359,17,1
OH06706,WINDHAM,Portage County,"2,199",4,36,,,,4,10,24,2,
OH06707,BRADY LAKE,Portage County,460,,,,,,,,,,
OH06708,HIRAM,Portage County,"1,164",3,,,1,,2,,,,
OH06711,KENT STATE UNIVERSITY,Portage County,,3,167,,,,3,2,164,1,
OH06712,STREETSBORO,Portage County,"16,308",11,343,,2,5,4,24,309,10,
OH06713,BRIMFIELD TOWNSHIP,Portage County,"10,348",7,291,,1,2,4,28,254,9,
OH06714,UNV HOSP PORTAGE ME,Portage County,,,1,,,,,,1,,
OH07708,MOGADORE,Portage County,"1,002",,12,,,,,3,9,,
OH07713,TALLMADGE,Portage County,287,,5,,,,,1,4,,
OH06700,PORTAGE COUNTY SHERIFF,Portage County,"70,629",62,"1,029",,10,6,46,255,730,44,8
OH06802,CAMDEN,Preble County,"1,951",,2,,,,,,2,,
OH06805,GRATIS,Preble County,855,,8,,,,,1,6,1,
OH06809,WEST ALEXANDRIA,Preble County,"1,339",1,13,,1,,,4,9,,
OH06800,PREBLE COUNTY SHERIFF,Preble County,"27,117",24,243,2,6,,16,69,149,25,
OH06901,OTTAWA,Putnam County,"4,394",6,14,,2,,4,,13,1,
OH06904,COLUMBUS GROVE,Putnam County,"2,077",,1,,,,,,1,,
OH06911,LEIPSIC,Putnam County,"2,022",1,12,,,,1,4,8,,
OH06913,OTTOVILLE,Putnam County,975,,,,,,,,,,
OH06914,PANDORA,Putnam County,"1,146",,3,,,,,1,2,,
OH06916,KALIDA,Putnam County,"1,569",1,,,,,1,,,,
OH06900,PUTNAM COUNTY SHERIFF,Putnam County,"20,451",6,88,1,4,,1,30,56,2,1
OH07001,MANSFIELD,Richland County,"46,507",248,"2,392",7,45,75,121,569,"1,745",78,19
OH01702,CRESTLINE,Richland County,18,,,,,,,,,,
OH07002,ONTARIO,Richland County,"6,058",8,328,,,7,1,7,320,1,
OH07003,PLYMOUTH,Richland County,912,,2,,,,,,1,1,
OH07004,SHELBY,Richland County,"8,987",11,262,,9,,2,54,205,3,1
OH07005,BELLVILLE,Richland County,"1,864",,18,,,,,2,15,1,
OH07007,LEXINGTON,Richland County,"4,686",,9,,,,,1,8,,1
OH07000,RICHLAND COUNTY SHERIFF,Richland County,"50,986",57,958,,15,15,27,264,649,45,3
OH07101,CHILLICOTHE,Ross County,"21,695",93,"1,496",,14,28,51,284,"1,160",52,6
OH07100,ROSS COUNTY SHERIFF,Ross County,"55,325",104,"1,290",,39,8,57,358,824,108,16
OH07202,CLYDE,Sandusky County,"6,191",4,116,,,,4,21,92,3,1
OH07203,FREMONT,Sandusky County,"16,241",31,866,1,2,12,16,151,699,16,
OH07200,SANDUSKY COUNTY SHERIFF,Sandusky County,"27,107",41,70,,,,41,17,52,1,
OH07210,SANDUSKY COUNTY PARK,Sandusky County,,,,,,,,,,,
OH07301,NEW BOSTON,Scioto County,"2,134",7,216,,,3,4,29,176,11,
OH07302,PORTSMOUTH,Scioto County,"20,451",118,"1,235",4,22,34,58,275,891,69,2
OH07309,SHAWNEE STATE UNIVERSITY,Scioto County,,2,19,,,1,1,4,15,,
OH07300,SCIOTO COUNTY SHERIFF,Scioto County,"53,141",49,803,,20,7,22,246,506,51,7
OH07402,TIFFIN,Seneca County,"17,481",18,390,,2,4,12,55,331,4,1
OH07400,SENECA COUNTY SHERIFF,Seneca County,"24,732",51,240,2,5,44,,89,151,,
OH07501,SIDNEY,Shelby County,"20,466",42,822,3,24,9,6,162,641,19,6
OH07504,FORT LORAMIE,Shelby County,"1,500",,2,,,,,,1,1,
OH07500,SHELBY COUNTY SHERIFF,Shelby County,"23,719",22,131,1,4,1,16,31,95,5,1
OH07604,CANTON,Stark County,"71,031",836,"3,766",16,97,188,535,"1,008","2,512",246,12
OH07608,MASSILLON,Stark County,"32,265",52,401,,14,11,27,69,326,6,6
OH07601,ALLIANCE,Stark County,"21,803",75,799,,14,11,50,109,649,41,6
OH07602,BREWSTER,Stark County,"2,154",,14,,,,,2,12,,1
OH07603,CANAL FULTON,Stark County,"5,428",2,75,,1,,1,26,47,2,
OH07605,EAST CANTON,Stark County,"1,589",,10,,,,,,10,,
OH07606,HARTVILLE,Stark County,"3,030",2,78,,,,2,1,77,,1
OH07607,LOUISVILLE,Stark County,"9,373",2,123,,,,2,22,98,3,1
OH07609,MINERVA,Stark County,"1,931",1,20,,,,1,4,14,2,
OH07610,NAVARRE,Stark County,"1,901",1,22,,,,1,3,18,1,
OH07611,NORTH CANTON,Stark County,"17,348",12,281,,4,3,5,41,232,8,
OH07612,BEACH CITY,Stark County,989,,6,,,,,1,4,1,
OH07622,LAWRENCE TOWNSHIP,Stark County,"8,273",9,85,2,2,,5,31,48,6,
OH07624,JACKSON TOWNSHIP,Stark County,"40,624",58,"1,101",1,14,24,19,120,963,18,7
OH07625,UNIONTOWN,Stark County,"3,340",3,80,,2,,1,16,58,6,
OH07630,MAGNOLIA,Stark County,714,1,13,,1,,,2,10,1,
OH07600,STARK COUNTY SHERIFF,Stark County,"118,577",122,"1,795",4,34,27,57,449,"1,233",113,7
OH07701,AKRON,Summit County,"197,412","1,377","8,360",42,209,395,731,"2,301","5,304",755,103
OH07702,BARBERTON,Summit County,"26,050",103,881,1,19,14,69,158,682,41,8
OH07703,CUYAHOGA FALLS,Summit County,"49,145",49,"1,209",2,18,8,21,143,"1,027",39,1
OH07705,HUDSON,Summit County,"22,248",12,114,,2,1,9,36,76,2,4
OH07706,LAKEMORE,Summit County,"3,059",5,31,,,1,4,2,27,2,
OH07707,MACEDONIA,Summit County,"12,027",5,206,,1,1,3,14,189,3,1
OH07708,MOGADORE,Summit County,"2,827",,37,,,,,9,27,1,
OH07709,NORTHFIELD,Summit County,"3,669",5,39,,,1,4,4,32,3,
OH07710,NORTON,Summit County,"11,994",9,186,,4,,5,38,137,11,1
OH07712,STOW,Summit County,"34,692",32,690,1,19,6,6,102,584,4,
OH07713,TALLMADGE,Summit County,"17,242",18,329,,6,8,4,54,263,12,5
OH07714,TWINSBURG,Summit County,"18,891",18,111,2,,4,12,9,99,3,
OH07717,MUNROE FALLS,Summit County,"5,051",1,39,,,,1,7,32,,
OH07718,PENINSULA,Summit County,563,,22,,,,,2,19,1,
OH07719,REMINDERVILLE,Summit County,"4,235",2,30,,1,1,,3,26,1,
OH07720,BATH TOWNSHIP,Summit County,"9,678",9,116,,2,3,4,14,100,2,
OH07725,SPRINGFIELD TOWNSHI,Summit County,"14,434",32,781,,8,11,13,108,645,28,4
OH07727,COPLEY TOWNSHIP,Summit County,"17,280",15,163,1,1,2,11,24,133,6,
OH07728,UNIVERSITY OF AKRON,Summit County,,6,183,,5,,1,5,171,7,
OH07729,NEW FRANKLIN,Summit County,"14,137",15,117,,3,2,10,29,84,4,
OH07730,SAGAMORE HILLS,Summit County,"10,951",,35,,,,,7,27,1,
OH07700,SUMMIT COUNTY SHERIFF,Summit County,"51,006",59,"1,105",2,22,11,24,195,852,58,7
OH05009,YOUNGSTOWN,Trumbull County,11,,,,,,,,,,
OH07807,WARREN,Trumbull County,"39,643",227,"1,608",11,32,101,83,494,"1,008",106,2
OH07802,HUBBARD,Trumbull County,"7,533",8,110,,3,,5,10,99,1,2
OH07803,LIBERTY TOWNSHIP,Trumbull County,"11,556",30,148,,2,5,23,32,102,14,
OH07805,NEWTON FALLS,Trumbull County,"4,567",10,100,,4,,6,18,76,6,
OH07806,NILES,Trumbull County,"18,334",55,536,,8,12,35,95,424,17,
OH07808,CORTLAND,Trumbull County,"6,844",1,46,,,1,,6,39,1,
OH07810,WEST FARMINGTON,Trumbull County,480,,1,,,,,1,,,
OH07812,HOWLAND TOWNSHIP,Trumbull County,"16,608",14,383,,1,7,6,44,319,20,
OH07814,LORDSTOWN,Trumbull County,"3,242",3,44,,1,,2,10,31,3,1
OH07815,BAZETTA TOWNSHIP,Trumbull County,"5,614",6,127,,1,,5,18,109,,
OH07816,HUBBARD TOWNSHIP,Trumbull County,"5,372",7,93,,3,1,3,21,65,7,
OH07819,HARTFORD TOWNSHIP,Trumbull County,"1,978",,9,,,,,3,5,1,
OH07821,WARREN TOWNSHIP,Trumbull County,"5,255",21,172,,1,3,17,52,106,14,
OH07823,WEATHERSFIELD,Trumbull County,"7,962",6,33,1,3,1,1,4,26,3,1
OH07800,TRUMBULL COUNTY SHERIFF,Trumbull County,"26,945",24,318,1,6,3,14,136,153,29,2
OH07901,DENNISON,Tuscarawas County,"2,625",2,7,,,,2,,6,1,1
OH07902,DOVER,Tuscarawas County,"12,839",9,122,,2,1,6,27,90,5,
OH07903,NEWCOMERSTOWN,Tuscarawas County,"3,767",3,69,1,,1,1,13,50,6,
OH07904,NEW PHILADELPHIA,Tuscarawas County,"17,492",9,139,,,2,7,15,120,4,
OH07906,UHRICHSVILLE,Tuscarawas County,"5,372",5,48,,3,1,1,7,30,11,
OH07909,BOLIVAR,Tuscarawas County,986,,1,,,,,,1,,
OH07910,GNADENHUTTEN,Tuscarawas County,"1,282",,2,,,,,,2,,
OH07914,PORT WASHINGTON,Tuscarawas County,566,,2,,,,,1,1,,
OH07918,STRASBURG,Tuscarawas County,"2,689",1,23,,,1,,5,18,,
OH07919,TUSCARAWAS,Tuscarawas County,"1,055",,2,,,,,,2,,
OH07921,MUSKINGUM WATERSHED,Tuscarawas County,,6,41,,1,,5,4,37,,
OH07900,TUSCARAWAS COUNTY SHERIFF,Tuscarawas County,"41,002",22,234,1,8,3,10,66,150,18,2
OH02503,DUBLIN,Union County,"2,510",1,29,,1,,,3,25,1,
OH08001,MARYSVILLE,Union County,"23,622",17,290,1,4,3,9,27,255,8,1
OH08000,UNION COUNTY SHERIFF,Union County,"26,823",24,221,,5,,19,44,158,19,1
OH00202,DELPHOS,Van Wert County,"3,052",3,69,,3,,,13,56,,
OH08101,VAN WERT,Van Wert County,"10,713",22,330,1,7,3,11,56,268,6,
OH08100,VAN WERT COUNTY SHERIFF,Van Wert County,"14,621",17,109,,5,,12,35,70,4,
OH00903,MIDDLETOWN,Warren County,"2,759",14,168,,2,5,7,39,119,10,
OH00905,MONROE,Warren County,144,,3,,,,,,3,,
OH03120,LOVELAND,Warren County,823,,7,,,,,2,5,,
OH08301,FRANKLIN,Warren County,"11,779",31,443,1,6,13,11,70,359,14,1
OH08302,HARVEYSBURG,Warren County,557,,,,,,,,,,
OH08303,LEBANON,Warren County,"20,741",4,116,,,1,3,12,101,3,2
OH08304,MASON,Warren County,"33,406",12,357,,5,3,4,31,321,5,
OH08308,CARLISLE,Warren County,"5,194",3,43,,1,,2,11,32,,
OH08310,HAMILTON TOWNSHIP,Warren County,"22,916",3,59,,1,,2,6,52,1,
OH08311,MAINEVILLE,Warren County,"1,070",,1,,,,,1,,,
OH08314,SPRINGBORO,Warren County,"17,359",10,114,,5,,5,14,98,2,
OH08316,CLEARCREEK TOWNSHIP,Warren County,"15,531",11,74,1,2,,8,8,63,3,
OH08300,WARREN COUNTY SHERIFF,Warren County,"94,645",60,888,1,15,10,34,129,679,80,3
OH08401,BELPRE,Washington County,"6,466",2,76,,,,2,15,56,5,
OH08402,MARIETTA,Washington County,"13,582",23,250,,11,2,10,37,197,16,2
