County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,12*,OH03131,SHARONVILLE,"2,351",3,84,,1,1,1
#N/A,#N/A,12,OH00900,BUTLER COUNTY SHERIFF,"75,916",423,"1,024",1,3,6,413
#N/A,#N/A,6,OH00919,BUTLER COUNTY METROPARK,,,7,,,,
#N/A,#N/A,,,,,,,,,,
Carroll County,Carrollton,5,OH01001,CARROLLTON,"3,214",3,,,,,3
#N/A,#N/A,03*,OH07609,MINERVA,"1,759",,2,,,,
#N/A,#N/A,03*,OH07630,MAGNOLIA,265,,,,,,
#N/A,#N/A,12,OH01000,CARROLL COUNTY SHERIFF,"23,339",48,282,,1,1,46
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH01101,MECHANICSBURG,"1,617",3,20,,,,3
#N/A,#N/A,12,OH01102,URBANA,"11,599",21,386,,5,5,11
#N/A,#N/A,12,OH01106,ST. PARIS,"2,050",2,26,,1,1,
#N/A,#N/A,12,OH01100,CHAMPAIGN COUNTY SHERIFF,"24,237",17,352,,6,,11
#N/A,#N/A,,,,,,,,,,
Clark County,Springfield,12,OH01202,SPRINGFIELD,"60,012",427,"4,463",6,46,208,167
Clark County,Enon,5,OH01206,ENON,"2,421",2,4,,,,2
Clark County,South Charleston,12,OH01209,SOUTH CHARLESTON,"1,675",,28,,,,
#N/A,#N/A,2,OH01210,TREMONT CITY,372,,1,,,,
Clark County,South Vienna,10,OH01211,SOUTH VIENNA,381,,16,,,,
#N/A,#N/A,12,OH01213,GERMAN TOWNSHIP,"7,006",3,132,,,3,
#N/A,#N/A,12,OH01200,CLARK COUNTY SHERIFF,"64,985",44,"1,345",,10,9,25
#N/A,#N/A,,,,,,,,,,
Clermont County,Batavia,12,OH01301,BATAVIA,"1,633",2,65,,,2,
Clermont County,Bethel,12,OH01302,BETHEL,"2,737",2,59,,,,2
Clermont County,Milford,12*,OH01303,MILFORD,"6,642",6,350,,,1,5
Clermont County,Amelia,12,OH01304,AMELIA,"4,870",1,36,,,1,
Clermont County,Felicity,1,OH01306,FELICITY,822,,1,,,,
Clermont County,New Richmond,5,OH01310,NEW RICHMOND,"2,603",,8,,,,
Clermont County,Williamsburg,12,OH01313,WILLIAMSBURG,"2,514",6,82,,,3,3
Clermont County,Goshen,11,OH01314,GOSHEN TOWNSHIP,"15,620",3,49,,2,,1
#N/A,#N/A,12,OH01315,MIAMI TOWNSHIP,"41,389",21,757,1,2,8,10
#N/A,#N/A,12,OH01316,UNION TOWNSHIP,"47,066",56,"1,692",,5,17,34
#N/A,#N/A,12,OH01317,PIERCE TOWNSHIP,"11,360",4,327,,2,2,
Clermont County,Loveland,12*,OH03120,LOVELAND,"1,959",1,20,,1,,
#N/A,#N/A,12,OH01300,CLERMONT COUNTY SHERIFF,"59,535",86,"1,860",1,17,4,64
#N/A,#N/A,,,,,,,,,,
Clinton County,Blanchester,12,OH01401,BLANCHESTER,"4,230",1,58,,,1,
Clinton County,New Vienna,6,OH01402,NEW VIENNA,"1,210",,9,,,,
Clinton County,Sabina,12,OH01403,SABINA,"2,546",2,78,,1,1,
