,County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
126,Cuyahoga County,Cleveland Heights,CLEVELAND HEIGHTS,"44,696",145,997,3,9,80,53,118,781,98,3
128,Cuyahoga County,Euclid,EUCLID,"47,416",275,"1,329",8,17,107,143,343,804,182,5
129,Cuyahoga County,Fairview Park,FAIRVIEW PARK,"16,318",32,227,0,0,6,26,35,183,9,0
130,Cuyahoga County,Garfield Heights,GARFIELD HEIGHTS,"27,938",37,190,0,7,17,13,74,116,0,2
134,Cuyahoga County,Lakewood,LAKEWOOD,"50,349",63,876,3,8,32,20,144,665,67,4
135,Cuyahoga County,Lyndhurst,LYNDHURST,"13,624",14,194,0,5,6,3,19,169,6,2
138,Cuyahoga County,North Olmsted,NORTH OLMSTED,"31,851",26,619,1,6,13,6,69,512,38,0
140,Cuyahoga County,Olmsted Falls,OLMSTED FALLS,"8,859",3,30,0,0,0,3,11,17,2,0
141,Cuyahoga County,Parma,PARMA,"79,576",108,"1,102",0,26,43,39,271,712,119,11
143,Cuyahoga County,Richmond Heights,RICHMOND HEIGHTS,"10,445",27,249,0,2,15,10,56,165,28,0
144,Cuyahoga County,Rocky River,ROCKY RIVER,"20,400",7,81,0,1,0,6,15,62,4,0
145,Cuyahoga County,Seven Hills,SEVEN HILLS,"11,661",4,64,0,1,1,2,16,46,2,0
146,Cuyahoga County,Solon,SOLON,"22,971",11,175,1,5,1,4,15,154,6,1
147,Cuyahoga County,South Euclid,SOUTH EUCLID,"21,686",35,570,0,4,23,8,57,474,39,0
148,Cuyahoga County,Strongsville,STRONGSVILLE,"44,626",19,882,0,0,14,5,65,797,20,1
152,Cuyahoga County,Westlake,WESTLAKE,"32,353",14,461,0,0,5,9,37,403,21,3
161,Defiance County,Defiance,DEFIANCE,"16,697",25,341,0,16,1,8,42,291,8,3
165,Delaware County,Ostrander,OSTRANDER,697,1,0,0,0,0,1,0,0,0,0
166,Delaware County,Powell,POWELL,"13,273",0,106,0,0,0,0,24,80,2,0
172,Erie County,Sandusky,SANDUSKY,"25,078",45,911,1,6,19,19,199,680,32,3
175,Erie County,Milan,MILAN,984,1,19,0,1,0,0,4,15,0,0
181,Fairfield County,Lancaster,LANCASTER,"39,959",141,"1,826",0,30,46,65,271,"1,499",56,6
182,Fairfield County,Baltimore,BALTIMORE,"2,970",1,25,0,0,0,1,7,16,2,0
183,Fairfield County,Carroll,CARROLL,519,0,6,0,0,0,0,0,6,0,0
184,Fairfield County,Lithopolis,LITHOPOLIS,"1,350",0,13,0,0,0,0,3,10,0,0
186,Fairfield County,Pickerington,PICKERINGTON,"19,964",16,428,0,0,10,6,42,380,6,0
189,Fayette County,Washington Court House,WASHINGTON COURT HOUSE,"13,986",37,612,0,9,9,19,137,459,16,2
191,Franklin County,Columbus,COLUMBUS,"844,206","4,405","34,368",89,849,"2,099","1,368","7,593","23,300","3,475",396
195,Franklin County,Bexley,BEXLEY,"13,775",26,359,0,12,13,1,99,242,18,0
196,Franklin County,Dublin,DUBLIN,"38,892",20,438,0,8,5,7,82,344,12,2
197,Franklin County,Gahanna,GAHANNA,"34,859",20,789,0,10,6,4,99,660,30,2
198,Franklin County,Grandview Heights,GRANDVIEW HEIGHTS,"7,502",1,144,0,0,1,0,43,95,6,0
199,Franklin County,Grove City,GROVE CITY,"40,161",43,"1,678",2,7,26,8,144,"1,476",58,4
200,Franklin County,Hilliard,HILLIARD,"34,832",33,344,0,11,9,13,67,253,24,0
201,Franklin County,Reynoldsburg,REYNOLDSBURG,"27,474",61,987,5,6,26,24,115,833,39,5
202,Franklin County,Upper Arlington,UPPER ARLINGTON,"35,150",16,535,1,4,8,3,67,449,19,1
203,Franklin County,Westerville,WESTERVILLE,"30,397",16,733,0,5,7,4,59,661,13,4
204,Franklin County,Whitehall,WHITEHALL,"18,804",153,"1,163",2,25,74,52,299,794,70,9
205,Franklin County,Worthington,WORTHINGTON,"14,689",5,233,0,0,4,1,28,195,10,2
207,Franklin County,Groveport,GROVEPORT,"5,813",5,178,0,2,1,2,19,149,10,2
210,Franklin County,New Albany,NEW ALBANY,"10,210",5,168,0,2,1,2,16,142,10,0
218,Fulton County,Archbold,ARCHBOLD,"4,342",4,58,0,0,0,4,12,46,0,1
219,Fulton County,Fayette,FAYETTE,"1,266",6,10,0,5,0,1,6,4,0,0
220,Fulton County,Swanton,SWANTON,"3,754",3,27,0,2,0,1,4,23,0,0
221,Fulton County,Wauseon,WAUSEON,"7,311",7,197,0,3,1,3,13,183,1,0
227,Geauga County,Chardon,CHARDON,"5,162",7,66,0,0,0,7,3,63,0,0
228,Geauga County,Burton,BURTON,"1,463",0,3,0,0,0,0,1,2,0,0
229,Geauga County,Middlefield,MIDDLEFIELD,"2,694",0,44,0,0,0,0,1,43,0,0
232,Geauga County,Chesterland,CHESTER TOWNSHIP,"10,371",0,18,0,0,0,0,3,15,0,0
235,Greene County,Xenia,XENIA,"26,037",53,821,1,13,11,28,134,665,22,6
236,Greene County,Yellow Springs,YELLOW SPRINGS,"3,857",2,79,0,0,1,1,18,59,2,0
237,Greene County,Bellbrook,BELLBROOK,"7,074",3,57,0,2,0,1,4,51,2,0
238,Greene County,Jamestown,JAMESTOWN,"2,034",1,72,0,0,0,1,28,42,2,0
239,Greene County,Beavercreek,BEAVERCREEK,"46,490",32,"1,065",0,14,13,5,64,969,32,2
246,Guernsey County,Cambridge,CAMBRIDGE,"10,341",14,484,1,0,3,10,83,388,13,0
247,Guernsey County,Byesville,BYESVILLE,"2,363",0,8,0,0,0,0,0,8,0,1
248,Guernsey County,Senecaville,SENECAVILLE,443,0,0,0,0,0,0,0,0,0,0
249,Hamilton County,Cincinnati,CINCINNATI,"298,880","2,720","15,382",57,249,"1,278","1,136","3,929","10,216","1,237",485
252,Hamilton County,Blue Ash,BLUE ASH,"12,169",11,320,0,4,4,3,41,273,6,3
254,Hamilton County,Deer Park,DEER PARK,"5,672",9,74,0,1,4,4,9,63,2,0
259,Hamilton County,Forest Park,FOREST PARK,"18,669",47,633,0,9,21,17,157,449,27,2
261,Hamilton County,Greenhills,GREENHILLS,"3,589",1,36,0,1,0,0,8,27,1,1
262,Hamilton County,Harrison,HARRISON,"10,819",0,306,0,0,0,0,15,282,9,0
267,Hamilton County,Montgomery,MONTGOMERY,"10,558",4,148,0,0,0,4,14,130,4,0
271,Hamilton County,Norwood,NORWOOD,"20,065",52,"1,013",0,12,28,12,166,798,49,2
272,Hamilton County,Springdale,SPRINGDALE,"11,175",7,118,0,0,3,4,16,95,7,1
283,Hancock County,Findlay,FINDLAY,"41,156",53,630,3,15,9,26,104,515,11,1
296,Highland County,Greenfield,GREENFIELD,"4,559",6,102,0,1,1,4,20,72,10,1
297,Highland County,Hillsboro,HILLSBORO,"6,547",8,203,1,2,1,4,33,166,4,0
298,Highland County,Leesburg,VILLAGE OF LEESBURG,"1,289",0,46,0,0,0,0,9,37,0,0
299,Highland County,Lynchburg,LYNCHBURG,"1,482",4,20,0,3,0,1,8,12,0,0
302,Hocking County,Logan,LOGAN,"7,106",15,243,0,6,1,8,38,200,5,2
317,Jefferson County,Steubenville,STEUBENVILLE,"18,137",60,"1,085",2,4,22,32,132,945,8,0
328,Knox County,Mount Vernon,MOUNT VERNON,"16,685",17,680,0,6,2,9,87,592,1,1
330,Knox County,Fredericktown,FREDERICKTOWN,"2,486",6,41,0,2,0,4,11,29,1,0
333,Lake County,Eastlake,EASTLAKE,"18,166",10,443,1,0,3,6,54,375,14,1
336,Lake County,Mentor,MENTOR,"46,852",51,"1,034",0,10,11,30,105,899,30,6
338,Lake County,Painesville,PAINESVILLE,"19,827",8,9,0,0,1,7,3,5,1,0
340,Lake County,Wickliffe,WICKLIFFE,"12,506",17,233,0,0,9,8,41,178,14,0
341,Lake County,Willoughby,WILLOUGHBY,"22,701",45,478,1,8,21,15,62,394,22,1
358,Logan County,Bellefontaine,BELLEFONTAINE,"13,073",23,404,0,8,2,13,59,342,3,1
359,Logan County,Russells Point,RUSSELLS POINT,"1,355",0,26,0,0,0,0,6,19,1,0
360,Logan County,De Graff,DE GRAFF,"1,259",0,0,0,0,0,0,0,0,0,0
361,Logan County,West Liberty,WEST LIBERTY,"1,769",3,21,0,0,0,3,8,13,0,0
363,Lorain County,Elyria,ELYRIA,"53,633",161,"1,483",4,26,71,60,344,"1,042",97,8
364,Lorain County,Vermilion,VERMILION,"5,783",2,60,0,0,0,2,8,50,2,0
365,Lorain County,Amherst,AMHERST,"12,156",7,188,0,1,3,3,21,164,3,0
366,Lorain County,Avon Lake,AVON LAKE,"23,625",1,8,0,0,0,1,1,7,0,0
367,Lorain County,Lorain,LORAIN,"63,561",127,778,6,14,43,64,287,463,28,12
368,Lorain County,Oberlin,OBERLIN,"8,342",38,212,0,27,4,7,27,184,1,0
369,Lorain County,North Ridgeville,NORTH RIDGEVILLE,"33,095",12,193,1,4,3,4,37,154,2,0
370,Lorain County,Grafton,GRAFTON,"6,105",4,38,1,0,2,1,10,28,0,0
373,Lucas County,Toledo,TOLEDO,"278,366","3,319","11,191",37,316,803,"2,163","3,381","7,081",729,0
375,Lucas County,Maumee,MAUMEE,"13,875",15,380,0,8,3,4,37,336,7,0
376,Lucas County,Oregon,OREGON,"20,055",37,665,0,5,6,26,85,553,27,1
379,Lucas County,Holland,HOLLAND,"1,698",6,288,0,1,5,0,21,266,1,0
380,Lucas County,Waterville,WATERVILLE,"5,511",2,29,0,0,1,1,4,24,1,0
381,Lucas County,Whitehouse,WHITEHOUSE,"4,528",1,30,0,0,0,1,4,23,3,0
388,Madison County,London,LONDON,"10,092",7,284,0,2,2,3,48,221,15,0
389,Madison County,West Jefferson,WEST JEFFERSON,"4,291",3,101,0,0,1,2,14,84,3,0
392,Mahoning County,Boardman,BOARDMAN,"39,692",54,"1,346",0,6,22,26,189,"1,126",31,5
393,Mahoning County,Youngstown,YOUNGSTOWN,"64,170",415,"2,426",12,28,151,224,921,"1,264",241,137
397,Mahoning County,Austintown,AUSTINTOWN,"35,680",52,818,0,9,13,30,114,674,30,0
399,Mahoning County,Canfield,CANFIELD,"7,323",1,60,0,1,0,0,8,52,0,0
403,Mahoning County,Struthers,STRUTHERS,"10,314",27,244,0,1,8,18,75,161,8,0
404,Mahoning County,Craig Beach,CRAIG BEACH,"1,137",0,3,0,0,0,0,0,3,0,0
408,Mahoning County,New Springfield,SPRINGFIELD TOWNSHIP,"6,446",3,76,0,2,0,1,32,40,4,0
418,Medina County,Brunswick,BRUNSWICK,"34,774",25,224,0,1,0,24,28,182,14,1
419,Medina County,Medina,MEDINA,"26,280",13,119,1,5,1,6,12,107,0,0
420,Medina County,Wadsworth,WADSWORTH,"21,910",24,479,0,7,2,15,40,436,3,4
422,Medina County,Lodi,LODI,"2,770",0,1,0,0,0,0,1,0,0,0
423,Medina County,Spencer,SPENCER,766,0,6,0,0,0,0,0,6,0,0
424,Medina County,Hinckley,HINCKLEY TOWNSHIP,"8,041",6,28,2,0,0,4,15,13,0,0
437,Mercer County,Coldwater,COLDWATER,"4,501",0,20,0,0,0,0,2,17,1,0
438,Mercer County,Fort Recovery,FORT RECOVERY,"1,430",1,6,0,1,0,0,0,6,0,0
439,Mercer County,Rockford,ROCKFORD,"1,105",2,6,0,1,1,0,2,4,0,0
441,Miami County,Piqua,PIQUA,"20,845",39,882,1,19,13,6,135,728,19,7
442,Miami County,Tipp City,TIPP CITY,"9,941",7,181,0,1,1,5,23,148,10,1
443,Miami County,Troy,TROY,"25,745",22,724,0,13,3,6,145,567,12,6
444,Miami County,Covington,COVINGTON,"2,633",3,29,0,0,2,1,2,27,0,0
449,Montgomery County,Dayton,DAYTON,"140,260","1,402","7,235",36,133,496,737,"2,269","4,252",714,80
450,Montgomery County,Centerville,CENTERVILLE,"23,851",13,352,0,0,3,10,41,290,21,0
451,Montgomery County,Germantown,GERMANTOWN,"5,495",6,40,0,0,0,6,5,34,1,0
452,Montgomery County,Kettering,KETTERING,"54,915",73,"1,000",0,26,26,21,221,726,53,10
454,Montgomery County,Miamisburg,MIAMISBURG,"20,000",20,228,0,4,12,4,40,178,10,1
456,Montgomery County,Clayton,CLAYTON,"13,129",6,135,0,0,3,3,27,97,11,0
457,Montgomery County,Trotwood,TROTWOOD,"24,024",90,962,11,20,37,22,341,506,115,11
458,Montgomery County,Vandalia,VANDALIA,"15,073",14,328,0,2,9,3,63,232,33,3
461,Montgomery County,Brookville,BROOKVILLE,"5,902",7,59,0,5,1,1,15,43,1,0
469,Montgomery County,Clayton,CLAY TOWNSHIP,"4,217",2,20,0,2,0,0,6,14,0,0
477,Muskingum County,Zanesville,ZANESVILLE,"25,494",93,"1,288",0,18,28,47,230,"1,036",22,10
478,Muskingum County,Dresden,DRESDEN,"1,736",2,0,0,0,0,2,0,0,0,0
479,Muskingum County,Frazeysburg,FRAZEYSBURG,"1,321",1,16,0,1,0,0,1,12,3,0
480,Muskingum County,New Concord,NEW CONCORD,"2,317",0,15,0,0,0,0,1,14,0,0
481,Muskingum County,Roseville,ROSEVILLE,755,3,14,0,0,0,3,4,9,1,0
486,Ottawa County,Oak Harbor,OAK HARBOR,"2,705",1,42,0,1,0,0,5,37,0,0
487,Ottawa County,Port Clinton,PORT CLINTON,"5,939",13,170,0,8,2,3,38,129,3,1
488,Ottawa County,Genoa,GENOA,"2,301",1,5,0,0,0,1,0,5,0,0
489,Ottawa County,Marblehead,MARBLEHEAD,885,0,2,0,0,0,0,0,2,0,0
490,Ottawa County,Put in Bay,PUT-IN-BAY,136,3,1,0,0,0,3,0,1,0,0
494,Paulding County,Paulding,PAULDING COUNTY SHERIFF,"13,259",14,138,1,7,1,5,39,99,0,0
496,Perry County,Crooksville,CROOKSVILLE,"2,491",0,2,0,0,0,0,0,1,1,0
497,Perry County,New Lexington,NEW LEXINGTON,"4,721",12,188,0,5,1,6,34,149,5,0
500,Perry County,Somerset,SOMERSET,"1,461",0,4,0,0,0,0,0,4,0,0
501,Perry County,Thornville,THORNVILLE,997,0,12,0,0,0,0,0,12,0,0
503,Pickaway County,Circleville,CIRCLEVILLE,"13,930",37,674,0,5,12,20,97,569,8,0
504,Pickaway County,Ashville,ASHVILLE,"4,207",1,67,0,1,0,0,15,49,3,0
505,Pickaway County,Commercial Point,COMMERCIAL POINT,"1,616",2,10,0,2,0,0,0,9,1,0
511,Portage County,Aurora,AURORA,"15,897",11,168,0,2,5,4,9,157,2,0
512,Portage County,Garrettsville,GARRETTSVILLE,"2,326",0,9,0,0,0,0,1,8,0,0
513,Portage County,Kent,KENT,"29,995",67,496,1,0,13,53,95,385,16,2
514,Portage County,Windham,WINDHAM,"2,201",3,32,0,0,1,2,6,26,0,0
516,Portage County,Hiram,HIRAM,"1,238",0,1,0,0,0,0,0,1,0,0
518,Portage County,Streetsboro,STREETSBORO,"16,364",6,244,0,0,1,5,28,207,9,1
521,Portage County,Mogadore,MOGADORE,"1,030",0,11,0,0,0,0,2,8,1,0
524,Preble County,Camden,CAMDEN,"1,955",0,4,0,0,0,0,0,4,0,0
526,Preble County,West Alexandria,WEST ALEXANDRIA,"1,334",1,23,0,0,0,1,7,15,1,0
528,Putnam County,Ottawa,OTTAWA,"4,385",3,7,0,0,0,3,2,5,0,0
529,Putnam County,Columbus Grove,COLUMBUS GROVE,"2,052",1,1,0,1,0,0,0,1,0,0
